ep. 074 - JLPT公式問題集1の解説-N3文法問題2(N3)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともがちょうどいい日本語で話をします。
(00:00:20) 今日はこの前のJLPTの文法の問題の解説の続きをしたいと思います。
(00:00:29) えーと問題1まで終わったので今日は問題2からですね。 なので今日もこのポッドキャストを聞く前に
(00:00:38) このJLPTの公式問題集の問題を解いておいてください。 そして問題を用意して問題を見ながら聞いてください。
(00:00:49) それじゃあ早速いきましょう。問題2の1個目の問題は14番ですね。 問題2はこれは並べ替えの問題です。
(00:01:00) 並べ替えの問題を解くときの大事なポイントは 動詞とか形容詞とかそのいろんな形がある言葉がどんな形になっているかっていうこと
(00:01:13) それを気をつけてあのよく見ましょう。 じゃあこの14番の問題を見ると
(00:01:20) えーとこの並び替えをする 言葉の後ろですね最後がんですかって書いてあります。
(00:01:29) んですかの前の形はこれは普通形を使いますね。 なのでこれは最後の言葉は
(00:01:39) んですかの前は普通形なので1番しかありませんね。 えっと最後は1になります。
(00:01:46) じゃあ2,3,4はどんな順番なのか。 3を見ると今度はなのにって書いてありますね。
(00:01:54) のにの前の形も普通形なんですがちょっと注意であの な形容詞の普通形のだの形
(00:02:06) あとは名詞のだの形 のにの前はこのだが使うことができません。
(00:02:14) このだを使うことができないっていうのはのにだけじゃなくて あの最後のんですかもそうだし他にもこののの前って結構同じなんですよ
(00:02:26) 普通形のだを使うことができない だを使うことができない文法って他にもたくさんあるのでこれを覚えておくと便利ですね
(00:02:34) で えっとなのにって書いてあるからこれは
(00:02:38) 試合っていうその えっと
(00:02:43) 最初の言葉の前のとこですねこれとくっつきます だから試合なのにです最初は3番ですね
(00:02:53) じゃあ最後はえっと2と4が残っているのでその2つの言葉ですがこれはどう使うのか っていうと4番の言葉の意味がわかれば答えがわかります
(00:03:03) 4番のちっともっていうのは全然と同じ意味です 使い方も同じ
(00:03:09) だからちっともの後ろにはないが来るから答えは 3421の順番ですね
(00:03:22) じゃあその次815番今度は15番は これはによっての使い方がわかるといいですね
(00:03:32) によっての使い方は にの前は名詞名詞でそしてあの全部違うっていう意味の時に使います
(00:03:43) 例えば国によって 話す言葉が違いますとか
