ep. 075 - 「花火大会(N3)」

(00:00:00) みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:21) テーマはリクエストもできるので何かリクエストがある人はメールやメッセージを 送ってください皆さんからのメッセージ待ってます
(00:00:30) さあ今日はですねえっと ベトナムのギアさんという方からリクエストをもらっています
(00:00:38) えっとじゃあちょっとメッセージを紹介しますね
(00:00:42) ともさんこんばんはギアと申しますベトナム人です ともさんのチャンネルをよく聞きます本当に面白くて
(00:00:50) 長回の練習にとても役に立ちますよ そのおかげで日本についてもっといろんなことが分かって本当にありがとうございます
(00:00:57) とのことです いやーありがとうございますこういういろいろなね
(00:01:02) 応援とか感想とかをもらえるとすごくやる気が出ます でえっと今日のギアさんのリクエストメッセージの続きがあります
(00:01:12) えっと夏の季節がもうすぐきますね日本の夏には素晴らしい花火のお祭りがあると 言われていますね
(00:01:20) 将来は私は日本へ働きに行くつもりですが花火祭りを知りたいと思いますので今度 教えてくださいませんかとのことです
(00:01:29) とても上手な日本語ですね じゃあ今日はこの今ねリクエストをもらった通り花火について花火というか花火大会についてですね
(00:01:42) 日本では毎年夏になると花火大会っていうのがあります 花火っていうのはみんな知ってると思いますが
(00:01:52) えっとまぁ一番わかりやすいのはインターネットで花火って探してみてみてください どんなものかというと
(00:02:01) 花火の美は火ですね火を花の形にして空高くに 上げることそれが花火と言います
(00:02:13) でこの花火の大会大会っていうのはみんなで集まって何かをすることなので いろいろな花火を作る人が集まってそして
(00:02:25) 自分が作った綺麗な花火を上げること それが花火大会です
(00:02:32) 毎年多分日本の 全部の県でやるんじゃないかな
(00:02:38) いろいろなところで花火大会をします もちろん俺の住んでいるところでも毎年花火大会があって
(00:02:46) 結構ね俺の家から近くのところ車で20分ぐらいかな そこで大きい花火大会があるので
(00:02:55) 毎年見ています毎年って言ってもあの何年か前までは日本に住んでいなかったので 台湾に住んでいたのであの見ることはできませんでしたけど
(00:03:07) 日本に帰ってきてからは毎年花火大会を見に行っています なんでそんな毎年花火大会を見に行くのかっていうと
(00:03:16) 日本人の俺が言うのもなんですけど日本の花火ってとても綺麗だと思います いろいろな色があるのもそうなんですけど
(00:03:28) いろいろな形も作ることができます どうやって作るかは俺ももちろん知りませんが
(00:03:35) 花火で空に字を書いたりすることもできます 絵を描くこともできます
(00:03:43) 例えば有名なアニメのキャラクターとかの絵の花火もあります ですから
