ep. 078 - 相撲(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:09) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) テーマはリクエストもできるのでリクエストがある人はぜひメッセージやメールなどを送って ください
(00:00:25) 皆さんからのメッセージ待ってます さあ今日もリクエストがあります
(00:00:30) 今日はいくつかリクエストをもらっているんですが1回で全部の話はできないので その中の一つを話したいと思います
(00:00:41) 今日のリクエストはアメリカからです アメリカのスコットストーンさんですね
(00:00:48) いくつかもらったテーマの中でとりあえず最初に書いてあるもの 相撲についてです
(00:00:56) 相撲は多分みんなわかると思うんですが 相撲というのは日本の昔からある格闘技ですね
(00:01:07) 相撲をスポーツっていう人もいるかもしれませんが 相撲は
(00:01:13) スポーツっていうよりも柔道とか空手とかと同じ格闘技 人と戦う競技ですね
(00:01:24) 多分相撲ってどんなものかっていうのは日本語を勉強している人は日本に興味が あると思うのでまあ大体の人は知ってると思いますが一応簡単に説明しますね
(00:01:36) 相撲っていうのは土俵っていう丸い円の中で2人の人が戦う競技です どうやって勝ちと負けを決めるかというとまず一つは
(00:01:52) その丸い土俵の外に出てはいけないということです 2人の人がお互いに押し合ってそして相手を土俵の外に出します
(00:02:06) 外に出された人は負けです そしてもう一つ
(00:02:11) 土俵の外に出るだけじゃなくって 自分の足の裏以外のところが地面についてしまったらそれも負けになります
(00:02:25) だから膝をついたりとか手をついたりしたら負けなので 相撲では相手を土俵の外に出すだけじゃなくって相手を投げることもします
(00:02:40) 相手を投げるっていうのは柔道とも似ていますね さてこの相撲ですが今では
(00:02:50) あのスポーツみたいな感じでやっている人もとても多いんですが もともとはこれはスポーツじゃなくって
(00:02:59) 神様の前でこの相撲をしてそして何かこうこれから悪いことがありませんかとか 今年は
(00:03:11) 米がたくさん取れますかとか神様に聞いたりするそういうイベントでした ですからこの相撲の動きっていうのはただ相手を倒すだけじゃなくって
(00:03:24) 悪いものをなくすっていうような意味を持つものとかがたくさんあります ただ今ではあの
(00:03:34) スポーツみたいなやり方をすることも多いので ただ楽しむために見るっていう人もたくさんいます
(00:03:43) そうなると神様はもう関係ないですね さてこの相撲ですが日本に昔からある競技なんですがでも相撲をちゃんとやってる日本人
(00:03:56) というのはとても少ないです ちゃんとやってるっていうのはプロじゃなくてもいいですけど
(00:04:03) その毎日練習してるとかクラブに入って練習するとかそういう人ですね 他のスポーツ例えば日本では野球とかサッカーが人気ですけど
(00:04:16) 野球やサッカーはクラブに入って毎日練習する人っていうのはとても多いです あと他にも相撲じゃない格闘技だったら柔道とか
(00:04:27) ボクシングとかそういうのもね どこかのジムとか学校のクラブとかそういうので練習する人もとても多いですが
(00:04:38) 相撲はあまりやりません まあ俺も学校の授業でちょっとね相撲をしたことはありますが
(00:04:49) でも毎日しっかり練習して相撲っていうのはやったことがありません 学校の授業でやったって言っても半分遊びみたいなものですね
(00:05:00) 服は着たままでやるし 学校の授業だからあまり危ないことはしませんからね
(00:05:08) さてなんでこの相撲はそんなにやる人が少ないのかっていうと かなり他のスポーツと比べて特別な競技だからだと思います
(00:05:21) もう見たらすぐわかると思うんですが 相撲をする人力士って言うんですけど力士の体って
(00:05:30) めちゃくちゃ大きいですよね 大きいことでかいって言うんですけど力士は本当にでかいです
(00:05:38) 体重も 重い人はすごい大きい人は200キロぐらいあるんじゃないですかね
(00:05:45) 小さい人でも100キロ以上ありますね だから相撲するためにはまず体を作らないといけない
(00:05:55) 体が小さいと相撲ができないんですよ まあできないことはないけどでも小さい体
(00:06:03) 細い体だと全然勝てないから相撲を続ける人はいませんね そしてこの相撲っていうのは練習できる場所もかなり少ないです
(00:06:17) さっき言った相撲をする場所丸い円の中っていうのは土俵って言うんですけど その土俵があるところもとても少ないですし
(00:06:28) 相撲は体を大きくしないといけない つまり太らないといけないんですけど
(00:06:35) 太るためには普通のスポーツでやるような ジョギングとか
(00:06:41) あの走って体力をつけるっていう練習はあまりできません じゃあどうやって練習するかというとその土俵がある部屋の中で
(00:06:54) 他の力士と一緒に 実際に相撲をしたりとかして練習するので
(00:07:00) 自分一人じゃ練習できないんですよ だからその土俵があるつまり相撲を練習する部屋に行って
(00:07:11) そしてそこで他の人と一緒に練習しなければならないので 他のスポーツを違ってちょっとね始めるのも続けるのも大変です
(00:07:23) なので大抵の日本人のスポーツの楽しみ方は するじゃなくて見る方だと思います
(00:07:31) 俺もね相撲はそんなに好きっていうほどでもないんですけど テレビも見ないからあんまり見ないんですけど
(00:07:39) でも相撲の漫画とかは好きだし たまにね
(00:07:45) あの俺はボクシングとかキックボクシング格闘技が好きだから だから相撲の試合も時々見たくなって youtube とかで見ることはあります
(00:07:57) 本当に強い力士とか上手な力士の動きはすごいですね 相手を上手にコントロールしてそして投げたり外に出したりする
(00:08:09) っていうのが見てて面白いです 特に俺がすごいなぁと思うのは
(00:08:14) さっき体が大きくないと相撲は勝てないって言ったけどでも時々 小さい体細い体でも勝つ人っていうのが出てくるんですよ
(00:08:27) そういう人の相撲っていうのは見てて面白いなぁと思います すごく上手ですね
(00:08:34) ただ体も大きくて力も強い人が誰にも負けないぐらい すごい強い相撲を見せるっていうのもそれはそれで面白いですけどね
(00:08:46) ちなみにこの相撲をする力士ですけど 力士は日本人だけじゃなくて外国人でもなることができます
(00:08:56) 外国人力士はみんな日本語が上手です びっくりするぐらい上手です
(00:09:04) ちょっと聞いただけだと力士の外国人力士の日本語って外国人だってわからない ぐらい上手です
(00:09:14) なんでかというと力士はその土俵がある部屋 部屋ってその相撲の会社みたいなものなんですけど
(00:09:24) その部屋に入ってそしてその中でみんなで一緒に生活しなければならないんです そして相撲を教えてもらうためには日本語を覚えなければならないので外国人力士の皆さんは
(00:09:39) すごく一生懸命日本語を勉強するそうです 勉強って言っても学校に行くんじゃなくて練習しているときに聞いて覚える人が多いそうです
(00:09:52) あと力士の名前ってみんな漢字で書いてあるから 外国人力士は部屋に行ったときに最初に覚える字は先輩の皆さんの名前の漢字だそうですね
(00:10:06) 名前を間違えてしまうとすごく失礼だからみんな必死になって覚えるそうですね 日本語が上手になりたい人はもしかしたら日本に来て相撲をしたら上手になるかもしれません
(00:10:22) さてこの相撲 相撲というのは日本の伝統的な文化の一つです
(00:10:29) こういうふうにね 日本の文化に興味を持ってもらえるっていうのは日本語教師としてとても嬉しいです
(00:10:37) なので皆さんも日本の文化について何かね 話を聞いてみたいこととかあったらぜひメッセージを送ってください
(00:10:47) さあそれじゃあ今日はこの辺で終わりにしたいと思います さようなら
