ep. 079 - 日本の職場(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
テーマはリクエストもできるのでリクエストがある人はメールとか sns とかでメッセージをください みなさんからのメッセージ待ってます
さあ今日はえっと今日はっていうか今日もリクエストをもらってます 今日のリクエストは
アップルのポッドキャストのあの評価とレビューのところでもらってます 各さんっていう方ですねリクエストをもらえるのも嬉しいんですが
このレビューを書いてもらうってすごく嬉しいですね あの自分でポッドキャストを始めるまで知らなかったんですけど
このレビューがたくさんあるとすごく嬉しいしやる気が出ます 皆さんもぜひ書いてください
さあそれじゃあ今日のリクエストなんですが えっとこの各さんという方
アルバイト日本のアルバイトですかね えっと始まったそうですごいですねそれで日本のオフィスマナーとか人間関係について知りたいです
特に90%以上が女性の会社でどう生きるかっていうことについてだそうです この女性が多いところでどんな風に
あの仕事をしていくのかというのは 男性にとってはね結構難しい課題かもしれませんね
もちろんその男性とか女性っていうだけで 全部が決まるわけじゃないのでそれだけじゃね物事は何も考えられないし何も決められ
ないんですが それでもやっぱりこう
男と女でちょっと違う部分っていうのもあるので 周りが女の人ばかりだと男としてはね少しこう
気を使うじゃないけどなんか気をつけなきゃいけないことがあるんじゃないかな っていう気持ちにはなりますね
さあそれじゃあこの周りが女性ばかりの職場なんですが 例えば看護師とか保育士とかそういうのはやっぱり今でも
完全に女の人だけではないですけど女の人が多い仕事だろうなっていうイメージは まだありますねちなみに俺の仕事
日本語教師って男の人が多いか女の人が多いかって皆さんわかるでしょうか 日本語学校とかにね行ってた人はわかるかもしれませんが
日本語教師は完全に女の人の方が多いです これ結構ね日本語教師日本語教師っていうか日本語教育の
結構大きな課題だと思うんですけど まあちょっとここではね語りきれないぐらい
いろんな要素があって女の人の方が男の人よりすごく多いですね で今の俺の職場も今の前の職場も
女の人の方がすごく多かったです 前の職場はだいたい8対2ぐらいで女の人が多かったかな
で今の職場は 先生はだいたい15人ぐらいいるんですけどその中で男の人は2人です
俺とあともう一人だけ しかもその俺の他のもう一人の先生は非常勤
まあつまりいつもいるんじゃなくて決まった曜日だけしか来ない先生なので 普段は男の先生ってほぼ俺一人です
でそうなるとやっぱり最初にもちょっと話したように周りがね ほとんど女の人で男がすごく少ないので
まあ気は使います正直 例えばどんなところで気を使うかというと話し方とか話す話題とか
そういうのもね 特に最初の方はまだ職場に慣れてない時には気をつけてました
やっぱりこう男友達と話すような そういう話し方とかまあ言葉遣いだとちょっとねなんか乱暴な感じになっちゃうかなっていう気がしたので
であの話題とかもそうですね好きなものってやっぱり男女で違うところが多いと思うので そういうところもねちょっと気をつけ
気をつけて何について話すかどんな話題だすかっていうのも気をつけてましたね まあそんなことをしてたら最初の頃はちょっと職場で俺はゲイなんじゃないかっていう誤解も
あったみたいなんですけど まあ今はその誤解はなくなりましたけどね
