ep. 079 - 日本の職場(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:09) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) テーマはリクエストもできるのでリクエストがある人はメールとか sns とかでメッセージをください みなさんからのメッセージ待ってます
(00:00:28) さあ今日はえっと今日はっていうか今日もリクエストをもらってます 今日のリクエストは
(00:00:35) アップルのポッドキャストのあの評価とレビューのところでもらってます 各さんっていう方ですねリクエストをもらえるのも嬉しいんですが
(00:00:48) このレビューを書いてもらうってすごく嬉しいですね あの自分でポッドキャストを始めるまで知らなかったんですけど
(00:00:57) このレビューがたくさんあるとすごく嬉しいしやる気が出ます 皆さんもぜひ書いてください
(00:01:05) さあそれじゃあ今日のリクエストなんですが えっとこの各さんという方
(00:01:10) アルバイト日本のアルバイトですかね えっと始まったそうですごいですねそれで日本のオフィスマナーとか人間関係について知りたいです
(00:01:22) 特に90%以上が女性の会社でどう生きるかっていうことについてだそうです この女性が多いところでどんな風に
(00:01:33) あの仕事をしていくのかというのは 男性にとってはね結構難しい課題かもしれませんね
(00:01:42) もちろんその男性とか女性っていうだけで 全部が決まるわけじゃないのでそれだけじゃね物事は何も考えられないし何も決められ
(00:01:53) ないんですが それでもやっぱりこう
(00:01:57) 男と女でちょっと違う部分っていうのもあるので 周りが女の人ばかりだと男としてはね少しこう
(00:02:07) 気を使うじゃないけどなんか気をつけなきゃいけないことがあるんじゃないかな っていう気持ちにはなりますね
(00:02:15) さあそれじゃあこの周りが女性ばかりの職場なんですが 例えば看護師とか保育士とかそういうのはやっぱり今でも
(00:02:28) 完全に女の人だけではないですけど女の人が多い仕事だろうなっていうイメージは まだありますねちなみに俺の仕事
(00:02:38) 日本語教師って男の人が多いか女の人が多いかって皆さんわかるでしょうか 日本語学校とかにね行ってた人はわかるかもしれませんが
(00:02:49) 日本語教師は完全に女の人の方が多いです これ結構ね日本語教師日本語教師っていうか日本語教育の
(00:03:00) 結構大きな課題だと思うんですけど まあちょっとここではね語りきれないぐらい
(00:03:06) いろんな要素があって女の人の方が男の人よりすごく多いですね で今の俺の職場も今の前の職場も
(00:03:19) 女の人の方がすごく多かったです 前の職場はだいたい8対2ぐらいで女の人が多かったかな
(00:03:28) で今の職場は 先生はだいたい15人ぐらいいるんですけどその中で男の人は2人です
(00:03:37) 俺とあともう一人だけ しかもその俺の他のもう一人の先生は非常勤
(00:03:45) まあつまりいつもいるんじゃなくて決まった曜日だけしか来ない先生なので 普段は男の先生ってほぼ俺一人です
(00:03:54) でそうなるとやっぱり最初にもちょっと話したように周りがね ほとんど女の人で男がすごく少ないので
(00:04:03) まあ気は使います正直 例えばどんなところで気を使うかというと話し方とか話す話題とか
(00:04:13) そういうのもね 特に最初の方はまだ職場に慣れてない時には気をつけてました
(00:04:20) やっぱりこう男友達と話すような そういう話し方とかまあ言葉遣いだとちょっとねなんか乱暴な感じになっちゃうかなっていう気がしたので
(00:04:33) であの話題とかもそうですね好きなものってやっぱり男女で違うところが多いと思うので そういうところもねちょっと気をつけ
(00:04:43) 気をつけて何について話すかどんな話題だすかっていうのも気をつけてましたね まあそんなことをしてたら最初の頃はちょっと職場で俺はゲイなんじゃないかっていう誤解も
(00:04:55) あったみたいなんですけど まあ今はその誤解はなくなりましたけどね
(00:04:59) でまぁあのとにかくあのそういうふうに俺はまずは気をつけてたところっていうのは その話し方とか話題とかですね
(00:05:09) あと他にそうですねその周りが女性だから気をつけてたっていうと まあこれは周りに女性が少なくても気をつけるべきところではあるんですけど
(00:05:21) っていうかまぁ女性じゃなくてね周りが男性でも気をつける気をつけるべきところなんです けど
(00:05:27) できるだけ他の人に体が触れないようにっていうのは気をつけてます 肩とか背中とかね自分から触るのはもちろんダメですけど
(00:05:37) あのすれ違う時にねぶつかるとかそういうのも絶対なくそうっていうのは気をつけて ます
(00:05:44) もちろんね男同士だからって言ってあの他の人に触っていいわけじゃないんですけど まあすれ違う時にぶつかるぐらいだったら男同士ならまあそんなに気にしなくても
(00:05:56) 大丈夫かなという気はするんですが 相手が女性だと
(00:06:02) すごいこう申し訳ないなっていう気がするので できるだけこう
(00:06:08) 距離が近くなりすぎないようにっていうのは気をつけてます まあ俺の場合特に俺結構体がでかい方で背も高くて
(00:06:19) あの格闘技とかやってるから ちょっとこう他の他のというか普通の人より筋肉とかも多めなので
(00:06:26) 結構ね俺みたいなのが近くにいたら男とか女とか関係なく怖いんじゃないかなっていう ような気がするので
(00:06:34) まあそれでねできるだけこう 近すぎないようにっていう風に気をつけてます
(00:06:40) まあとにかくあのあんまり 周りが男だからとか周りが女だからとか
(00:06:49) そういうのは関係なく やっぱりその
(00:06:53) 周りの人が不快になることをしないっていうのが一番大事だよなっていう気はします ね
(00:07:01) だから 周りが女性ばかりの職場だからこれ気をつけようっていうんじゃなくて
(00:07:08) 周りにいる人男でも女でも関係なく 周りの人を不快にしないように気をつけようというふうに思っていれば
(00:07:18) まあどんな職場でも大丈夫じゃないかなっていう気はします やっぱそれが一番大事ですよ
(00:07:24) んでこの周りの人を不快にしないようにっていうためには リクエストにもあったオフィスマナー
(00:07:32) まあこのマナーですね それも大事になってくるんですが実はそのオフィスでのマナーっていうのは結構
(00:07:42) 職場によって違うので何が大事とか何をしなければならないとか 何をしてはいけないっていうのは結構ね
(00:07:52) その職場に入ってみないとわからないところが多いと思います 例えばどんな服を着るかっていうのも会社によっては必ずネクタイをしなければ
(00:08:03) ならないとか 服の色はあんまり明るすぎないようにとか
(00:08:08) そういうルールがあったりするところもあると思いますし 逆にあんまり服について細かく決めてなくて
(00:08:16) まあお客さんが嫌な気持ちにならないような服 汚い服とかじゃなければ何でもいいよみたいなところもあるだろうし
(00:08:26) あと他にもオフィスの中でしていいことしてはいけないこと オフィスの中でこうおやつとかお菓子とかジュースとか
(00:08:37) 飲み食いしていいかとか 仕事中に他の同僚としごをしてもいいのか
(00:08:44) しごってまあ要するにおしゃべりしてもいいのかとか あの電話携帯電話ね自分の電話を
(00:08:51) 机に置いといてもいいのかカバンに入れなきゃダメなのかとか まあいろんなねルールがあると思うんですけど結構職場によって変わります
