ep. 081 - 日本でのマナー(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) テーマはリクエストもできるのでリクエストがある人はメールとか sns でメッセージをください さあそれじゃあ今日は
(00:00:29) 日本でのマナーについてお話をしたいと思います これもリクエストをもらったテーマです
(00:00:37) 最近結構いろんな人にリクエストをもらうんですけど ちょっとねあのリクエストが多いので
(00:00:44) リクエストをもらってからエピソードを作るまで時間がかかることが多いんですけど すみませんがしばらく待ってください
(00:00:53) じゃあ今日はその日本のマナーについてですが 外国人が日本に旅行に来た時に気をつけるマナーについて知りたいということなのでそれについて話したいと思います
(00:01:11) この日本でのマナーなんですけど 俺もね自分が海外に行くまで外国で生活するまであんまり気にしてなかったんですけど
(00:01:23) 日本は確かにマナーにうるさいかもしれません うるさいっていうのはつまり厳しいっていうことですね
(00:01:31) 海外で生活したことがなかったときは別に日本のマナーがそんなに厳しいとは思ってなかったんですけど
(00:01:40) 海外で生活するようになってからあこんなことしていいんだとか これ日本でやったら絶対怒られるよなーっていうことが結構あったような気がします
(00:01:52) まあ今は外国人と話をしたりすることがとても多いので 外国の文化とかマナーとかにもだんだん慣れてきましたけど
(00:02:04) やっぱり最初の頃は結構びっくりしました でもねその外国の文化とかマナーとかに慣れたとは言っても
(00:02:14) 俺は日本人だから日本のマナーはうるさいけどでも心地いいっていうか まあ
(00:02:24) そのうるさいマナーがあったほうが結構快適だなっていうことが多いです さてそれじゃあ外国の人が日本に来たときに
(00:02:34) まあ日本に旅行とかですね来たときにどんなことに気をつけた方がいいのかっていうと これはもう初めに言っておくと
(00:02:45) 絶対に守らなきゃいけないっていう あの一つだけのルールとかはありません
(00:02:52) 場所とか人によってルールとかマナーっていうのは変わるので これだけ覚えれば大丈夫っていうことはありません
(00:03:00) 例えば飲食店でのマナーでも店によって結構違います なので一番大事なのは
(00:03:09) 日本に行ったらいつもこうするっていうんじゃなくて 事前に自分が行く場所について調べたりとか
(00:03:18) どこか知らない場所始めていく場所に行ったらそこの あのルールとかマナーとかをパンフレットで確認したりとか
(00:03:29) あとは何かわからないことがあったらすぐにそこの係員の人とかに確認するとか そういうことをした方がいいと思います
(00:03:40) ということでマナーについて一番大事なのはまずそれです 時と場合によって全然マナーとかは違うので
(00:03:50) いつもちゃんと確認するっていうことが大切 じゃあそれだけじゃなくてやっぱりこう
(00:03:59) 場所によって違うんだけどでも同じようなマナーとか だいたいのところで守った方がいいことっていうのはあるのでそれについてね少し話したい
