ep. 082 - 奨学金(N2)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストもできるのでリクエストがある人はメールとかSNSでメッセージをください。
(00:00:28) さあそれじゃあ今日は 日本の奨学金について教えてくださいっていうリクエストがあったので
(00:00:37) 外国人の留学生が日本でもらえる奨学金について 俺が知っていることを話したいと思います。
(00:00:45) ただちょっと申し訳ないんですけど俺は日本人なので 外国人がもらえる奨学金についてそんなには詳しくないです。
(00:00:55) ただ俺も日本語学校で働いているから だから少し知っていることはあるのでまあ今日はその話ですね。
(00:01:05) じゃあえーっと 奨学金ってまず何なのかっていうとこれは
(00:01:11) 大学とかで勉強がしたいけどでも金銭的に余裕がない人のために いろんなところからもらうことができるお金のことです。
(00:01:21) 留学ってねやっぱり外国に行ってそこで生活して で学校にも行くっていうことなので結構ねお金もかかるので
(00:01:32) だから留学生のための奨学金っていうのは結構いろいろあります。 なんでお金がもらえるのかっていうと
(00:01:40) 優秀な人に日本に来てもらってそしてその優秀な人が日本でいろんなことを学んで そしてそれだけじゃなくて
(00:01:50) いろんなことを学んだ後にいろんな日本の企業とか あとはまあ帰国してもいいんですけど帰国した後にその
(00:02:01) 母国と日本のつながりを強化するようないろいろな仕事をしたりとか そうやって日本にいろんな貢献をしてくれる優秀な人
(00:02:13) というのが多くなると日本にとってもプラスになるのでそれで日本 まあ日本とか日本の政府とかあとは
(00:02:23) 日本の企業とかそういうところが外国人留学生にお金をあげるっていう そういうシステムです。
(00:02:32) 普通奨学金っていうと留学生だけじゃなくて日本人の学生 日本人で
(00:02:38) あの日本国内の学校に行く場合でも奨学金って結構いろいろあるんですが その場合奨学金って2つのタイプに分けることができて
(00:02:49) 給付型と対応型っていうのがあるんですけど 日本でねこの奨学金を借りるときはどちらのタイプなのかっていうのが結構重要なので
(00:03:00) 気をつけなければならないところです ただ外国人だとほとんど給付型かな対応型ってあまり見たことはありません
(00:03:11) じゃあこの給付と対応っていうのは何なのかっていうと 給付の給っていうのはあの給料の給と同じです
(00:03:21) まあ要するにあげるっていうことです 対応っていうのは何かというとこれは漢字を見るとすぐわかるんですけど
(00:03:30) 太陽の太の漢字て貸すっていう漢字です で要は与えるっていう漢字だからつまり太陽っていうのはあげるんじゃなくて
(00:03:40) 貸すことです だから対応型の奨学金っていうのは後で返さなければなりません
(00:03:48) 例えば大学に行く4年間で毎年50万円とか 対応型の奨学金をもらってると卒業した後に
(00:03:58) 200万円の借金があるのと同じなので 結構ねその奨学金を返すって大変なんです
(00:04:07) ただ外国人だとその対応型ってのはあんまり見たことなくて 多分外国人だと国に帰る人も多いからですかね
(00:04:15) ほとんどが給付型なのでまあそんなにね 心配しなくてもいいとは思うんですが
(00:04:21) でも一応確認はした方がいいですね 奨学金をもらう前に さてそれじゃあ留学生がもらえる奨学金ってどんなものがあるかっていうと
(00:04:33) 結構ねたくさんあるので全部は紹介することができないんですけど とりあえず有名なのを一つ紹介します
(00:04:42) それが何かっていうと 文部科学省外国人留学生学習奨励費
(00:04:50) っていうやつなんですけど長いですね えっとこれ別の名前もあって留学生受入れ促進プログラムっていう奨学金です
(00:05:00) やっぱり長いですね これ何かっていうと要するに文部科学省っていう国の教育に
(00:05:09) 教育に関する機関ですねそこが留学生にたくさん日本に来てもらいたいから だから優秀な留学生に奨学金をあげますよっていう
(00:05:20) そういうシステムです これ結構ね
(00:05:24) もらうことができる人が多くて いろんな日本語学校とか専門学校とか大学
(00:05:33) でもらうことができます うちの学校でももらってる人がいます
(00:05:39) 学生の人数が多い学校だと多分もらうことができる人も多いと思います うちの学校はあまり多くないから一人だけなんですけどね
(00:05:49) でこの奨学金って
(00:05:53) もらえる額は結構多いです 日本語学校だと毎月3万円なんですけど専門学校とか大学とかだと毎月
(00:06:03) 4万8000円もらえます もちろんさっき言った対応型じゃなくて給付型
(00:06:09) 本当にもらうことができます だから大学で毎月5万円近くもらえるっていうのは
(00:06:17) すごい 助かるだろうなぁと思います
(00:06:21) じゃあこの奨学金をもらうためにはどうしたらいいのかっていうと 基本的には奨学金がもらえる人って
(00:06:31) 優秀な人です いい学生だけです なんでかっていうとまあさっきも言ったようにその
(00:06:39) 卒業後にいろいろと貢献してくれる人に対してあげるものが奨学金なので あげても何の貢献もしてくれないような人には奨学金は当然ですけど出ません
(00:06:53) なので奨学金をもらうためにどうすればいいかっていうと 答えは簡単ですいい学生になってください
(00:07:02) 学校休まずに行ってちゃんと勉強してテストでいい点数を取る そうすれば奨学金がもらえます
(00:07:11) ただ いい学生全員がもらえるわけではありません
(00:07:17) さっきもうちの学校で一人って言ったけど その学校で一番いい学生一人だけ
(00:07:25) 大きい学校だったら2人とか3人もらえると思いますけど なので同じ条件
(00:07:32) テストでいつもいい点取ってて学校全然休まないで真面目に勉強している 同じ条件でももらえる人ともらえない人がいます
(00:07:43) どういう基準でその奨学金の対象になる学生を選ぶのかっていうのは学校によってね 違うと思うので
(00:07:51) もしこの奨学金欲しいなと思ってたら事前にその学校に確認した方がいいと思います さてこれがその
(00:08:01) 多分日本で留学生がもらえる奨学金の中で一番メジャーなものなんですけど この今言った奨学金はジャッソっていう
(00:08:13) 日本学生支援機構っていうところなんですけどね そこが出している奨学金で 名前にも文部科学省って入っているぐらいですから
(00:08:23) ほとんどもう国が出している奨学金みたいなものですね でこの奨学金の他に日本にはいろんな企業が出している奨学金なんかもあります
(00:08:35) 企業だけじゃなくて地方自治体 つまり市とか県とかそういうのが出している奨学金というのもあります
(00:08:45) なので調べてみると結構たくさんいろんな奨学金があるのでさっき言ったね ジャッソの奨学金がダメでももしかしたら違うのに申し込んだら別なのが
(00:08:57) もらえるかもしれないので これを聞いている留学生の人がいたら
(00:09:02) 自分が住んでいるところで何か奨学金がないかっていうのを調べてみてください どうやって調べたらわかるかっていうと
