ep. 083 - 日本の電車(N4)

(00:00:00) みなさんこんにちはTomoです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くない
(00:00:13) でもドラマや映画は難しすぎる
(00:00:16) そんな人のために
(00:00:18) 日本語教師のTomoがちょうどいい日本語で話をします
(00:00:22) テーマはリクエストもできるので
(00:00:25) リクエストがある人はメールとか
(00:00:27) SNSでメッセージをください
(00:00:30) 今日のテーマは日本の電車についてですね
(00:00:39) 電車とかあとはバスとかなんですけど
(00:00:43) 日本ではどこへ行く時でも電車に乗ることができるので
(00:00:48) それが便利だと思うんですけど
(00:00:52) そのことについてですね
(00:00:55) このテーマはアメリカのブライアンさんからいただきました
(00:01:00) ありがとうございます
(00:01:03) さてそれじゃあ日本の電車についてですね
(00:01:08) 日本の電車って結構世界で有名だという話を聞くんですけど
(00:01:16) よく聞く話は
(00:01:18) 日本の電車は時間をよく守るからすごいということですね
(00:01:25) 確かに日本では1分とか2分遅れただけでも
(00:01:31) すみませんっていうアナウンスがあります
(00:01:36) バスは電車と違って結構遅れることが多いので
(00:01:42) 5分とか10分とか
(00:01:44) そのくらいだったらあまり謝らないところも多いですね
(00:01:48) そんな風に電車はとても便利なんですけど
(00:01:53) じゃあ日本はどこに行っても電車がとても便利なのかっていうと
(00:02:01) 実はそうじゃありません
(00:02:04) 電車は確かに便利なんですけど
(00:02:08) でもあまり電車が便利じゃない場所もあります
(00:02:13) それはどんなところかというと田舎です
(00:02:17) 田舎の方は電車がとても少ないので
(00:02:22) あまり便利じゃありません
(00:02:25) 田舎だと例えば電車が1時間に1回しか来ないところとか
(00:02:33) バスもそうですね
(00:02:35) 1時間に1回しかバスが来ない
(00:02:38) そういうところもあります
(00:02:41) ですから田舎のそういう電車とかバスが少ないところに住んでいる人は
(00:02:49) あまり電車を使いません
(00:02:52) みんなどこかに行くときは車を使います
(00:02:57) なので日本の交通は都会の方だと電車の文化ですが
(00:03:04) 田舎の方だと車の文化です
(00:03:09) 俺の住んでいるところは車文化ですね
(00:03:13) 電車はあまり使いません
(00:03:17) 全然使わないわけじゃありませんが
(00:03:21) とても少ないですね
(00:03:23) 俺もいつもどこかに行くとき
(00:03:26) 仕事に行くときも遊びに行くときも
(00:03:30) だいたい車で行きます
(00:03:33) お酒を飲む予定がある時だけ
(00:03:36) 電車とかバスを使いますが
(00:03:39) そうですね
(00:03:41) だいたい1ヶ月に1回ぐらいですね
(00:03:46) 電車に乗るのは
(00:03:48) 最近はコロナの問題もあるのでもっと少ないですね
(00:03:52) ほとんど電車もバスも使いません
(00:03:56) でも都会の方は違います
(00:04:00) 都会って例えば東京とか大阪とか人がとても多いところですね
(00:04:07) そういうところは車はあまり使いません
(00:04:11) 車を持っている人もいますが
(00:04:14) 東京で車を持つのは結構大変です
(00:04:20) 何が大変かというとお金がかかります
(00:04:24) いろいろなお金がかかるんです
(00:04:27) 例えば車を持つためには
(00:04:30) 家に駐車場を作らなければならないし
(00:04:35) どこかに遊びに行くときも
(00:04:38) 東京はとても狭いですから
(00:04:41) 駐車場が少ないので
(00:04:44) 車を止める場所を探すのも大変だし
(00:04:48) 止める場所が見つかっても
(00:04:50) 止めるのにかかるお金が結構高いです
(00:04:54) だから車でどこかに行くと
(00:04:57) 駐車場のお金もかかるし
(00:04:59) そこに行くまでのガソリンのお金もかかるし
(00:05:04) それに東京は道も狭いから
(00:05:08) 車で走ると時間もかかるし
