ep. 084 - JLPT公式問題集1解説-文法問題3(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) さて今日は ちょっとだけね残ってた文法の
(00:00:27) JLPTの文法の問題の解説
(00:00:32) 最後の問題ですね。それをやろうと思います。 じゃあ今日のエピソードも
(00:00:39) まずは問題を解いて、そしてその問題を見ながら聞いてください。 では文法の問題3ですね。
(00:00:51) この問題3はちょっと長い日本語の文を読んで、 そしてその中で使われている文法の問題を解くっていうものです。
(00:01:02) じゃあ早速一番、一番というか最初の問題ですね。 一つ目のは21番
(00:01:09) これは 犬の話なんですが犬が今うちの中にいるっていう話ですね。
(00:01:19) 日本語は今の話をするときはだいたい動詞の形は ていますの形になります。
(00:01:29) 例えば 今私は日本語を勉強していますとか
(00:01:34) ポッドキャストを聞いていますとか あとは
(00:01:39) 今窓は閉まっていますとか あそこに車が止まっていますとか
(00:01:48) とにかく今の話をするときにはだいたい 日本語はていますの形
(00:01:56) なのでこれも今犬が家にいるっていう話なので答えは かっています2番ですね。
(00:02:05) ではその次今度は22の問題ですがこれは 犬のことで困った話
(00:02:14) 本当に困りましたって言ってますね。 なのでこれは困った時なんか残念なこととか嫌なことがあった時の動詞の形なので
(00:02:24) 壊してしまったですね。 「てしまった」は何か悪いこととか残念なこと、良くないことがあった時の動詞の形です。
(00:02:36) ちょっと注意で もしかしたらこれを壊してしまったじゃなくて壊されたにした人もいるかもしれませんが
(00:02:45) これは壊されたはダメです なぜかというと
(00:02:50) ポチがと言ってますね ポチがじゃなくてポチに電話を壊された
(00:02:58) だったら大丈夫です。助詞の使い方がねちょっと受け身の壊されたの形になると違う 違ってしまうので答えは
(00:03:08) 壊してしまったです じゃあその次ですね23これは
(00:03:15) しかしっていう言葉を見ると答えがわかりやすくなります この問題だけじゃないんですけど少し長い日本語を読むときにはこのしかし
(00:03:26) とかあとは似てる意味だとでもとかけれどもとか あと他にも
(00:03:33) 違う意味の言葉だとそれでとかそして それに
(00:03:40) などいろいろありますがこういう文と文をつなぐ言葉 こういうのをつなぐっていうのを
(00:03:50) 接続って言うんですけど接続の言葉をよく覚えておいて そして問題にそれが出てきたら気をつけてみてください
(00:04:02) そうすると文全部の意味もわかりやすくなるし 問題の答えもわかりやすくなります
(00:04:10) さあそれじゃあこの問題ではしかしと言ってます しかしっていうのは前と後ろの意味が反対になります
(00:04:21) なのでこれはしかしの前を見ると寂しかったと言っています そしてその後ろしかしの後は寂しかったの反対だから寂しくないっていう意味の
(00:04:35) 言葉になります
(00:04:38) でこの問題では前は寂しかった でもその後で寂しくない
(00:04:46) 寂しいから寂しくないに変わりました 変わるときの言葉はなりましたを使ってください
(00:04:55) 2番ですね寂しくなくなりました これが答えです
(00:05:02) じゃあ最後これは最後は助詞ですね 助詞難しいんですけどね
(00:05:10) まあ答えを先に言うとポチは私たちの大切な家族 はです
(00:05:17) この問題は はとがを間違えた人がたくさんいるかもしれませんね
(00:05:26) はとがの使い方のルールはまあたくさんあるんで今全部はちょっと説明できません けど
(00:05:34) とりあえず一つだけ絶対にがになる時を覚えておきましょう 質問された時
(00:05:41) 例えば どの犬があなたの犬ですかって質問されたらあの犬が私の犬ですよとか
(00:05:51) あとは 誰が行きますかって聞かれたら私が行きます
(00:05:57) みたいに誰が質問の時にががあったら答えも絶対にがになります
(00:06:04) でこの問題は 質問されてるんじゃなくて
(00:06:09) このポチの紹介ですね 自己紹介の時にも皆さん練習したと思うんですけど
(00:06:18) 自分の紹介とか誰かの紹介とかその時って その人について話している時はを使います
(00:06:27) 私は日本人です私は日本語を勉強していますとか あの人は私の友達ですあの人は日本人じゃありません
(00:06:38) タイ人ですとか なのでこれも同じなのでポチははを使ってください
(00:06:46) はいじゃあとりあえずここまでで文法の問題が全部終わりです この後は文法じゃなくて今度は読解の問題になります
(00:06:58) 読解ちょっと難しいですね まあ時間があったらまた解説したいと思いますので
(00:07:04) 皆さんも時間があったら読解の問題自分で解いてみてください
(00:07:10) さあそれじゃあ今日は問題一つだけでしたがちょうど文法が終わったところなので これで終わりにしたいと思います
(00:07:18) また続きも時間があったら作るので勉強したい人は楽しみに待っててください それじゃあさようなら
