ep. 085 - 神道2(N2)

(00:00:00) みなさんこんにちはTomoです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くない
(00:00:13) でもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:21) 今日もリクエストをもらってますが
(00:00:23) 今日のリクエストは
(00:00:26) 浸透についてですね
(00:00:29) 浸透については前にも一回話したことがあるんですけど
(00:00:33) 今日は浸透についてもう少し詳しくというか
(00:00:39) ちょっとね別のことを話したいと思います
(00:00:43) じゃあまずは浸透についてちょっと復習なんですけど
(00:00:47) 浸透っていうのは何かっていうと
(00:00:50) 日本にある宗教ですね
(00:00:52) 日本でメジャーな宗教って言ったら
(00:00:56) 仏教と浸透とあとはまあキリスト教の人もいますね
(00:01:03) そんなには多くないですけど
(00:01:05) でこの浸透っていうのがどんなものなのかっていうのは
(00:01:10) その前のポッドキャストエピソード51で紹介してるんですけど
(00:01:17) 今日はその浸透と日本人の関わりっていうか
(00:01:23) 日本人の生活とかその日本の文化とかに
(00:01:27) どんなふうに浸透が影響を与えているのかっていうのを
(00:01:31) 考えてみたいと思います
(00:01:34) じゃあまずは浸透っていうと宗教の話なので
(00:01:39) 日本人と宗教についてちょっと確認しておきたいんですが
(00:01:45) 日本人はあんまり宗教がないっていう話を
(00:01:50) みんな聞いたことがあるでしょうか
(00:01:53) 俺もそうなんですけど
(00:01:55) 日本人にあのあなたの宗教って何ですかって聞いても
(00:02:01) いや特にないよとかあとは仏教だけど
(00:02:07) でもあんまり気にしないとか
(00:02:10) 他の宗教のイベントとかもやるっていう人が
(00:02:13) すごく多いと思います
(00:02:16) だから浸透っていうのは日本の宗教なんですけど
(00:02:20) でも私の宗教は浸透ですってはっきり言う人って
(00:02:24) すっごく少ないと思います
(00:02:26) なんでそうなのかっていうと
(00:02:28) 前のエピソードでもちょっと話したと思うんですけど
(00:02:33) 日本のその浸透神様についての考え方って
(00:02:38) 他の宗教とちょっと違って
(00:02:41) 神様はたくさんいる
(00:02:44) あの一人だけじゃないんですよ
(00:02:47) とにかくどんなものにでも神様がいるから
(00:02:50) 他の国から何か別の宗教が入ってきた時も
(00:02:54) その神様はその神様で認める
(00:02:58) でも他のものにも神様はいるっていう感じで
(00:03:02) あのどんどんどんどん神様を認めていったから
(00:03:06) だからいろんな宗教が全部混ざっちゃった感じですね
(00:03:12) なので日本人は神様を信じてないわけではない
(00:03:17) 神様はいると思ってるんだけど
(00:03:19) でも特定の宗教には縛られないっていう感じですね
(00:03:26) これが日本人に多い宗教に対しての考え方だと思います
(00:03:31) 多分ですけどね
(00:03:33) 俺はそうなんですよ
(00:03:34) 俺の周りの人もみんなそんな感じです
(00:03:38) 実は俺の親、両親ですね
(00:03:42) 両親はうちの宗教は仏教だっていうふうに言ってます
(00:03:48) ただ仏教だって言ってるはずなんですけど
(00:03:51) うちには神棚があります
(00:03:53) 神棚っていうのはそのうちの中に作る
(00:03:56) 神様のうちみたいなものですね
(00:03:58) それはあの神道のものです
(00:04:01) なのでうちには神道のものと仏教のものが一緒にあります
(00:04:07) 他の宗教の人から見たらね
(00:04:09) ちょっと信じ難い話かもしれませんが
(00:04:13) とにかくこれが日本の神道の考え方ですね
(00:04:18) 神道のっていうか日本人の考え方かな
(00:04:22) さてそれじゃあ日本人は
(00:04:24) その特定の宗教にあんまりこだわらないで
