ep. 086 - ディズニーランド(N4)

みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
テーマはリクエストもできるので何かリクエストがある人はメールとか sns でメッセージをください。
さて今日は 久しぶりにちょっと俺の苦手なテーマです。
何が苦手かというと 俺があまり知らないことについて話してくださいと言われたので
今日は俺のあまり知らないことがテーマです。 じゃあ今日のテーマは何かというと
ディズニーランドです。 皆さんはディズニーランドわかりますか?
多分わかる人が多いですよね。 ディズニーが作った世界中にあるとても有名な大きな遊園地です。
このディズニーランドですが 日本にもディズニーランドとあと
ディズニーシーっていう、こっちも同じ ディズニーが作った遊園地2つあります。
でこのディズニーランドと日本ならディズニーシーもこの2つなんですが
実は俺は昔からあまりディズニーランドに興味がなかったので あまりディズニーランドについて知らないんです。
有名な遊園地なんですけどね。大好きな人もたくさんいるんですけど でも俺は
あまり興味が持てなかったんです。 なんでかというと
子供の時は確かにこのディズニーランドは すごく楽しそうだったから行きたいと思ってたんですが
でも実際に行った時に 興味がないとは言ったけどでも行ったことはあるんですよ。
家族と一緒に子供の時に行きました。 親に連れて行ってもらいました。
それでその時にいろいろな乗り物に乗ろうと思ったんですけど でも俺は
絶叫マシーンが大嫌いでした。 絶叫マシーンっていうのは
あの 日本語だと他にはジェットコースターとか
あとは 他の国だとローラーコースターって言ったりするかな
とても早く動く乗り物ですね。 それが大嫌いで
なのであのディズニーランドに行っても あんまり
楽しむことができなかったんです。 絶叫マシーンに乗ったら楽しいじゃなくて怖いになってしまうから
だから何も乗ることができなかったし でも何も乗らないと面白くないですよね。
だからディズニーランドって何もできないところだから 面白くないっていうイメージがあって
昔は全然興味がありませんでした。 ただ
大人になってからはちょっと違います。 あの大学生の時に友達と別の遊園地に行ったら
絶叫マシーンは嫌いだって言ったのに無理やり乗らされたんです。
それでその時に 無理やり乗らされたんだけどでも
意外と子供の時と比べてあまり怖くないと思って それで絶叫マシーンに乗ることができるようになりました。
なので子供の時はね全然乗れるものがなかったから あまり面白くないと思ってたんですけど
大人になってからは絶叫マシーンに乗れるようになったので 子供の時よりも楽しめるようになりました。
それで大人になってからは子供の時よりもディズニーランドにちょっと興味が出ました。 そしてディズニーランドだけじゃなくて最初にも言ったけど
日本にはディズニーシーっていうのもあるので それにもちょっと興味が出てきました。
あのディズニーシーって結構昔にできたんですけど でも俺行ったことがなかったんですよ。
さっきも言った通りディズニーランドに全然興味がなかったから だからディズニーシーに行っても面白くないだろうなぁと思って
それで行きたいと思いませんでした。 ただ
大人になって絶叫マシーンに乗れるようになって そしてそれだけじゃなくて
ディズニーシーはディズニーランドよりも少し大人向け
ディズニーランドは子供のための場所だけどディズニーシーは大人も楽しめるような場所 なので
ディズニーシーって ディズニーランドでは飲むことができないお酒を飲めるんですよね
なのでね、楽しい乗り物もあるしお酒も飲めるし それでディズニーシーはきっと楽しいところだと思ってディズニーシーには
ディズニーランドよりも興味がありました
でそのディズニーランドとディズニーシーですが ディズニーランドは子供の時に行ってそれで終わり
大人になってからは全然行きませんでした でもディズニーシーは実は今年の1月に行ってきました
まだ日本でコロナが流行る前ですね ずっと昔からディズニーに興味がなかったからそんなに面白くないかなぁと思ったんですけど
行ってみたら意外と面白かったです 意外とって言ったらちょっと失礼ですねでもまあ面白かったです
絶叫マシーンだけじゃなくて結構面白い乗り物とかもあるんですね 一番面白いなぁと思ったのはちょっと名前は忘れちゃったんですけど
カメ カメが話す乗り物がありました
乗り物っていうかアトラクションっていうのかな 乗り物ではないですねあの
映画館みたいに座って見るだけなんですけど カメが出てきてそしてそのカメがいろいろな話をするっていうのがありました
すごく面白かったです このディズニーランドとかディズニーシーっていうのはディズニーが好きな人は
きっともっと楽しいんでしょうね 俺は子供の時も今もディズニーの映画とかアニメを全然見なかったので
だから楽しめる部分がかなり少ないと思うんですが ディズニーのアニメとかが好きな人は
きっと楽しいんだろうなぁと思います 俺は子供の時は
映画とかアニメはディズニーのものは全然見なくて あの日本のジブリっていう
シリーズというかまぁ会社が作った映画とかねアニメをよく見てました なので俺はちょっとディズニーが完全に楽しめてないと思うんですが
でもそのディズニーについてあまり知らない人でも 面白いと思うものがたくさんあるのでやっぱりディズニーはすごいなぁと思いました
ちょっとね面白かったのはいろんなところにミッキーの形があるっていうことですね ミッキーの耳とあと顔の3つの丸ですね
あの形がディズニーランドとかディズニーシーのいろんなところにあってそれを探すのが ちょっと楽しかったです
さてこのディズニーランドとかディズニーシーですが俺はね昔は興味がなかったから 今は前よりも楽しいと思うんですけど昔は全然興味がなかったから
だから今年行った時も興味がない状態で行ったので あまり楽しめなかったかもしれませんが
今は1回行って楽しかったので前よりもちょっと興味があるから だからもう1回行ったらきっと前よりも楽しいだろうなと思います
なので またねディズニーに行く機会があったら
その時はもうちょっと 楽しいポッドキャストが作れると思うので
ディズニーが好きな人はちょっとねこのエピソードは面白くないかもしれませんが 次の機会まで待ってください
さあそれじゃあ今日はこの辺で終わりますが俺の知らないものについてはね すいませんがあまり今日みたいに
面白い話ができませんが 何かこうもっと面白いね
ディズニーについての情報が知りたかったらこのポッドキャストじゃなくて インターネットで探してみるといいと思います
まあこのポッドキャストは情報を探すためのものじゃなくて 日本語の練習のためのものなのでね
はいそれじゃあ今日はあんまり大したことが話せなくてすみませんがこの辺で終わりに したいと思いますさようなら
