ep. 086 - ディズニーランド(N4)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:11) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:22) テーマはリクエストもできるので何かリクエストがある人はメールとか sns でメッセージをください。
(00:00:30) さて今日は 久しぶりにちょっと俺の苦手なテーマです。
(00:00:39) 何が苦手かというと 俺があまり知らないことについて話してくださいと言われたので
(00:00:48) 今日は俺のあまり知らないことがテーマです。 じゃあ今日のテーマは何かというと
(00:00:56) ディズニーランドです。 皆さんはディズニーランドわかりますか?
(00:01:03) 多分わかる人が多いですよね。 ディズニーが作った世界中にあるとても有名な大きな遊園地です。
(00:01:13) このディズニーランドですが 日本にもディズニーランドとあと
(00:01:20) ディズニーシーっていう、こっちも同じ ディズニーが作った遊園地2つあります。
(00:01:30) でこのディズニーランドと日本ならディズニーシーもこの2つなんですが
(00:01:38) 実は俺は昔からあまりディズニーランドに興味がなかったので あまりディズニーランドについて知らないんです。
(00:01:49) 有名な遊園地なんですけどね。大好きな人もたくさんいるんですけど でも俺は
(00:01:56) あまり興味が持てなかったんです。 なんでかというと
(00:02:02) 子供の時は確かにこのディズニーランドは すごく楽しそうだったから行きたいと思ってたんですが
(00:02:13) でも実際に行った時に 興味がないとは言ったけどでも行ったことはあるんですよ。
(00:02:22) 家族と一緒に子供の時に行きました。 親に連れて行ってもらいました。
(00:02:29) それでその時にいろいろな乗り物に乗ろうと思ったんですけど でも俺は
(00:02:38) 絶叫マシーンが大嫌いでした。 絶叫マシーンっていうのは
(00:02:45) あの 日本語だと他にはジェットコースターとか
(00:02:50) あとは 他の国だとローラーコースターって言ったりするかな
(00:02:56) とても早く動く乗り物ですね。 それが大嫌いで
(00:03:02) なのであのディズニーランドに行っても あんまり
(00:03:08) 楽しむことができなかったんです。 絶叫マシーンに乗ったら楽しいじゃなくて怖いになってしまうから
(00:03:16) だから何も乗ることができなかったし でも何も乗らないと面白くないですよね。
(00:03:25) だからディズニーランドって何もできないところだから 面白くないっていうイメージがあって
(00:03:32) 昔は全然興味がありませんでした。 ただ
(00:03:38) 大人になってからはちょっと違います。 あの大学生の時に友達と別の遊園地に行ったら
(00:03:48) 絶叫マシーンは嫌いだって言ったのに無理やり乗らされたんです。
(00:03:55) それでその時に 無理やり乗らされたんだけどでも
(00:04:00) 意外と子供の時と比べてあまり怖くないと思って それで絶叫マシーンに乗ることができるようになりました。
(00:04:12) なので子供の時はね全然乗れるものがなかったから あまり面白くないと思ってたんですけど
(00:04:20) 大人になってからは絶叫マシーンに乗れるようになったので 子供の時よりも楽しめるようになりました。
(00:04:29) それで大人になってからは子供の時よりもディズニーランドにちょっと興味が出ました。 そしてディズニーランドだけじゃなくて最初にも言ったけど
(00:04:40) 日本にはディズニーシーっていうのもあるので それにもちょっと興味が出てきました。
(00:04:48) あのディズニーシーって結構昔にできたんですけど でも俺行ったことがなかったんですよ。
(00:04:56) さっきも言った通りディズニーランドに全然興味がなかったから だからディズニーシーに行っても面白くないだろうなぁと思って
(00:05:05) それで行きたいと思いませんでした。 ただ
(00:05:10) 大人になって絶叫マシーンに乗れるようになって そしてそれだけじゃなくて
(00:05:16) ディズニーシーはディズニーランドよりも少し大人向け
(00:05:23) ディズニーランドは子供のための場所だけどディズニーシーは大人も楽しめるような場所 なので
(00:05:32) ディズニーシーって ディズニーランドでは飲むことができないお酒を飲めるんですよね
(00:05:39) なのでね、楽しい乗り物もあるしお酒も飲めるし それでディズニーシーはきっと楽しいところだと思ってディズニーシーには
(00:05:50) ディズニーランドよりも興味がありました
(00:05:55) でそのディズニーランドとディズニーシーですが ディズニーランドは子供の時に行ってそれで終わり
(00:06:03) 大人になってからは全然行きませんでした でもディズニーシーは実は今年の1月に行ってきました
(00:06:14) まだ日本でコロナが流行る前ですね ずっと昔からディズニーに興味がなかったからそんなに面白くないかなぁと思ったんですけど
(00:06:26) 行ってみたら意外と面白かったです 意外とって言ったらちょっと失礼ですねでもまあ面白かったです
(00:06:34) 絶叫マシーンだけじゃなくて結構面白い乗り物とかもあるんですね 一番面白いなぁと思ったのはちょっと名前は忘れちゃったんですけど
(00:06:46) カメ カメが話す乗り物がありました
(00:06:51) 乗り物っていうかアトラクションっていうのかな 乗り物ではないですねあの
(00:06:58) 映画館みたいに座って見るだけなんですけど カメが出てきてそしてそのカメがいろいろな話をするっていうのがありました
(00:07:08) すごく面白かったです このディズニーランドとかディズニーシーっていうのはディズニーが好きな人は
(00:07:17) きっともっと楽しいんでしょうね 俺は子供の時も今もディズニーの映画とかアニメを全然見なかったので
(00:07:29) だから楽しめる部分がかなり少ないと思うんですが ディズニーのアニメとかが好きな人は
(00:07:37) きっと楽しいんだろうなぁと思います 俺は子供の時は
(00:07:42) 映画とかアニメはディズニーのものは全然見なくて あの日本のジブリっていう
(00:07:51) シリーズというかまぁ会社が作った映画とかねアニメをよく見てました なので俺はちょっとディズニーが完全に楽しめてないと思うんですが
(00:08:05) でもそのディズニーについてあまり知らない人でも 面白いと思うものがたくさんあるのでやっぱりディズニーはすごいなぁと思いました
(00:08:17) ちょっとね面白かったのはいろんなところにミッキーの形があるっていうことですね ミッキーの耳とあと顔の3つの丸ですね
(00:08:30) あの形がディズニーランドとかディズニーシーのいろんなところにあってそれを探すのが ちょっと楽しかったです
(00:08:39) さてこのディズニーランドとかディズニーシーですが俺はね昔は興味がなかったから 今は前よりも楽しいと思うんですけど昔は全然興味がなかったから
(00:08:52) だから今年行った時も興味がない状態で行ったので あまり楽しめなかったかもしれませんが
(00:09:01) 今は1回行って楽しかったので前よりもちょっと興味があるから だからもう1回行ったらきっと前よりも楽しいだろうなと思います
(00:09:14) なので またねディズニーに行く機会があったら
(00:09:18) その時はもうちょっと 楽しいポッドキャストが作れると思うので
(00:09:25) ディズニーが好きな人はちょっとねこのエピソードは面白くないかもしれませんが 次の機会まで待ってください
(00:09:34) さあそれじゃあ今日はこの辺で終わりますが俺の知らないものについてはね すいませんがあまり今日みたいに
(00:09:42) 面白い話ができませんが 何かこうもっと面白いね
