ep. 087 - おすすめの本(N3)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
テーマはリクエストもできるのでリクエストがある人はメールとかメッセージを送ってください
さて今日はリクエストをもらったテーマですが 読書について
話してくださいということですね 読書のおすすめの本ですね
このテーマは 確かに俺は本を読むのが好きです
確か自己紹介でも本を読むのが好きっていう話はしたような気がします ただ
俺が好きな本っていうのは 小説じゃありません
この話も多分したかな なので
このリクエストでおすすめしてほしい本っていうのは小説かもしれないんですけど でも俺は小説は全然読まないので
申し訳ないんですが小説のおすすめは ちょっとねできないんです
ただ小説じゃない本だったら俺も読んでて面白いと思う本はあるので 今日はそのね俺が好きな本を紹介したいと思います
じゃあまずは一つ目なんですけど 読書のための本ですね
本の読み方の本 本の読み方ってどういうことかというと
俺が好きなのは好きっていうか面白いなと思ったのは 速読の本です
速読っていうのは本をとても早く読むことです 例えば
一冊読むのに2時間とか3時間かかる人は結構たくさんいると思うんですけど そうじゃなくて一冊読むのに10分ぐらいしかかからないとか
そのぐらいとても早く本を読むことを速読と言います この速読っていうのは結構嘘みたいな話も多いんですけど
例えば本をパラパラっとめくってそれだけで本当に 10分どころか5分とか3分とか
そのぐらい早く一冊読み終わるとか あとは一回読んだだけで
どこのページに何が書いてあるか全部覚えるとか そういうね話も
聞いたことはあるんですがまぁそれは 嘘です
絶対そんなことはできないと思います もしかしたら本当にできる人はいるかもしれないけど俺には無理でした
ただ その速読の本にはそういうものすごい早く本を読めるっていう嘘みたいな話も書いてあるんですけど
そうじゃなくて練習したら誰でも本の読み方が上手になって それで今までよりも早くそして上手に情報
欲しい情報とか大切なこととかを探せるようになるっていう そういう速読の本はたくさんあります
なので そのね本の読み方の本っていうのが面白いなぁと思って
よく読んでいた時がありました じゃあその中でその速読で有名な本ですがとりあえず2つ
まず一つがフォトリーディングっていう本ですね これはもともとはアメリカかな確かアメリカで有名な本の読み方ですね
そしてもう一つがフォーカスリーディングっていうものです この2つの本ねどちらもタイトルだけ見ると今までの10倍ぐらい本を読むのが早くなる
とか 一冊10分で読めるとか嘘みたいなことが書いてあるんですけど
でも中を見ると結構普通のことも書いてあります 確かに本の中にはその嘘みたいな話が書いてあって
絶対誰もできないだろうなーって思うこともありますがでもそれだけじゃなくて 練習したら絶対誰でも本の読み方が上手になるっていうのもあるので
結構ね面白いと思います それから次に面白いなって思った本
これは 本の読み方じゃなくて考え方の本ですね
論理学についての本です 論理学っていうのは
論理っていうのはロジカルにものを考える なのでただの思いつきで話すんじゃなくてちゃんと理由とか根拠があってそれで私は
こう思うとかこれはこうだっていうふうに言ったりする それが論理と言うんですがどうすれば論理的に物事を考えることができるの
かっていうのを説明している本です そんなにね専門的な話じゃなくて誰でも分かるような
初心者向けの本が一冊あって野矢茂先生っていう先生が書いた本なんですけど 入門論理学っていう本で
これはね結構面白いなと思いました まあ初心者向けとはいえ日本人でも結構難しいと思うので
外国人のね日本語を勉強している人にはちょっとね大変かもしれませんが n 1とかそのぐらいになったら結構ね
面白いんじゃないかと思います それからもう一冊もう一冊っていうかもう一人ですね
これが結構好きな人 それが誰かというと
教育学とかあとは国語の先生ですね 日本語を教えることもちょっとやってるみたいなんですけど
斉藤孝先生っていうその人が書いた本 この人は多分一番の専門は国語かな
日本の学校で日本人に その国語を教える国語っていうのは自分の国の言葉ですね
日本だったら日本語だし中国だったら中国語 アメリカだったら英語とかね
その国語の先生なんですが やっぱり国語の先生だから本の読み方についての本を結構たくさん出しています
この先生もさっき最初に話した即読の本も出してるし あとは本の読み方で即読じゃなくて
ボールペンを使った読み方とか 本を読むときに何も持たないで何も書かないで読むんじゃなくて
ボールペンを使って本にいろいろ書きながら読むと 本がとてもよくわかるようになるっていうそういう読み方ですね
そういう本の読み方についていろいろ本を出しているので この人の本も何冊かね読みました
結構面白いなと思ったのがあります あとは他に俺がよく読む本っていうのは
やっぱりその日本語教育 つまり日本語の先生のための本っていうのがほとんどなので
ちょっとね日本語を勉強している人におすすめできる本っていうのが あまりないんですよ
日本語を勉強している人っていうか 日本人にもおすすめできる本があまりないかなと思います
いつもねなんか難しそうな面白くなさそうな本読んでるっていうふうに言われます 俺はね読んでる本には面白いと思ってるんですけどね
ってことであの本のおすすめなんですが 俺がおすすめできる本は今日話した本の読み方についてとか
あとは考え方についてですね こういう本が俺は面白いなと思ったので皆さんもぜひ読んでみてください
いやもしかしたら面白くないかもしれないから読まなくてもいいですけどね 俺は面白いと思いますよっていうだけです
はいじゃあ今日は本のおすすめの本の話でした 皆さんも何か面白い本をしていたらぜひ教えてください
それじゃあ今日はこの辺で終わりますさようなら
