ep. 087 - おすすめの本(N3)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:22) テーマはリクエストもできるのでリクエストがある人はメールとかメッセージを送ってください
(00:00:29) さて今日はリクエストをもらったテーマですが 読書について
(00:00:36) 話してくださいということですね 読書のおすすめの本ですね
(00:00:42) このテーマは 確かに俺は本を読むのが好きです
(00:00:49) 確か自己紹介でも本を読むのが好きっていう話はしたような気がします ただ
(00:00:56) 俺が好きな本っていうのは 小説じゃありません
(00:01:01) この話も多分したかな なので
(00:01:05) このリクエストでおすすめしてほしい本っていうのは小説かもしれないんですけど でも俺は小説は全然読まないので
(00:01:15) 申し訳ないんですが小説のおすすめは ちょっとねできないんです
(00:01:21) ただ小説じゃない本だったら俺も読んでて面白いと思う本はあるので 今日はそのね俺が好きな本を紹介したいと思います
(00:01:34) じゃあまずは一つ目なんですけど 読書のための本ですね
(00:01:41) 本の読み方の本 本の読み方ってどういうことかというと
(00:01:47) 俺が好きなのは好きっていうか面白いなと思ったのは 速読の本です
(00:01:55) 速読っていうのは本をとても早く読むことです 例えば
(00:02:02) 一冊読むのに2時間とか3時間かかる人は結構たくさんいると思うんですけど そうじゃなくて一冊読むのに10分ぐらいしかかからないとか
(00:02:15) そのぐらいとても早く本を読むことを速読と言います この速読っていうのは結構嘘みたいな話も多いんですけど
(00:02:27) 例えば本をパラパラっとめくってそれだけで本当に 10分どころか5分とか3分とか
(00:02:38) そのぐらい早く一冊読み終わるとか あとは一回読んだだけで
(00:02:45) どこのページに何が書いてあるか全部覚えるとか そういうね話も
(00:02:52) 聞いたことはあるんですがまぁそれは 嘘です
(00:02:58) 絶対そんなことはできないと思います もしかしたら本当にできる人はいるかもしれないけど俺には無理でした
(00:03:08) ただ その速読の本にはそういうものすごい早く本を読めるっていう嘘みたいな話も書いてあるんですけど
(00:03:18) そうじゃなくて練習したら誰でも本の読み方が上手になって それで今までよりも早くそして上手に情報
(00:03:30) 欲しい情報とか大切なこととかを探せるようになるっていう そういう速読の本はたくさんあります
(00:03:39) なので そのね本の読み方の本っていうのが面白いなぁと思って
(00:03:45) よく読んでいた時がありました じゃあその中でその速読で有名な本ですがとりあえず2つ
(00:03:54) まず一つがフォトリーディングっていう本ですね これはもともとはアメリカかな確かアメリカで有名な本の読み方ですね
(00:04:06) そしてもう一つがフォーカスリーディングっていうものです この2つの本ねどちらもタイトルだけ見ると今までの10倍ぐらい本を読むのが早くなる
(00:04:20) とか 一冊10分で読めるとか嘘みたいなことが書いてあるんですけど
(00:04:26) でも中を見ると結構普通のことも書いてあります 確かに本の中にはその嘘みたいな話が書いてあって
(00:04:36) 絶対誰もできないだろうなーって思うこともありますがでもそれだけじゃなくて 練習したら絶対誰でも本の読み方が上手になるっていうのもあるので
(00:04:47) 結構ね面白いと思います それから次に面白いなって思った本
(00:04:54) これは 本の読み方じゃなくて考え方の本ですね
(00:05:01) 論理学についての本です 論理学っていうのは
(00:05:06) 論理っていうのはロジカルにものを考える なのでただの思いつきで話すんじゃなくてちゃんと理由とか根拠があってそれで私は
(00:05:19) こう思うとかこれはこうだっていうふうに言ったりする それが論理と言うんですがどうすれば論理的に物事を考えることができるの
