ep. 089 - 擬音語(N3)

(00:00:00) みなさんこんにちはTomoです
(00:00:07) これは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くない
(00:00:13) でもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師のTomoが
(00:00:18) ちょうどいい日本語で話をします
(00:00:22) 今日のテーマは擬音語とか擬態語についてです
(00:00:28) 擬音語とか擬態語って何かというと
(00:00:32) 擬音語っていうのは物の音を表す言葉
(00:00:36) そして擬態語っていうのは物の動きとか
(00:00:41) あとは状態ですね
(00:00:43) それを表す言葉です
(00:00:46) 今日はこれについてなんですが
(00:00:48) ただちょっとね擬態語は物の動きとかなので
(00:00:53) ポッドキャストだとねちょっと物の動きを見せることができないから
(00:01:00) ちょっと説明が難しいので
(00:01:02) 今日は擬音語についていろいろ紹介したいと思います
(00:01:07) じゃあ擬音語ってどんなものなのかっていうと
(00:01:10) 多分皆さんも聞いたことあると思うんですけど
(00:01:13) 例えばこういう音
(00:01:18) 何かをノックする音なんですが
(00:01:21) これを日本語で書くとどうなるかわかりますか
(00:01:25) 人によって違うかもしれませんが
(00:01:28) これはトントンとかコンコンっていう風に書く人が多いと思います
(00:01:34) こういう風に音を日本語にするのが擬音語です
(00:01:40) じゃあ他にどんな擬音語があるのか
(00:01:43) ちょっとねいろいろな音を出して
(00:01:46) そしてそれを実際に俺が擬音語にしてみたいと思います
(00:01:52) じゃあ今やったのはノックする音ですね
(00:01:56) ドアとか何かを叩く音なんですが
(00:02:01) 小さい音でそして軽い音ですね
(00:02:04) これだとさっきみたいなあまり大きくない軽い音
(00:02:10) トントンとかなんですけど
(00:02:12) これをもう少し大きい音とか強い音にするとどうなるか
(00:02:18) 例えばこんな音です
(00:02:22) 今のは同じ場所を叩いたんですが
(00:02:25) 最初に叩いた時は指で軽く
(00:02:29) 今度は手を使って
(00:02:32) 手全部でパンチするみたいに
(00:02:36) ちょっと大きく強く音を出しました
(00:02:40) こういう風に強く叩いた時の音はトントンじゃなくて
(00:02:45) 今度は点々をつけてドンドンとなります
(00:02:49) ドンドンです
(00:02:51) だいたい日本語は点々がつくと強い音とか大きい音になります
(00:02:58) じゃあ次今度は叩く音じゃなくて別の音です
(00:03:02) 聞いてください
(00:03:09) これ何の音かわかりますか
(00:03:12) 袋の中に入っている紙
(00:03:15) 紙を触った時の音です
(00:03:18) この紙を触った時の音はガサガサという言葉で表します
(00:03:25) ガサガサって言います
(00:03:27) じゃあ次です
(00:03:34) 今度は袋じゃなくてカバンの中に手を入れています
(00:03:39) カバンの中に手を入れて
(00:03:41) そして何かを探している時の音
(00:03:44) ゴソゴソっていう風に言う時が多いです
(00:03:48) カバンの中に手を入れた時じゃなくてもいいんですけど
(00:03:52) 紙の音がガサガサで
(00:03:54) 今度はカバンの中にあるものは紙じゃなくて
(00:03:57) もっと硬いものが多いので
(00:04:00) そういう硬いものとかを触ったりとか
(00:04:04) 何かしている時の音がゴソゴソと言います
(00:04:08) じゃあ次です
(00:04:13) 今度は物を触った音じゃなくて
(00:04:16) 機械のスイッチの音ですね
(00:04:19) 今のは扇風機のスイッチを入れた音なんですが
(00:04:23) こういう機械の音はピと言います
(00:04:27) 機械の音の時はカタカナでピですね
(00:04:32) ガサガサとかキラガナで書く時もあるんですけど
(00:04:34) 機械の時はどうしてだろう
(00:04:37) どうしてか俺もわかんないですけど
(00:04:39) カタカナで書きます
(00:04:41) じゃあその次ですね
(00:04:43) 次はこの音です
(00:04:50) これは何の音かすぐ分かりましたか
(00:04:53) 水の音ですね
(00:04:55) 水道の水の音です
(00:04:57) 水の音もいろいろあるんですが
(00:04:59) 今の音だったら俺はジャーと書きます
(00:05:03) 水が流れる音でジャーです
(00:05:06) これもカタカナで書きますね
(00:05:09) じゃあ続いて今度はこの音です
(00:05:15) ちょっと小さい音でしたが
(00:05:17) これはシャープペンシル
(00:05:19) ペンの押す音
(00:05:21) これはカチと言います
(00:05:24) カチカチですね
(00:05:26) 小さくて硬い感じの音はカチという風に言います
(00:05:31) 今のペンだけじゃなくて
(00:05:32) 例えばこういうのも同じくカチですね
(00:05:37) 聞こえましたか
(00:05:39) 今の音はマウス
(00:05:41) パソコンのマウスの音です
(00:05:43) マウスをクリックする音ですね
(00:05:46) じゃあ次の音いきますね
(00:05:48) 今度はこれです
(00:05:54) さあこれは何の音かというと
(00:05:56) カーテンを開けたり閉めたりする音です
(00:06:00) 今のカーテンの音
(00:06:02) 俺だったら今のはシャーっていう風に言います
(00:06:06) シャーですね
(00:06:08) 水の音とかもシャーっていう時がありますが
(00:06:11) もうちょっと軽い感じのイメージですね
(00:06:14) さあ次行きますよ
(00:06:16) 次の音はこれです
(00:06:21) はい今度は何の音かわかったでしょうか
