ep. 090 - ジブリ(N3)

(00:00:00) みなさんこんにちはTomoです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くない
(00:00:12) でもドラマや映画は難しすぎる
(00:00:15) そんな人のために
(00:00:16) 日本語教師のTomoがちょうどいい日本語で話をします
(00:00:20) 今日もテーマのリクエストもらってます
(00:00:23) 今日はジブリ
(00:00:25) ジブリについて話してくださいっていうリクエストです
(00:00:30) このリクエストはスロバキアのアンナさんという方からです
(00:00:35) スロバキアの人と話すのは初めてなので
(00:00:38) ちょっとびっくりしました
(00:00:39) リクエストありがとうございました
(00:00:42) さてこのジブリなんですが
(00:00:45) 前のエピソードでちょっと話したことがあったと思うんですけど
(00:00:49) 俺は結構ジブリが好きなんですよ
(00:00:53) ディズニーの作品は全然見ないで
(00:00:55) ジブリばっかり見てたっていう風に
(00:00:58) ディズニーランドの話をした時に言ったと思います
(00:01:02) じゃあまずはジブリって何なのかっていうと
(00:01:06) ジブリは会社の名前です
(00:01:08) 映画を作る会社です
(00:01:10) アニメの映画なんですけど
(00:01:13) このアニメの映画っていうのが
(00:01:15) 日本ではとっても有名で
(00:01:19) ジブリのアニメを見たことがない人っていうのは
(00:01:23) 日本にほとんどいないんじゃないですかね
(00:01:26) 俺が好きだからそう思うのかもしれないけど
(00:01:30) でもすごく人気なのは本当に間違いなくて
(00:01:35) 例えばその証拠に
(00:01:36) 1年に何回かテレビでこのジブリの映画が放送されます
(00:01:44) なぜそんな毎年何回も放送されるか
(00:01:49) わかりますよね
(00:01:50) それだけたくさんの人が見るからです
(00:01:55) なのでこのジブリっていうのは
(00:01:57) 俺が個人的に好きなだけじゃなくて
(00:02:01) 日本中でとても人気がある映画です
(00:02:05) ジブリについて話すことって言うと
(00:02:08) たくさんあるので
(00:02:10) この1回だけではね
(00:02:12) 全部話すことができないんですが
(00:02:14) とりあえず俺の好きなジブリの作品の
(00:02:18) 紹介をしておきたいと思います
(00:02:21) まずは今まで俺が多分一番多く見てる作品
(00:02:28) それは隣のトトロっていう作品です
(00:02:32) これは俺が子供の時にうちにビデオがあったので
(00:02:37) 暇な時に何回も見てました
(00:02:41) トトロっていうのは
(00:02:43) 森の中に住んでる不思議な生き物です
(00:02:47) 普通の動物じゃないですよ
(00:02:50) 森の中に住んでて
(00:02:51) 1000年以上生きてる不思議な生き物です
(00:02:56) 見た目はなんだろう
(00:03:00) 猫でもないし
(00:03:02) クマでもないし
(00:03:04) なんか大きい体でちょっと丸くて
(00:03:08) 猫とうさぎの真ん中みたいな
(00:03:11) 耳をしてる生き物です
(00:03:14) 隣のトトロっていう映画は
(00:03:16) このトトロと
(00:03:18) あとは普通の人間の子供
(00:03:22) サツキとメイっていう二人の女の子
(00:03:27) この人たちがトトロのおかげで
