ep. 093 - おすし　重低音ver. (N2)

みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教授のトモがちょうどいい日本語で話をします。
今日は重低音バージョンでお送りしています。 嬉しいことによく俺の声はいい声だと言われることがあります。
男性でいい声というとやっぱりこの重低音がよく響く声ですね。 ですので今日はその重低音をいつもよりももっと強く響かせて話しています。
ちなみにいつもの俺の話す声はこんな感じですね。 普通の声も結構他の男性の人と比べると低い方なんですが、これをさらに低くするとこんな感じの声になります。
まあいい声っていうよりもこれだけいつもと違う声を出すと どちらかというと面白い声に聞こえますが
いつも同じ声を聞いていると飽きてしまうかもしれないので今日は 違う人のポッドキャストを聞いている気分で新鮮な気分で聞いてください。
さてそれじゃあ今日は寿司についてです。 なんで寿司なのかというと
今日の俺の夕飯が寿司だからです。 他に特に理由はありません。
寿司って何なのかというのはもう日本語の勉強をしている人には説明なんかし なくても大丈夫ですよね。
日本語がわからなくても寿司を知っている人というのはきっと世界中にいると思います。 でも一応簡単に説明しておきましょう。
皆さん寿司というのはご飯の上に魚を生魚を乗せた料理だと思っていませんか 実は違います。
寿司っていうのはそれだけじゃありません。 ただのご飯の上に生魚を乗せるだけそんな簡単なものではありません。
まずただのご飯じゃありません。 酢飯です。 寿司に使うご飯というのは普通のご飯ではなくて
お酢や砂糖塩などを混ぜて作ったご飯です。 そして上に乗せるもの。
これは生魚だけじゃなくて様々なものを乗せます。 魚は生じゃなくてもいいし魚じゃなくて肉を乗せてもいいし
野菜を乗せる場合もあります。 だから寿司というのはご飯の上に生魚ではなくて酢飯の上にいろいろなものを乗せる料理というのが正しい説明です。
これが寿司です。 さて正しい寿司の定義っていうのは難しいんですが
それでも寿司っていう名前は世界中で有名ですね。 日本人は生魚が好きだ。
いつも寿司や刺身を食べている。そんなイメージがあるかもしれません。 しかしはっきり言ってそれは誤解です。
日本人だからと言って常に生魚を食べているわけではありません。 とりあえず俺の個人的な話をすると寿司を食べるのは多くても1ヶ月に1、2回程度。
もっと少ない時だってあります。 そして日本人なら誰でも寿司が好きかって言うとそういうわけではありません。
とりあえず俺は子供の時は寿司がそんなに好きじゃありませんでした。 寿司っていうか生魚がそんなに好きじゃありませんでした。
だから寿司を食べに行っても魚の寿司よりも肉とか卵とか そういう寿司をたくさん食べていました。
生魚が好きじゃなかったからもちろん刺身なんて自分から食べたいとは全然思いませんでした。
俺は大人になってから生魚が好きになったから 寿司や刺身とかをそれなりに頻繁に食べるようにはなったけどやっぱり大人になっても
魚がそんなに好きじゃないっていう人はいます。 ただそうは言ってもやっぱり日本人は他の国の人と比べたら断然寿司をたくさん食べています。
特に俺が子供の時よりも今の日本の方が寿司をたくさん食べてるんじゃないかという気が します。
なぜかというと寿司というのは俺が子供の時は結構高価なものでした。
前に回転寿司の話をちょっとしたと思うんですが 今は回転寿司は結構安いです。
1皿100円というところが結構多いです。 もちろん高い回転寿司もあるんですが、でも今は回転寿司というと1皿100円で
とても気軽に手軽に食べられるというイメージが強いです。 でも昔はそうじゃなくて回転寿司でも1皿100円じゃなくて
200円、300円のものが結構あって、それなりに高いというイメージがありました。 だから寿司は回らない寿司。
まあつまり普通の寿司屋ですね。 回転寿司じゃなくて普通の寿司屋だともちろん高いし、回転寿司に行っても安いわけではない。
だからそんなに頻繁に食べられるものではないというのが寿司のイメージでした。 ただ今は1皿100円の回転寿司がとても多くなったので前よりももっと簡単に食べられる
ものになりました。 だから俺のイメージでは昔よりも今の方が寿司は多く食べられているんじゃないかっていう気が
します。 さてこの寿司ですが人によって好みのネタは違います。
ネタっていうのはご飯の上に乗っている魚とか肉のことです。 今日はせっかく寿司がテーマなので俺のおすすめというか、俺の好みの寿司を紹介しておきたいと思います。
じゃあ俺が好きな寿司ネタトップ5。 第5位
えんがわ。 えんがわというのは魚の体の一部分の名前なんですが、寿司屋でよく見るのは白身の魚ですね。
他の寿司ネタと比べると少し硬いコリコリした感じがあって美味しいです。 続いて第4位、いくら。
いくらは魚の卵です。 サーモンの卵ですね。
これは口の中でプチプチ弾ける食感がたまりません。 ただ他の寿司ネタと比べると少し高いのでそう気軽に食べられるものではありません。
続いて第3位、ネギトロ。 ネギトロはマグロです。マグロを使った寿司ネタです。
ただマグロをそのまま食べるんじゃなくてミンチにしてハンバーグみたいな感じですごく細かくして、そして食べるのがネギトロです。
もちろん名前通り、トロだけじゃなくてネギも一緒に乗っています。 刺身みたいな一切れずつのネタじゃなくてミンチにしてあるので食感が柔らかくてとても美味しいです。
続いて第2位。第2位はサーモンです。 日本語で言ったら鮭という名前の魚です。
さっき言ったイクラの親ですね。 サーモンは油がのって美味しいんですが、そのままじゃなくって少し炙ってあったりとか何かを乗せたりとかしていろいろアレンジがされて
出されている時も多いです。 なので一つの魚でいろいろな楽しみ方がある、まあ便利なネタですね。
そして最後、ハエある第1位。 これは寿司が好きなら言わなくてもわかりそうなものですが、
トロです。 寿司の王様。
トロを食べずに寿司は勝たれません。 特に本マグロの大トロ。
開店寿司では絶対に食べられません。 ちゃんとした寿司屋に行けば食べることができるかもしれませんが、とにかく高いです。
1貫だけで何百円取られるかわかりません。 高い店だと1000円、2000円、そのくらい高いものも珍しくありません。
とにかく高いんですが、高いだけあって美味しいです。 ほっぺたが落ちるとはまさにこのことだと思います。
寿司が好きな人は死ぬ前に絶対日本に来て大トロを食べてください。 さてそれじゃあ以上で俺の寿司の紹介が終わりですが、やっぱりお寿司は聞くだけじゃなくて食べるのが一番ですね。
日本に住んでいる人はこのポッドキャストを聞いたら是非寿司を食べに行ってください。 皆さんの国にも寿司屋さんがあるかもしれませんが、日本人としてはやはり日本に来て食べるのが一番だと思います。
なので 寿司を食べたことがない人も食べたことがある人も是非日本に来て美味しい寿司を食べてください。
はいじゃあ今日はこの辺で終わりにしたいと思います。 今日は重低音バージョンでお送りしました。結構疲れるので
