ep. 093 - おすし　重低音ver. (N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教授のトモがちょうどいい日本語で話をします。
(00:00:22) 今日は重低音バージョンでお送りしています。 嬉しいことによく俺の声はいい声だと言われることがあります。
(00:00:32) 男性でいい声というとやっぱりこの重低音がよく響く声ですね。 ですので今日はその重低音をいつもよりももっと強く響かせて話しています。
(00:00:48) ちなみにいつもの俺の話す声はこんな感じですね。 普通の声も結構他の男性の人と比べると低い方なんですが、これをさらに低くするとこんな感じの声になります。
(00:01:02) まあいい声っていうよりもこれだけいつもと違う声を出すと どちらかというと面白い声に聞こえますが
(00:01:12) いつも同じ声を聞いていると飽きてしまうかもしれないので今日は 違う人のポッドキャストを聞いている気分で新鮮な気分で聞いてください。
(00:01:24) さてそれじゃあ今日は寿司についてです。 なんで寿司なのかというと
(00:01:30) 今日の俺の夕飯が寿司だからです。 他に特に理由はありません。
(00:01:37) 寿司って何なのかというのはもう日本語の勉強をしている人には説明なんかし なくても大丈夫ですよね。
(00:01:46) 日本語がわからなくても寿司を知っている人というのはきっと世界中にいると思います。 でも一応簡単に説明しておきましょう。
(00:01:57) 皆さん寿司というのはご飯の上に魚を生魚を乗せた料理だと思っていませんか 実は違います。
(00:02:09) 寿司っていうのはそれだけじゃありません。 ただのご飯の上に生魚を乗せるだけそんな簡単なものではありません。
(00:02:20) まずただのご飯じゃありません。 酢飯です。 寿司に使うご飯というのは普通のご飯ではなくて
(00:02:29) お酢や砂糖塩などを混ぜて作ったご飯です。 そして上に乗せるもの。
(00:02:37) これは生魚だけじゃなくて様々なものを乗せます。 魚は生じゃなくてもいいし魚じゃなくて肉を乗せてもいいし
(00:02:49) 野菜を乗せる場合もあります。 だから寿司というのはご飯の上に生魚ではなくて酢飯の上にいろいろなものを乗せる料理というのが正しい説明です。
(00:03:04) これが寿司です。 さて正しい寿司の定義っていうのは難しいんですが
(00:03:11) それでも寿司っていう名前は世界中で有名ですね。 日本人は生魚が好きだ。
(00:03:19) いつも寿司や刺身を食べている。そんなイメージがあるかもしれません。 しかしはっきり言ってそれは誤解です。
(00:03:29) 日本人だからと言って常に生魚を食べているわけではありません。 とりあえず俺の個人的な話をすると寿司を食べるのは多くても1ヶ月に1、2回程度。
(00:03:41) もっと少ない時だってあります。 そして日本人なら誰でも寿司が好きかって言うとそういうわけではありません。
(00:03:52) とりあえず俺は子供の時は寿司がそんなに好きじゃありませんでした。 寿司っていうか生魚がそんなに好きじゃありませんでした。
(00:04:04) だから寿司を食べに行っても魚の寿司よりも肉とか卵とか そういう寿司をたくさん食べていました。
(00:04:13) 生魚が好きじゃなかったからもちろん刺身なんて自分から食べたいとは全然思いませんでした。
