ep. 095 - Vtuber(N2)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
今日のテーマはVTuberについて
皆さんVTuberってわかるでしょうか 俺は知りませんでした
なので今日はまたね 申し訳ないことに俺の知らないことがテーマなので大したことは話せないんですが
ちょっとねこのVTuberについて意見を聞かれたのでそれに答えたいと思います まあ知らないものについての意見だからね
あのあまり いいことは言えないかもしれませんけど
まあとにかく今日のテーマはVTuberについてです それじゃあまずVTuberって何なのかということを説明しておきたいと思います
皆さんの国にはYouTuberっていうのはいるでしょうか YouTubeを使っていろいろな活動をする人をYouTuberって言うんですけど
VTuberっていうのはバーチャルYouTuberのことらしいですね 本物の人がYouTubeで活動するんじゃなくて
アニメみたいなアニメのキャラクターみたいなバーチャルの人がYouTubeで活動している それがVTuberです
バーチャルって言っても中の人 つまり
あの 話をしたりとかそういう人はもちろんいるんですけど
自分がYouTubeに出るんじゃなくてそのアニメのキャラクターみたいなのを作ってそして 声は自分の声ででも動きはそのキャラクターでみたいなのが
VTuberですね でこのVTuberについてちょっと意見を聞かれたんですけど
どんな質問だったかというと日本ではこのVTuberっていうのがとても人気があるけど でも他の国ではそんなに人気がない
なんで日本ではそんなに人気があるんですかっていう そんな質問です
なんででしょうね あの俺もVTuberっていうものを知らなかったので
なんでなのかっていうのは理由ははっきりわかんないんですけど でも
まあ考えてみると日本では確かに他の国よりもこういうバーチャルのものっていうのは
人気が出やすいかなっていう気はします なぜかというと
まあ皆さんも知ってるとは思いますが日本って昔からアニメ アニメを見てる人がたくさんいましたね
昔も今もそうですね なのでそのバーチャルの人を見るっていうことについてあまり抵抗がないんじゃないかなっていう気がします
バーチャルの人っていうと昔はアニメだけでしたが 最近じゃないか
何年ぐらい前かな 10年15年ぐらい前かな
そのくらいから 初音ミクって
聞いたことある人いるかな これもまあバーチャルのキャラクターの一つなんですけど
この初音ミクっていうのがすごく人気が出てきて バーチャルなんだけどでも
バーチャルのそのキャラクターの単独ライブとか そういうことをしています
だからそのアニメだったりとか初音ミクだったりとかとにかくバーチャルのものに対して 抵抗が全然なくてそれで
VTuberが出てきた時にまあ今までと同じような感覚でアニメとかを見るような感覚で VTuberを見てるからだから
あのあんまり抵抗なく いいものだったらすんなり受け入れることができたのかなっていう気がします
キャラクターを使って何かするっていうのはアニメだけじゃなくって他にも日本では 結構いろんなところでやってるんですよね
ゆるキャラっていうのを聞いたことあるでしょうか いろんな
場所のキャラクターですね場所じゃなくてもいいんですけど 何かをアピールするときに人がするんじゃなくて何か可愛いキャラクターを作って
それでそのキャラクターに何かを宣伝してもらったりとか人を呼んでもらったりとか そういうことも結構昔から日本ではしています
なのでとにかく 日本ではその人じゃない何か別のキャラクターとかバーチャルのものを使ってするっていう
下地がだいぶ前からできてたんですね でもちろん
する側も それをされる側もその下地があるからだから
バーチャルの何かを作ったときに他の国と比べてすぐ受け入れられてそれで 人気が出るのかなと思います
多分ですけどね いやこれ俺の意見だから本当のところ実際はわかんないですけどね
このVTuberについてちょっと調べてみたら結構いろんな人とかあとは人じゃなくて 企業とかもやってるらしいですね
なんでユーチューバーじゃなくてVTuberになるのかっていうと結構ね 都合のいいことが多いみたいですね
例えば企業がVTuber作る場合は自分の会社の商品とかに合わせて自由に 見た目も性格も全部設定できるからアピールしやすいっていうのもあるでしょうし
個人でやる場合もその自分の 顔とかは好きじゃない見た目は好きじゃないけどでも自分から何か発信したい
いろんな人に話をしたりとか あとはまあ歌を歌ったりでもいいしそういう自分の何かを他の人に伝えたいっていう人には
自分の気に入らない外見は出さずに発信できるっていうのですごく やりやすいみたいですね
まあ確かに顔を出さずに 発信できるっていうのは
まあいいですよね 俺も自分の顔は出さないこのポッドキャストやってますからね
ってことでね今日はこのVTuberについてでしたが 俺はこのVTuberを知らなかったんだけどでも
まああんまり驚かない 俺は今までその初音ミクとかバーチャルのキャラクターが本当の人間みたいにいろんなことを
してるっていうのをずっと見てきたから だからこのVTuberっていうのが日本で人気だって言われても
ああそうなんですかっていう全然びっくりはしませんでした だんだんねこのバーチャルの何かを使って
そしていろんなことをするっていうのが 日本では文化の一つになってきたんじゃないかなっていう気がします
日本のそういうアニメとかねバーチャルのものがすごい好きで日本を好きになってくれる っていう人もたくさんいるみたいなので新しい文化だけどこれはね
あの日本が大切にしていかなきゃいけないとこなのかなっていう気がします さて今日のテーマは俺は知らないことについてでしたが
まあねこの本俺が知らないことでも何でもいいから 何かについて日本人の俺の意見が聞いてみたいっていうことがあれば皆さんも
こんな風にどんどん質問をしてください このポッドキャストは俺一人じゃなくて皆さんと一緒に作っているものなので皆さんのいろんな話が
聞けると嬉しいです じゃあ今日はこの辺で終わりにしたいと思います
さようなら
