ep. 095 - Vtuber(N2)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のTomoがちょうどいい日本語で話をします
(00:00:20) 今日のテーマはVTuberについて
(00:00:25) 皆さんVTuberってわかるでしょうか 俺は知りませんでした
(00:00:31) なので今日はまたね 申し訳ないことに俺の知らないことがテーマなので大したことは話せないんですが
(00:00:43) ちょっとねこのVTuberについて意見を聞かれたのでそれに答えたいと思います まあ知らないものについての意見だからね
(00:00:52) あのあまり いいことは言えないかもしれませんけど
(00:00:57) まあとにかく今日のテーマはVTuberについてです それじゃあまずVTuberって何なのかということを説明しておきたいと思います
(00:01:08) 皆さんの国にはYouTuberっていうのはいるでしょうか YouTubeを使っていろいろな活動をする人をYouTuberって言うんですけど
(00:01:18) VTuberっていうのはバーチャルYouTuberのことらしいですね 本物の人がYouTubeで活動するんじゃなくて
(00:01:29) アニメみたいなアニメのキャラクターみたいなバーチャルの人がYouTubeで活動している それがVTuberです
(00:01:38) バーチャルって言っても中の人 つまり
(00:01:43) あの 話をしたりとかそういう人はもちろんいるんですけど
(00:01:48) 自分がYouTubeに出るんじゃなくてそのアニメのキャラクターみたいなのを作ってそして 声は自分の声ででも動きはそのキャラクターでみたいなのが
(00:02:01) VTuberですね でこのVTuberについてちょっと意見を聞かれたんですけど
(00:02:09) どんな質問だったかというと日本ではこのVTuberっていうのがとても人気があるけど でも他の国ではそんなに人気がない
(00:02:20) なんで日本ではそんなに人気があるんですかっていう そんな質問です
(00:02:28) なんででしょうね あの俺もVTuberっていうものを知らなかったので
(00:02:34) なんでなのかっていうのは理由ははっきりわかんないんですけど でも
(00:02:40) まあ考えてみると日本では確かに他の国よりもこういうバーチャルのものっていうのは
(00:02:49) 人気が出やすいかなっていう気はします なぜかというと
(00:02:57) まあ皆さんも知ってるとは思いますが日本って昔からアニメ アニメを見てる人がたくさんいましたね
(00:03:07) 昔も今もそうですね なのでそのバーチャルの人を見るっていうことについてあまり抵抗がないんじゃないかなっていう気がします
(00:03:18) バーチャルの人っていうと昔はアニメだけでしたが 最近じゃないか
(00:03:27) 何年ぐらい前かな 10年15年ぐらい前かな
(00:03:33) そのくらいから 初音ミクって
(00:03:37) 聞いたことある人いるかな これもまあバーチャルのキャラクターの一つなんですけど
(00:03:44) この初音ミクっていうのがすごく人気が出てきて バーチャルなんだけどでも
(00:03:51) バーチャルのそのキャラクターの単独ライブとか そういうことをしています
(00:03:58) だからそのアニメだったりとか初音ミクだったりとかとにかくバーチャルのものに対して 抵抗が全然なくてそれで
(00:04:08) VTuberが出てきた時にまあ今までと同じような感覚でアニメとかを見るような感覚で VTuberを見てるからだから
(00:04:18) あのあんまり抵抗なく いいものだったらすんなり受け入れることができたのかなっていう気がします
(00:04:27) キャラクターを使って何かするっていうのはアニメだけじゃなくって他にも日本では 結構いろんなところでやってるんですよね
(00:04:35) ゆるキャラっていうのを聞いたことあるでしょうか いろんな
(00:04:40) 場所のキャラクターですね場所じゃなくてもいいんですけど 何かをアピールするときに人がするんじゃなくて何か可愛いキャラクターを作って
(00:04:49) それでそのキャラクターに何かを宣伝してもらったりとか人を呼んでもらったりとか そういうことも結構昔から日本ではしています
(00:05:00) なのでとにかく 日本ではその人じゃない何か別のキャラクターとかバーチャルのものを使ってするっていう
(00:05:08) 下地がだいぶ前からできてたんですね でもちろん
(00:05:15) する側も それをされる側もその下地があるからだから
(00:05:22) バーチャルの何かを作ったときに他の国と比べてすぐ受け入れられてそれで 人気が出るのかなと思います
(00:05:33) 多分ですけどね いやこれ俺の意見だから本当のところ実際はわかんないですけどね
(00:05:39) このVTuberについてちょっと調べてみたら結構いろんな人とかあとは人じゃなくて 企業とかもやってるらしいですね
(00:05:51) なんでユーチューバーじゃなくてVTuberになるのかっていうと結構ね 都合のいいことが多いみたいですね
(00:06:00) 例えば企業がVTuber作る場合は自分の会社の商品とかに合わせて自由に 見た目も性格も全部設定できるからアピールしやすいっていうのもあるでしょうし
(00:06:14) 個人でやる場合もその自分の 顔とかは好きじゃない見た目は好きじゃないけどでも自分から何か発信したい
(00:06:24) いろんな人に話をしたりとか あとはまあ歌を歌ったりでもいいしそういう自分の何かを他の人に伝えたいっていう人には
(00:06:34) 自分の気に入らない外見は出さずに発信できるっていうのですごく やりやすいみたいですね
(00:06:42) まあ確かに顔を出さずに 発信できるっていうのは
(00:06:48) まあいいですよね 俺も自分の顔は出さないこのポッドキャストやってますからね
(00:06:55) ってことでね今日はこのVTuberについてでしたが 俺はこのVTuberを知らなかったんだけどでも
(00:07:04) まああんまり驚かない 俺は今までその初音ミクとかバーチャルのキャラクターが本当の人間みたいにいろんなことを
(00:07:15) してるっていうのをずっと見てきたから だからこのVTuberっていうのが日本で人気だって言われても
(00:07:22) ああそうなんですかっていう全然びっくりはしませんでした だんだんねこのバーチャルの何かを使って
(00:07:31) そしていろんなことをするっていうのが 日本では文化の一つになってきたんじゃないかなっていう気がします
(00:07:40) 日本のそういうアニメとかねバーチャルのものがすごい好きで日本を好きになってくれる っていう人もたくさんいるみたいなので新しい文化だけどこれはね
(00:07:50) あの日本が大切にしていかなきゃいけないとこなのかなっていう気がします さて今日のテーマは俺は知らないことについてでしたが
(00:08:01) まあねこの本俺が知らないことでも何でもいいから 何かについて日本人の俺の意見が聞いてみたいっていうことがあれば皆さんも
(00:08:12) こんな風にどんどん質問をしてください このポッドキャストは俺一人じゃなくて皆さんと一緒に作っているものなので皆さんのいろんな話が
(00:08:21) 聞けると嬉しいです じゃあ今日はこの辺で終わりにしたいと思います
(00:08:27) さようなら
