ep. 097 - 干支(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) 今日は エトについて話したいと思います。
(00:00:27) エトっていうのは 日本とか
(00:00:31) 日本の近くの中国とか、まあつまりアジアの国ですね。 このアジアの国で使われている
(00:00:41) なんて言ったらいいんだろうな。 年を数えるための動物って言ったらいいのかな。
(00:00:49) まあ多分それが一番わかりやすい言い方ですね。 年を数えるための動物です。それがエトです。
(00:00:58) エトの動物は12種類いて 全部言うと
(00:01:04) ネ、ウシ、トラ、ウ、タツ、ミ、ウマ、ヒツジ、サル、トリ、イヌ、イ
(00:01:14) これで12種類の動物。 今言ったのはちょっと古い言い方ですごく短くなっているからわかりにくいと思うんですけど
(00:01:24) 今の言い方で言うともう1回12種類全部言いますね。 ネズミ、ウシ、トラ、ウサギ
(00:01:33) タツっていうのは本物の動物じゃないんですけど リュウですね。あのドラゴン
(00:01:40) そして次ミっていうのはヘビ そしてウマ、ヒツジ、サル、トリ、イヌ
(00:01:48) 最後のイっていうのはイノシシのことです。 これがエトの12種類の動物で
(00:01:56) このエトってどうやって使うのかっていうと 昔
(00:02:01) 本当に昔ですよ すごく昔の人は
(00:02:07) 仕事といえば もちろん農業ですよね
(00:02:13) 作物を作る野菜とか米とか その農業をするときに
(00:02:21) 天気とかあとは季節とか まあこれから暑くなるのか寒くなるのか
(00:02:28) いつ雨が降りやすい時期になるのか雨が降りにくい時期はいつなのか そういうのがわからないと
(00:02:36) 農業って大変ですよね なかなか
(00:02:41) あの 作物、作物っていうのは作るものです
(00:02:46) 野菜とかその作物が育ちにくい 暑いのが好きな野菜もあれば
(00:02:54) 寒いところじゃないとなかなか育たないものっていうのもありますからね なのでその昔の人が農業をするときにこれからどんな季節になるのか
(00:03:05) っていうのを考えるために 時間を測るために
(00:03:11) つまり 次の暑い季節までは何日ぐらいとか
(00:03:16) あとは あとどのくらいしたら雨が降るのかとか
(00:03:21) それを考えるために使われていたのが干支です でもちろんこの干支っていうのは昔は
(00:03:30) 今何年とかねそういう時間を測るために使われていたんですが 今は時間を測るときには当たり前ですけど
(00:03:40) えっとなんか考えないで もっと普通の普通のっていうか世界中でよく使われている
(00:03:49) 2020年の何月何日とかそういう考え方をしますね ただアジアの国では
(00:03:59) その昔の考え方 昔の時間の測り方とか数え方ですね
(00:04:06) その干支が少し残っていて 日本では時間を数えるのには使わないけど毎年今年の干支
(00:04:17) つまり今年の動物ですね今年の動物は何かっていうのは みんな意識しています
(00:04:25) 意識しているってつまり何をするのかっていうと 年賀状を書くときにだいたいこのエトの動物を書きます
(00:04:35) 例えば今年だったらネズミ年 ネズミ年なので年賀状にネズミの絵が書いてある人がとても多いです
(00:04:46) 去年はイノシシだったからイノシシの絵が書いてあったし 来年は虎年なので虎の絵が書いてあります
(00:04:55) あっ違う虎じゃないえっと来年は牛です ネズミの次だから牛ですね
(00:05:01) こんな風に日本ではエトは今年の動物は何かなっていうぐらいで 他に特別な使い方はありません
(00:05:12) それに今年の動物がネズミだから何をするとか虎だから何をするとか 特にそういう特別なこともありません
(00:05:22) ただ時々 このエトを使って占いとかをする人もいます
(00:05:31) エトっていうのはそのすべての年に何かの動物が割り当てられています
(00:05:39) 今年2020年だったらネズミだし来年だったら虎 去年はイノシシ
(00:05:47) 最初に言った12種類の動物が順番に 今年はネズミ来年は牛その次は虎っていう風に
(00:05:56) 毎年毎年全部の年に動物が当てられているので 日本人は自分が生まれた年は
(00:06:07) 何年 つまり何の動物の年なのかっていうのを
(00:06:13) 多分ねみんな知ってるんじゃないかな もちろん俺もわかります
(00:06:19) それでこのエト自分の年の動物を使って 他の人との相性を占う時があります
(00:06:30) 相性を占うっていうのはつまり自分と他の人が 仲良くなれるのかそれとも仲良くなれないのか
(00:06:42) っていうのを占うことですね それが相性を占うって言うんです
(00:06:48) この相性占いっていうのは もちろん友達でもやるし友達じゃなくて恋人を探す時とか
(00:06:57) 誰か好きな人がいてその自分と好きな人との相性がいいのか悪いのかっていう そういう占いをするときにこのエトを使う時もあります
(00:07:10) まあ占いだったら相性だけじゃなくて その
(00:07:14) 何かいいことがあるか それか悪いことがないかっていうそういう占いでもね
(00:07:20) エトを使う時がありますけどね あとは今エトを使うとしたら
(00:07:27) 誰かの年齢を聞く時とかですかね 他の国ではどうかしらないけど日本では
(00:07:36) 誰かに年齢を聞くのはちょっと失礼です あなたは何歳ですかっていうのはあまり聞かない方がいいです
(00:07:44) でも 聞かない方がいいんだけどでもあの人は何歳だろうっていうのが知りたい時ですね
(00:07:54) そういう時に あなたは何歳ですかって聞くことができないので
(00:07:58) あなたは何年ですかって聞く時があります エトを教えてもらえればエトっていうのは動物が12種類ですから
(00:08:09) 12年経ったらまた同じ最初の動物に戻ってそして12年 この繰り返しなので
(00:08:19) 例えば今年30歳になる人は 馬年の人ですね
(00:08:27) エトが馬です それで
(00:08:31) 他の人の顔とかを見てあの人はだいたい30歳ぐらいだと思うけど でも28歳か29歳か
(00:08:42) それとも31歳なのか32歳なのかそれがわからないっていう時に あなたは何年ですかって聞いて
(00:08:51) 馬年だって言われたら あーじゃああの人は30歳なんだなっていうのがわかるし
(00:08:57) もし馬じゃなくて 私は羊年ですよって言われたら
(00:09:03) 羊は馬の 次の動物
(00:09:08) 馬の次のエトなのでこの人は30歳じゃなくて 馬年の1個下
(00:09:16) 29歳だっていうのがわかります こんな風にねエトを使う時があります
(00:09:24) あとはまあ昔はね他にもエトってあの いろんなことに使ってたと思うんですけど
(00:09:33) 例えば日本でも昔は時間を言う時にエトを使ってました 今何時っていう時に数字じゃなくてエトの動物を使うんです
(00:09:44) 俺も 日本人だけどそのエトを使う
(00:09:50) 時間を言う時にエトを使う時代の日本人ではないので あんまりこのエトを使った時間の言い方はわかんないんですけど
(00:09:59) 例えば牛 牛の時間だとだいたい夜中の1時とか2時とかそのぐらいだったと思います
(00:10:11) そういうふうにエトを使ってだいたい今何時っていうのを昔は言ってましたね あと他にも時間だけじゃなくて方角を表す時なんかにも
(00:10:23) エトを使ったりとかしてたみたいですね このエトですが今は使わないって言ったんですけど
(00:10:31) ただ 日本語の言葉には結構ねエトが残っているものもあります
(00:10:39) 例えば 午前とか午後とかの午の漢字
(00:10:46) 午前の午の漢字ですね あの牛みたいな形の漢字ですけど
(00:10:53) これは実は午だけじゃなくて他の読み方があって それがですねあのエトの馬っていう読み方なんです
(00:11:05) 普通は動物の馬って違う感じなんですけど エトの動物の言い方をする時にはちょっと普通と違う感じを使います
(00:11:14) でこのエトの馬っていう時には午前とか午後の午の漢字です さっき昔はエトを使って
(00:11:23) 時間を言ってたって言いましたけど その馬の漢字を使う午の時間っていうのが今の12時ぐらいなんです
(00:11:35) それでその馬12時の前を午前 12時の後を午後っていう風に言うようになりました
(00:11:47) こんな風に日本語の簡単な言葉の中にもその昔のエトの使い方が残っているっていうのもあります
(00:11:58) はいじゃあこんなのがですね日本のエトについてです ちょっとね難しい話もあったかもしれませんが
(00:12:06) でも日本人ならエトっていうのはみんな知っていることなので皆さんも日本人と話すときに
(00:12:14) 今年は何年っていうのを知っておくとちょっとねあの 話が楽しくなるかもしれません
(00:12:23) 皆さんも自分の生まれた年 それが何年なのかっていうのを調べておくといいかもしれませんね
(00:12:32) さてそれじゃあ今日はこの辺で終わりにしたいと思います また何かリクエストとかあったらぜひメッセージを送ってください
(00:12:41) それじゃあさようなら
