ep. 101 - JLPT公式問題集1の解説-N3文法問題3(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は最初にですね まず
お詫びからしたいと思うんですが あの
前に JLPTのN3の公式問題集の解説してましたね
今日もその続きなんですけど ちょっと前回最後に出した
解説なんですが あれ問題
間違えてましたね N3の問題じゃなくてN4の問題を見てました
なので
タイトルにはN3って書いてあったんですけど N4の解説をしていたので
今日は 今日こそはN3の
文法の最後の問題の解説をしたいと思います N3の問題だと思って聞いていた人本当にすいませんでした
じゃあ今日こそはN3の問題3 長い日本語を読んでそして
そこで使う文法の問題っていうやつですね じゃあこの問題は東京の電車についての作文です
最初の問題ですね19 まず答えを言うと3番の分かってきました
これはてきましたっていう文法の使い方なんですけど 1回で全部変わるんじゃなくてちょっとずつずっと変わるっていう時に
このてきましたっていう言い方をします 例えば最近寒くなってきましたとかですね
季節が変わって寒くなるっていうのは1日ですぐ変わるんじゃないですよね 何日もかけてちょっとずつ変わります
なのでこういう時には寒くなりましたじゃなくて寒くなってきました この問題でも分かってきました
1回で全部わかったんじゃなくて長い時間をかけて少しずつわかったっていう意味ですね じゃあその次は20番です
これはみんなが電車を使う理由ですね この20番のちょっと前にまずっていう言葉が書いてありますね
まずっていうのは最初にっていう意味です 理由がたくさんあってその一つ目それがまずです
そして一つ目の理由が終わったらその次2つ目を言うので 次に続くっていう時にはそれからと言いましょう
答えは4だね さあ続いて21番今度は
答えはこういう電車さんですね こういうとか
他にもそういうああいう このいうっていう言葉の使い方は自分が前に話したもの
そのことについて何か言うときにこういうと言います だから最初に日本の電車の説明をしてそしてそのことについて話していますね
その今この人が説明した電車ならみんなが使いたくなる気持ちもわかるって言っている ので答えはこういうのさんです
はいじゃあ続いて22番今度は えっとわからないことがあるって言ってますね
東京にいる人がどうしてそれをするのかわからないっていう話なんですが どうしてそれをするかわからない
どうしてと同じ意味の言葉なぜを使いましょう なぜなのかわかりません答えは2ですね
そしてその次最後23番 日本に長く住んでいたら私も他の人と同じようになるのか
それともならないのかっていう この作文を書いた人の疑問の気持ちですね
最後に 私も他の人と同じになるのかそれともならないのかっていうのは
今はわからないけどでも留学が終わる頃には答えがわかるかもしれないっていうふうに 言っているのでこの23番に入るのは疑問の気持ちですね
質問の形です なので答えは1番のなるのでしょうかです
はいじゃあ 前回
できなかった 間違っていた問題3の説明がこれで終わりです
解説を楽しみにしてた人いたら本当にすみませんでした 次からは気をつけます
まあお金を払って 聞いてるわけじゃないのでね許してくださいすいませんでした
えっと n 3の続きですね問題4からは読解問題です 読解も近いうちに
あの答えの説明を 答えの説明のエピソードを作るので
読解の勉強したい人楽しみに待っていてください 次は問題間違い間違いないようにします
はいそれじゃあ今日はこれで終わりにしますさようなら
