ep. 101 - JLPT公式問題集1の解説-N3文法問題3(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:09) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) さて今日は最初にですね まず
(00:00:24) お詫びからしたいと思うんですが あの
(00:00:29) 前に JLPTのN3の公式問題集の解説してましたね
(00:00:38) 今日もその続きなんですけど ちょっと前回最後に出した
(00:00:46) 解説なんですが あれ問題
(00:00:50) 間違えてましたね N3の問題じゃなくてN4の問題を見てました
(00:00:59) なので
(00:01:02) タイトルにはN3って書いてあったんですけど N4の解説をしていたので
(00:01:09) 今日は 今日こそはN3の
(00:01:14) 文法の最後の問題の解説をしたいと思います N3の問題だと思って聞いていた人本当にすいませんでした
(00:01:24) じゃあ今日こそはN3の問題3 長い日本語を読んでそして
(00:01:31) そこで使う文法の問題っていうやつですね じゃあこの問題は東京の電車についての作文です
(00:01:41) 最初の問題ですね19 まず答えを言うと3番の分かってきました
(00:01:49) これはてきましたっていう文法の使い方なんですけど 1回で全部変わるんじゃなくてちょっとずつずっと変わるっていう時に
(00:02:01) このてきましたっていう言い方をします 例えば最近寒くなってきましたとかですね
(00:02:11) 季節が変わって寒くなるっていうのは1日ですぐ変わるんじゃないですよね 何日もかけてちょっとずつ変わります
(00:02:20) なのでこういう時には寒くなりましたじゃなくて寒くなってきました この問題でも分かってきました
(00:02:29) 1回で全部わかったんじゃなくて長い時間をかけて少しずつわかったっていう意味ですね じゃあその次は20番です
(00:02:40) これはみんなが電車を使う理由ですね この20番のちょっと前にまずっていう言葉が書いてありますね
(00:02:50) まずっていうのは最初にっていう意味です 理由がたくさんあってその一つ目それがまずです
(00:03:00) そして一つ目の理由が終わったらその次2つ目を言うので 次に続くっていう時にはそれからと言いましょう
(00:03:10) 答えは4だね さあ続いて21番今度は
(00:03:17) 答えはこういう電車さんですね こういうとか
(00:03:24) 他にもそういうああいう このいうっていう言葉の使い方は自分が前に話したもの
(00:03:35) そのことについて何か言うときにこういうと言います だから最初に日本の電車の説明をしてそしてそのことについて話していますね
(00:03:47) その今この人が説明した電車ならみんなが使いたくなる気持ちもわかるって言っている ので答えはこういうのさんです
(00:03:58) はいじゃあ続いて22番今度は えっとわからないことがあるって言ってますね
(00:04:05) 東京にいる人がどうしてそれをするのかわからないっていう話なんですが どうしてそれをするかわからない
(00:04:14) どうしてと同じ意味の言葉なぜを使いましょう なぜなのかわかりません答えは2ですね
(00:04:24) そしてその次最後23番 日本に長く住んでいたら私も他の人と同じようになるのか
(00:04:35) それともならないのかっていう この作文を書いた人の疑問の気持ちですね
(00:04:43) 最後に 私も他の人と同じになるのかそれともならないのかっていうのは
(00:04:49) 今はわからないけどでも留学が終わる頃には答えがわかるかもしれないっていうふうに 言っているのでこの23番に入るのは疑問の気持ちですね
(00:05:02) 質問の形です なので答えは1番のなるのでしょうかです
(00:05:11) はいじゃあ 前回
(00:05:15) できなかった 間違っていた問題3の説明がこれで終わりです
(00:05:22) 解説を楽しみにしてた人いたら本当にすみませんでした 次からは気をつけます
(00:05:29) まあお金を払って 聞いてるわけじゃないのでね許してくださいすいませんでした
(00:05:37) えっと n 3の続きですね問題4からは読解問題です 読解も近いうちに
(00:05:45) あの答えの説明を 答えの説明のエピソードを作るので
(00:05:51) 読解の勉強したい人楽しみに待っていてください 次は問題間違い間違いないようにします
(00:05:58) はいそれじゃあ今日はこれで終わりにしますさようなら
