ep. 105 - 日本語の覚え方〈日本語は難しい⁉︎〉(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
最近ちょっとスクリプトを作るの遅くなってますねすいません 仕事が結構忙しいんです
まあ なんでこのポッドキャスト
お金を取らずに無料でずっと続けているのかっていうと こういう時の言い訳のためでもあるので
これは俺の趣味だから遅くなってもしょうがないお金もらってるわけじゃないから そのちょっとペースが遅くなっても別にいいでしょっていうそういう言い訳ですね
まあちょっと楽しみにしてくれている方々には申し訳ないんですけど 仕事の方がね大事なので仕事がなくなったらこのポッドキャストしている余裕もないので
ちょっとゆっくりになっても許してください さてそれじゃあ今日は
またリクエストもらってるんですが 言葉の覚え方について話をしたいと思います
また俺の好きなジャンル言語についてですね このリクエストはトルコの方からいただきました
トルコのアスルさんという方なんですけど この人も日本語を教えているそうですね同業者です
でこのアスルさんの学生さんたちが日本語は難しい 日本人は日本語が話せるからきっと頭がいいんだろうみたいなことを言ってたらしいんですけど
じゃあ本当に日本人は頭がいいのか日本人はどうやって言葉を覚えるのかっていうところをね ちょっと話したいと思います
この外国語を話している人が頭がいいっていうのは俺も昔そう思ってました 日本はみんな学校で英語を勉強するんですけど
だからもちろん学校で英語のテストとかもあるんですけど 頭がいい人はもちろんテストがよくできますよね
いい点数を取る だから頭がいい人は英語ができる英語ができる人は頭がいい
というそういう感じですね なので
アメリカ人とかイギリス人とかその英語圏の人たちって すごいみんな頭がいいんだろうなって思ってました
でもこれ違うんですよね 外国語ができれば頭がいいっていうのは
あの 外国語が3つとか4つとかね
何カ国語も話せる人だったらそれは頭がいいのかもしれないんですけど 自分の国の言葉母語ですね
母語とか母国語とかそれが話せるのって そんなに頭がいいかどうかっていうのは関係ないんですよね
だから日本語が話せるっていうのは頭がいいっていうわけではない 日本語が特別難しい言語っていうわけではないんですよ
トルコの人には日本語は難しいかもしれないんですけど 日本語が簡単だっていう人も実はいます
日本人じゃないですよ 例えば
韓国の人 韓国語って日本語とすごく似てるらしくて
俺は韓国語全然わかんないんですけどね ただ日本語の勉強している韓国人が
だいたいの人が 日本語は韓国語と文法がほとんど同じだからそんなに難しくない
言葉を単語を覚えたらあと文法同じだからすぐ話せるみたいなことを言うんですよ これ一人だけじゃなくて結構いろんな人が言ってますね
で あの
じゃあ韓国人はみんな頭がいいのかっていうと まあそういうわけではなくて韓国人も
難しい外国語っていうのはやっぱりあるらしいですね これも韓国人の知り合いに聞いてみたんですけど日本人は英語が苦手
英語が話せない人がすごく多いんですけど韓国人ってどうなんですかと 韓国人にとってもやっぱり英語って難しいんですかって聞いたら
難しいって言ってました 日本語の方が簡単だと
なんでその韓国人にとっては日本語が簡単で英語は難しいのか まあ英語が難しいのは日本人にとっても同じですけど
この外国語が難しいかどうかっていうのは頭の良さで決まるんじゃなくて 言語間の距離で決まるんですよね
なんかちょっと難しい話みたいに聞こえますけど要するに似てる言語は簡単に覚えられる 似ていない言語
まあ発音も文法も文字も全部ですね そういうあの全然似てない共通点が少ない言語っていうのは覚えるのが難しい
それだけの話ですね だから多分日本人が韓国語を勉強してもそんなに難しくないと思うんですよ
やっぱりあの俺の周りで韓国を勉強している人はそんなに難しくないって言ってる人の 方が多いです
日本語と韓国語だけじゃなくて近い言語 その言語間の距離が近い似てる言語って他にもいろいろあると思うんですけど
例えば ポルトガル語とスペイン語とかってどっちか一つ分かれば
もう片方は勉強しなくても会話ができるらしいですね すごく似てるから
なのでこんな風に距離が近い言語であればそんなに難しくないから 頭がいいかどうかは関係なく話せるようになる
逆にその言語間の距離が遠い場合 これは覚えるのが難しいみたいですね
ってことで日本人は頭がいいから日本語が話せるっていうわけではない 日本語が特別難しい言語だっていうわけではない
単純にトルコと日本とでは言語間の距離が遠いからお互いの言語を学ぼうとすると すごく難しく感じられるっていうそういうわけですね
で じゃあ日本人はどうやってその
トルコとは全然違う言葉 文法とか何もかもが違う言葉をどうやって覚えるのかっていうと
言葉の覚え方に関してはどこの国でも同じです 日本人の日本語の覚え方っていうのは
日本で生活して日本語を聞いて それでいつのまにか覚えるっていう感じですね
当然ながら日本語を覚えるときに文法の勉強をしたりとかはしません 母語の覚え方っていうのはそういうもんですね
だから日本人は日本語が話せるからといってその 日本語の特別な覚え方がわかるっていうわけではないんですよ
なので今日のテーマ 日本人は頭がいいのか日本人はどうやって言葉を覚えて覚えてるのかっていうと
日本人は特別頭がいいわけではない そして言葉の覚え方はどこの国も同じ特別な覚え方があるわけではない
っていうことですね はいそれじゃあ
質問にちゃんと答えてるっていうわけではないんですけど 日本人の言葉の覚え方っていうのはどこの国でも一緒
小さい時に周りの人の話す言葉を聞いて覚えるんです 特別な覚え方はありません
外国人が日本語を覚えるときもやっぱり特別な方法っていうのは特になくて 理想は
まあ その母語話者が覚えるのと同じように
日本に行ってそして日本語だけで生活して覚えるっていうことかもしれないけど 外国で勉強している人だったら
普通にっていうかまあごくごく一般的な覚え方で言葉とか文法とかを覚えて あとは実際に使う練習をしてっていう方法なのかなと思います
さっきも話した通り言語間の距離が遠い言葉っていうのは覚えるのはちょっと大変だと 思うんですけど
でもできるようになったらねそれを使って話をするのって楽しいと思うので 日本語の勉強
頑張ってください それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
