ep. 106 - 都道府県(N4)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
今日のテーマは都道府県についてです 都道府県
結構前のエピソードですが少し話したことがあるかな 日本にはいろいろな県があります
青森県とか沖縄県とか 他にも道っていうのは北海道の道
都道府県 都は東京都府は大阪府とか京都府
そういう場所の名前の言葉ですね都道府県 今日はこの都道府県のいろいろな有名なものを紹介したいと思います
でも全部の都道府県は時間がかかるので今日は全部じゃなくて 有名なものだけ紹介したいと思います
日本人ならみんな知っているような有名なもの じゃあ北から順番に行きますね
まず一番北 北海道ですね
北海道はとても大きいので有名なものがたくさんあります でも俺にとって
北海道といえば 有名なものは海鮮ですね
海鮮っていうのは海の食べ物です 例えば魚とか
北海道の海鮮 海の食べ物はすっごく美味しいです
俺も北海道は1回しか行ったことないけどすごく美味しかったです なので北海道に行った人はぜひ海鮮食べてみてくださいね
それから次北海道の下は青森県っていうところです 青森県で有名なのは
もうこれは日本人ならみんな知ってます リンゴです 日本でリンゴといえば青森県
青森県といえばリンゴです それから
青森の近くで 有名な果物といえば
サクランボですね 山形県というところではサクランボがとても有名です
それから 山形県よりもう少し南の方に行くと
今度は新潟県っていうところがあるんですが この新潟県で有名なもの
お酒です いやまぁお酒だけじゃないんですけど
俺はお酒が好きだから新潟県と言ったらお酒です どうして新潟県はお酒が有名なのかというと
新潟県では米 米がたくさんとれます
だから米から作るお酒日本酒がとても有名です さあそれじゃあどんどん行きますね
今度は新潟県の南っていうか少し東の方になるんですけど
栃木県 栃木の宇都宮っていうところ
ここでは餃子が有名です 宇都宮といえば餃子の町です
餃子が食べたくなったら宇都宮に行ってください 宇都宮は
栃木県 関東なので同じ関東だと東京ですね
東京には有名なものがたくさんあるのでちょっと多すぎて説明できませんが 東京からさらに南の方に行くと今度は神奈川県っていう県があります
神奈川県には温泉が有名なところがあります 箱根っていうところなんですけど
この箱根の温泉は俺も好きで今まで何回も行ったことがあります
東京から今度は西の方に行くとお茶が有名な県があります お茶といえば静岡県です
静岡はたくさん有名なお茶がとれますので美味しいお茶がたくさんあります それからこの静岡の近くだと山梨県とか長野県っていうところがあります
山梨県は 果物ですね
ぶどうとか桃とか 果物がたくさんとれるところです だから山梨県のワインはすごく有名ですね
あとは長野県は山がたくさんあるところなので スキーができます
雪がたくさん降るからスキーでとても有名なところです さあ長野県からさらにどんどん西に行くと今度は関西になりますね
関西ではまずは地図を見るとすごく目立つのが 滋賀県
滋賀県には日本で一番大きい湖があります 琵琶湖って言うんですけどね
この関西には大阪とか京都とか有名なところがたくさんありますが 他にも
和歌山県っていうところだとみかんが有名です ただ和歌山県ちょっと遠いから旅行で行く人はほとんどいないと思いますけど
でもみかんがとても有名で和歌山県のみかんはすごく美味しいと思います みかんといえば
和歌山県だけじゃなくて愛媛県っていうところも有名です 愛媛は
みかんが有名になりすぎて 愛媛の水道からみかんジュースが出てくるっていう
そんな冗談があるぐらいみかんが有名です この愛媛県の近くには香川県っていうところもあります
この香川県 別の名前はうどん県です
うどんが有名でうどんの店がたくさんあります 日本でうどんといえば香川です
この愛媛県とか香川県っていうのは 四国っていうところにあるんですけどその四国の北側
上の方には鳥取県っていうところがあります 鳥取県は砂丘で有名ですね
砂丘っていうのは
砂がたくさんあるところ 砂漠みたいなところですね
それから今度はさらに西に行くと九州に行きますね 九州の中で一番大きな町といえば福岡県です
福岡も有名なものがたくさんあるんですけど 俺はやっぱり福岡のラーメンが食べたいですね
豚骨ラーメンっていうのが福岡はすごく有名です 福岡は九州だから日本の
一番下の方ですけども その九州よりもさらにした南にあるのが沖縄県ですね
日本で沖縄といえばやっぱりリゾート地のイメージが強いですね 海がとても綺麗な場所です
さあこれで日本の一番上から下まで 有名なものを
すごく簡単にですけどね 紹介が終わりました
今俺が話したのは日本人ならまぁだいたい知ってる話かなと思いますが 外国の人はね知らないことが結構たくさんあったと思います
なので日本に来るときは今の話を参考にして 自分が見てみたいものとか食べたいものとかを
そこに行ってぜひ楽しんできてください じゃあ今日はこの辺で終わりにしたいと思います
さようなら
