ep. 107 - 居酒屋(N3)

みなさんこんにちはトモです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さあ今日のテーマは居酒屋についてです
今まで このポッドキャストでは居酒屋の話が出たことが何回かありますね
それは俺が酒が好きだからなんですけど 今日はこの居酒屋についてなんですが
その居酒屋ってどんなところなのか 誰でも行けるのかとか誰でもっていうのは子供でも行けるのかとか
どんなものを食べるのか何を飲むのかっていうそういう話ですね
じゃあまずは居酒屋とバーとかパブとか そういう店の違いから説明しておきたいと思います
居酒屋っていうのは まあ
知ってる人も多いと思いますけどお酒を飲む店ですね 居酒屋のザカーの漢字は酒っていう漢字ですからね
ただ居酒屋の
あの特徴 他のバーとかパブとかの違いっていうと居酒屋は飲むだけじゃなくて食べ物がたくさんあります
日本でバーっていうと お酒はいろんな種類があります
でも食べ物の種類はそんなにありません お酒を飲む時に軽く食べるようなもの
そういうのが多いですね 居酒屋ではいろんな
あの まあ例えば
お酒を飲む時に食べる軽いものとかももちろんあるし それだけじゃなくてご飯とか
まあスパゲッティだったりピザだったり 甘いものアイスとかパフェとかそういうのがあるお店もあります
あとお酒の種類で言うと バーの方が
外国のお酒が多いですかね 日本のお酒っていうと日本酒とか焼酎とか
それが日本に昔からあるお酒なんですけど バーで飲むお酒って言うと
日本酒や焼酎じゃなくて外国のワインとかウイスキーとか あとはまあそういうのを使って作るカクテルとか
居酒屋では やっぱり日本のお酒の方が多いかな
あのまあ日本酒焼酎もそうだし あとはもちろんビールビールは当たり前ですね
日本人ビール好きだから あとそれだけじゃなくて酒杯って言ってちょっとカクテルみたいに
まあ少し甘いお酒が多いかな ジュースみたいなお酒とかもあります 居酒屋とバーのその注文するものの違いって言うとこんな感じですね
それから雰囲気も結構違います バーは静かですね
そんなにたくさんの人で あの
大勢で言って騒いだりしません あんまり多くない2人とかまあ3人とかそのくらいの少ない人数で言って
そして静かに飲むイメージですね お店の中もちょっと暗い落ち着いた雰囲気のところが多いです
じゃあ居酒屋はどうなのかっていうと 居酒屋はまあ悪く言えばうるさいよく言えばとても賑やかで明るいところ
居酒屋は結構大勢で行ってそして大きい声出してたくさん笑って話してっていうことが できる店も結構たくさんあります
忘年会とか新年会とかそういう宴会ですね 宴会っていうのはまあパーティーみたいなものだけど
そんな踊ったりゲームしたりとかするんじゃなくてただみんなで集まってお酒を飲むだけ そういう宴会だと居酒屋です
絶対バーは使いません だいたいこんなのが居酒屋とあとはバーの違いなんですけど
じゃあ居酒屋ってそのいろんな食べ物がある さっきも言ったように
あのご飯食べた後のデザートまであるんですよ じゃあ
そのいろんなご飯もあるしデザートもあるしそれならお酒を飲まないでご飯だけ 食べるのはどうなのって言うと
そういう使い方をする人もいます 実は居酒屋って最近のお店は本当にたくさんいろんな料理があります
さっきもピザとかご飯とかいろいろあるよって言ったけど その一つのお店だけでいろんな種類の料理が食べられるから
だから ご飯を食べに来るっていう人も結構います
お酒を飲まないでご飯食べてデザート食べてそれで終わり なので最近の居酒屋では子供を連れて行くこともできる場所があります
子供のためのちょっと子供が遊んでいる場所とか子供のための椅子とかそういうのを 準備しているところもあります
バーは基本的に大人が行ってお酒を飲む場所なんですけど居酒屋はそういうご飯だけ っていう人でも行けるから子供を連れて行く人も時々います
ただちょっと注意ですけど子供を連れて行ってもいいんだけど 子供だけで行くことはできないですね
やっぱりご飯もあるけどお酒を飲む人の方が多いから だから子供だけで行くのはちょっと良くないので
これを聞いている人はまあ子供はあんまりいないと思うけど 気をつけてください
はいってことで今日はこの居酒屋とバーの違いでしたが 居酒屋って俺はすごい好きなんですよ
そのいろんなものが食べれるしいろんなお酒も飲めるから 日本のお酒の方が多いって言ったけどでも外国のお酒が全然ないわけじゃないですからね
だいたいの居酒屋にはウイスキーもワインもあのほとんどの種類のお酒が置いてあります それに友達と言ってその何か楽しいことがあったら大きい声で
笑ってすごい騒いでも問題ないので あと言い忘れてたけど居酒屋にはだいたい飲み放題のサービスがありますね
バーでは飲み放題ってほとんどやってないと思うんですけど居酒屋だと飲み放題 つまり
1000円とか2000円とか出すと何倍お酒を飲んでもお金が同じっていうそういうサービス 居酒屋だと飲み放題もあるから友達とたくさん飲みたい時はやっぱり居酒屋の方がいいですね
これを聞いている人の中にもお酒を飲む人たくさんいると思うので 日本に来たらぜひ居酒屋に行ってみてください
家族旅行で来た時でも居酒屋は行っても全然問題ないので お酒はそんなに飲まないけど日本のいろいろな料理を食べてみたいっていう人にも居酒屋はいいと思います
まあ居酒屋って必ず酒を飲んでる人がいるから その子供に酔っ払いを近づけたくないっていう人にはあんまり良くないですけど
まあ大人だけだったら全然問題ないと思うので皆さんもぜひ日本の文化の一つかな 居酒屋を楽しんでください
それじゃあ今日はこの辺で終わりにしたいと思います さようなら
