ep. 107 - 居酒屋(N3)

(00:00:00) みなさんこんにちはトモです
(00:00:07) これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:13) でもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:22) さあ今日のテーマは居酒屋についてです
(00:00:27) 今まで このポッドキャストでは居酒屋の話が出たことが何回かありますね
(00:00:35) それは俺が酒が好きだからなんですけど 今日はこの居酒屋についてなんですが
(00:00:42) その居酒屋ってどんなところなのか 誰でも行けるのかとか誰でもっていうのは子供でも行けるのかとか
(00:00:52) どんなものを食べるのか何を飲むのかっていうそういう話ですね
(00:00:58) じゃあまずは居酒屋とバーとかパブとか そういう店の違いから説明しておきたいと思います
(00:01:08) 居酒屋っていうのは まあ
(00:01:11) 知ってる人も多いと思いますけどお酒を飲む店ですね 居酒屋のザカーの漢字は酒っていう漢字ですからね
(00:01:20) ただ居酒屋の
(00:01:23) あの特徴 他のバーとかパブとかの違いっていうと居酒屋は飲むだけじゃなくて食べ物がたくさんあります
(00:01:36) 日本でバーっていうと お酒はいろんな種類があります
(00:01:42) でも食べ物の種類はそんなにありません お酒を飲む時に軽く食べるようなもの
(00:01:50) そういうのが多いですね 居酒屋ではいろんな
(00:01:55) あの まあ例えば
(00:01:58) お酒を飲む時に食べる軽いものとかももちろんあるし それだけじゃなくてご飯とか
(00:02:06) まあスパゲッティだったりピザだったり 甘いものアイスとかパフェとかそういうのがあるお店もあります
(00:02:16) あとお酒の種類で言うと バーの方が
(00:02:20) 外国のお酒が多いですかね 日本のお酒っていうと日本酒とか焼酎とか
(00:02:30) それが日本に昔からあるお酒なんですけど バーで飲むお酒って言うと
(00:02:36) 日本酒や焼酎じゃなくて外国のワインとかウイスキーとか あとはまあそういうのを使って作るカクテルとか
(00:02:45) 居酒屋では やっぱり日本のお酒の方が多いかな
(00:02:51) あのまあ日本酒焼酎もそうだし あとはもちろんビールビールは当たり前ですね
(00:02:58) 日本人ビール好きだから あとそれだけじゃなくて酒杯って言ってちょっとカクテルみたいに
(00:03:07) まあ少し甘いお酒が多いかな ジュースみたいなお酒とかもあります 居酒屋とバーのその注文するものの違いって言うとこんな感じですね
(00:03:20) それから雰囲気も結構違います バーは静かですね
(00:03:27) そんなにたくさんの人で あの
