ep. 109 - part2-「質問の答え(N2)」

えっとみなさんこんにちはともです 今日のはあのエピソード109.5ということで
ちゃんとしたエピソードじゃありません何なのかというと前回のエピソードを聞いて くれた人から質問があったのでその質問の答えです
質問はツーリングって何ですかっていう質問です あのツーリングっていうのはまあ8バイクの話だったんですけど
バイクの旅行みたいなものですね 8旅行って言ってもどこかに行くことが目的じゃなくてバイクに乗ることが目的の旅行
っていう感じですね バイクってあの乗るだけでも楽しいのでバイクに乗ってどこかに行く
それで まあ目的地に行ってそこで何かをするのも確かに楽しみなんですけど一番は
そこに行くまでにバイクに乗るっていうそれを楽しむことそれがツーリングです
これで答えになったでしょうかわかったでしょうか えっと皆さんもね何か質問があったら
あの毎回こうやって あの新しいエピソードというかこれで答えることはできないですけど
まあ余裕があればねたくさん皆さんと話もしたいので えっとこうやって答えていきたいので
あの遠慮せずにどんどんメッセージとか質問とかください はいじゃあ今日はこれで終わりですさようなら
