ep. 109 - part2-「質問の答え(N2)」

(00:00:00) えっとみなさんこんにちはともです 今日のはあのエピソード109.5ということで
(00:00:16) ちゃんとしたエピソードじゃありません何なのかというと前回のエピソードを聞いて くれた人から質問があったのでその質問の答えです
(00:00:27) 質問はツーリングって何ですかっていう質問です あのツーリングっていうのはまあ8バイクの話だったんですけど
(00:00:37) バイクの旅行みたいなものですね 8旅行って言ってもどこかに行くことが目的じゃなくてバイクに乗ることが目的の旅行
(00:00:49) っていう感じですね バイクってあの乗るだけでも楽しいのでバイクに乗ってどこかに行く
(00:00:57) それで まあ目的地に行ってそこで何かをするのも確かに楽しみなんですけど一番は
(00:01:04) そこに行くまでにバイクに乗るっていうそれを楽しむことそれがツーリングです
(00:01:12) これで答えになったでしょうかわかったでしょうか えっと皆さんもね何か質問があったら
(00:01:20) あの毎回こうやって あの新しいエピソードというかこれで答えることはできないですけど
(00:01:28) まあ余裕があればねたくさん皆さんと話もしたいので えっとこうやって答えていきたいので
(00:01:35) あの遠慮せずにどんどんメッセージとか質問とかください はいじゃあ今日はこれで終わりですさようなら
