ep. 110 - 病院(N3)

ん
皆さんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
今日もリクエストもらったテーマで今日は病院についてですね 日本の病院
でこの日本の病院に行った時のその医者に見てもらう やり方というか
どうやったら日本で医者に見てもらえるのかというそういう話ですね それじゃあまずはその病院に行った時の医者に見てもらい方というか
それの前に 言葉の意味の確認をしておきます
えっと日本で病気の時に行くところっていうのはまあ病院がありますね ただ
病院じゃなくてクリニックっていうのもあります 英語でもホスピタルとクリニックっていう2つがあると思うんですけど
日本も 大きいところは病院と言います小さいところはクリニックと言います
まあでもあまり気にしないで大きくても小さくても 全部病院って言ってる人の方が多いんですけどね
俺も小さくても全部病院って言ってます じゃあこのクリニックに行った時にすることなんですが
まずクリニックに行くために予約は必要ありません 毎時々予約が必要なところもありますし予約をしないとすごい
待ち時間が長いところもありますが まあ大体のところはね予約しないで行くことができます
で そのクリニックに行ったら
まず保険証を見せます 前の話で日本の保険の話しましたけど
日本では普通みんな 健康保険っていうものに入ってます
毎月お金を払っていると病気になって病院に行くときに 病院のお金全部払わなくても大丈夫って言うものですね
それが健康保険です でその保険に入っている人が持っているカード保険証って言いますけど
保険証を見せて そして
初めて行く病院だったら名前とか住所とか電話番号とかを書いて そしてあとは問診票を書きます
問診票っていうのはあの アンケートみたいなアンケートって言うとちょっと変かな
あの体のどこが悪いのかいつから悪いのかとか あとは普段の生活について例えばタバコ吸いますかとかお酒飲みますかとか
いろいろ質問があるのでそれに答えます それが問診票です
問診票を書いて受付の人に渡してそれでしばらく待っていると中から名前を呼ばれるので 呼ばれたら中に入ったら医者に見てもらうことができます
2回目に病院に行くときからは 最初に名前とか住所書きましたがそれは書かなくても大丈夫です
1回病院に行くとそこの病院の診察券がもらえます 診察券っていうのはその病院のカードですね
名前とかあとは8番号とかが書いてあって その人の情報がすぐに探せるようになっています
次に来た時はその診察券を保健所と一緒に受付の人に出せば何も書かなくても大丈夫です でこのクリニックでは中で医者に見てもらったらあとは
あの受付のところでお金を払って処方箋をもらって そして近くの薬局で薬をもらって帰ります
処方箋っていうのは医者が書く紙なんですけど どんな薬をどのくらい出すのかっていうのが書いてある紙です
それを持っていけば薬局の人がその処方箋を見てそして薬を出してくれます これが日本の病院
まあ病院というか小さいクリニックですね クリニックに行った時にすることなんですが やっぱり大きい病気になってしまったとき
クリニックでは治せないような病気になった場合は クリニックじゃなくて病院へ行きます
病院はあのクリニックと違って予約が必要なところも多いです
外来って言って予約しないで外から来た患者さんを見てくれるところもあるんです けど
でもそうじゃなくて予約した人だけっていうところもあるので あの
病院大きい病院に行きたかったら一応電話して確認した方がいいですね あと時々
クリニックの紹介がないと見てもらえないっていう病院もあります そういうのも全部行く前に1回聞いたほうがいいですね
病院に行ってもやることはクリニックとだいたい同じです 最初に病院に行ったら受付で保険証を出してそして問詞表を書いて
で医者に見てもらう もしそれで1回見ただけじゃ治らないとかちょっと入院した方がいいって言われたら
またその時は次に来る予約を取ったりとか あとは入院する手続きをしたりとかします
これが病院ですることですね まあ多分ねどこの国でも病院とかクリニックに行ってやることって
ほとんど同じだとは思うんですけど でも外国の病院って行くのちょっと怖いですよね
俺も外国に住んでたことがあるんですけど病院に行くときは あの一人で行くのはちょっと怖いから
誰かに一緒に行ってもらったりとか予約だけはしてもらったりとか そうやって行ってました
今の まあ若い先生とか先生って医者のことね
日本語では医者のことも先生って言いますから その若い先生とかは結構英語とかね外国語が話せる人も多いと思うから
だから外国の人でも あの
先生英語話せますかっていう風に病院に行く前に聞いておけば結構安心かもしれません ね
はいじゃあこんなのが日本の病院の行き方なんですけど ちょっと注意で
最初にも言ったけど病院に行ったら保険証を見せます 保険証があるとお金が安くなるんですが
逆に保険証がないと結構高いです なので
外国の人だとね日本と物価が違う国から来た場合 日本の病院のお金ってめちゃくちゃ高くなるかもしれません
1回見てもらうだけで1万円とか なので
やっぱり一番いいのは病院に行かなくてもいいように 健康で元気でいることですね
だから皆さんも旅行の時とかねあの怪我や病気に気をつけてください 日本に住んでいる人は保険証のお金
健康保険のお金をちゃんと払っていればそんなに高いお金は出さなくても済むので ちゃんとお金を払っておいてください
さてそれじゃあ今日は病院の話でしたが 皆さんの国とだいたい同じかな
まあ保険とかはね違うかもしれませんけど 他にも何か日本のいろいろなシステムとかね
文化について聞いてみたいということがあったら 是非メッセージを送ってください
それから 最近あんまりお願いしてませんでしたが
レビューとか評価とか 書いてくれると嬉しいです
皆さんからのいろいろなコメントがこのポッドキャストに対しての一番の給料になるので ぜひお願いします
まあお金払わなくてもコメントとかレビューだけでそれが給料になるんだから安いですよね なのでぜひお願いします
はいじゃあ今日はこれで終わりますさようなら
