ep. 111 - JLPT公式問題集1の解説-N3読解問題5-1(N3)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
今日はまた久しぶりになっちゃいましたがJGLPTの公式問題集の解説をしたいと思います 読解の問題の続きですね前は問題4をやったので今日は問題5です
なので今日もこのポッドキャストを聞く前に 公式問題集の問題を解いてそして問題を見ながらこのエピソードを聞いてください
じゃあ問題5の1番からですね 問題5からは
もっと長くなりますね長い日本語を読んでそして3つの質問に答えるという問題です じゃあ答えの確認していきましょう
まずは28番ですね この28番の問題を見るとそれと書いてあります
読解の問題でそれって書いてあったらもう読むところは決まっています それの前です
これとかそれって書いてあったらその少し前を見るとそこに答えが書いてあります この問題はそれの前を見ると昔住んでいた家って書いてありますね
なので答えは自分が昔住んでいた家です 1234見ると子供の頃自分が住んでた家って書いてあるのが3番なので答えは3番です
このね読解の問題でそれって書いてあったら結構簡単な問題じゃないかなと思います それって書いてあったらその後ろは読まなくても答えが出るんです
それって何ですかって言われたら絶対にちょっと前です ちょっと前じゃなくてすごく前に戻ったら
あのそれの意味が変わっちゃうから問題にならないんですよ だから基本的にそれって書いてあったらそれの少し前だけ読めば答えがわかります
後ろは読む必要がありません なのでそれって書いてあったらこれは簡単な問題
読むところが少なくてもいい問題です じゃあ続いて29番ですが今度は懐かしい思い出っていうのは何かっていう質問ですね
こういうふうにさっきのそれもそうなんですけど懐かしい思い出に線が引いてありますね 線があったらその線のちょっと前とちょっと後ろを見ると答えがわかる時が多いです
でこの問題の場合はその線が引いてある懐かしい思い出の後ろを見ると 段落が変わっちゃってますね
段落が変わるっていうことは話が変わるっていうことなので ちょっと関係ない話になっている時もあります
だからこの問題だったら線が引いてある懐かしい思い出の前を見ると答えがわかります でその前を見ると
隣の家の女の子えっと秋子ちゃんかな その女の子といろんなところに行って遊んだりしたっていう話が書いてあるので
答えは これは
あれですねえっと 3番は
秋子っていう名前を書いてそして 問題をよく読まないで間違えさせようっていうそういう文ですね答えは4番です
3番見ると花を見たって書いてありますけど花を見たっていう思いでは書いてません 山とか川に行って遊んだって書いてるので
友達と一緒にこの友達っていうのは秋子ちゃんのことですね 友達と一緒に遊んだっていうのが答えです
えっと30番最後の問題ですね 30番は質問を見ると
なぜだと考えているかというふうに聞かれてますね だからなぜと同じ意味のどうしてって書いてある
最後の段落に注目すると答えがわかります えっと
でその最後の段落を読むと 一番最後にあの花と同じ香りだったのです
だったのですのですって書いてありますね のですっていうのはんですの丁寧な言い方ですけど
こののですとかんですっていうのは何かの説明の時によく使う言葉です だからどうして思い出したのかって言って最後に同じ香りだったのですって言ったらこれが理由です
入ってことで30番の答えは 昔自分が住んでた家に咲いてたのと同じ花の香りがしたっていうので
えっと答え1番ですね この28と29そして30
読解の基本的な読み方が全部入ってますね まず28を見るとそれそれとかこれが出てきたらちょっと前を見るもう基本中の基本です
それから29番は線があったらその線の近くを読む 29番の問題は後ろを見ると段落変わっちゃってるから前のところを見るだけで答えが
わかりますね そして30番はなぜだと考えているかっていう質問でなぜと同じ意味の言葉のどうしてっていうところに
注目する これ読解の時に注意することなんですけど
なぜとどうしてみたいに 同じ意味だけど違う言葉になっているところっていうのは注意です
だいたいねテストの問題ってあんまり優しくないから同じ意味だけど違う言葉に変えるんですよ だからどうしてっていう言葉がなぜになったりとか
会話だったらなんでって言っても同じ意味だし 何のためにとかそういう別の言い方にしている時もありますね
その同じ意味だけど違う言葉に気をつけるっていうのも読解で大切なことです はいじゃあこれで問題後の一つ目が終わりなんですが
82つ目もやるとちょっと長くなりそうなので今日は少し短めですが1回ここで終わり ます
またその続きもねすぐに作りますからちょっと待っててください だんだん難しい問題になってきたけど頑張ってください
じゃあ今日はこれで終わりますさようなら
