ep. 112 - JLPT公式問題集1の解説-N3読解問題5-2(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:20) 今日も前回の続き、JLPTの公式問題集ですね。
(00:00:26) 問題5が途中だったので、今日は問題5の2つ目の問題です。 なので今日もこのエピソードを聞く前に問題を解いて、そして問題を見ながら聞いてください。
(00:00:40) じゃあ問題5の2つ目ですが読解ですね。 31番見てください。これ前回と同じです。
(00:00:49) これとかそれっていうのが出たら簡単ですよって前のエピソードで言いましたが このことっていうのも同じです。
(00:00:59) ことかそがつく言葉 これそれ
(00:01:05) 他にもここそことか そのこの
(00:01:10) こんなとかそんなでもそうですね このこともこがついてるから前と同じでちょっと前を見たらそれだけで答えがわかります。
(00:01:19) だからちょっと前を見ると 昔は子供は外で遊ぶことが多かったっていう話ですね
(00:01:26) そして今は一人でテレビを見たりゲームをしたりするって書いてあるからそれが答えです えーと
(00:01:35) 一人で家の中で遊ぶっていう3番が答えですね じゃあ次の32番の問題ですが
(00:01:43) この問題はちょっと難しい言葉が多いので それで難しいかなっていう気がするんですけど
(00:01:52) 32番の答えは えっとね本文の中の
(00:01:57) 重大な影響っていう言葉がわかると 結構ねわかりやすいと思います
(00:02:05) 重大っていう言葉 えーとこれは そのままほっとくとちょっと大きな問題になってしまうような大変なことですね
(00:02:13) 大変なこととか大切なこととか で、影響っていうのが
(00:02:19) 何か他のものを変えてしまうことです 例えば
(00:02:24) 台風の影響で今日は風が強いって言ったら 台風が天気を変えてしまった台風が風を強く変えたっていうそういう意味です
(00:02:36) でこのことさっき言った一人で遊ぶっていうことですね 一人で遊ぶことが子供を変えたって言ってます
(00:02:46) で どういうふうに変えたのか2つ書いてありますね
(00:02:51) まず一つ目が体力への影響です 体力って
(00:02:57) 漢字を見ると意味がすぐわかりますね 体の力です で体の力がどうなったのかっていうと
(00:03:05) 昔より落ちている 落ちているっていうのはつまりなくなっているんですね
(00:03:11) 家の中で一人で遊んでるからあんまり運動しないから体の力が落ちた そして2つ目が
(00:03:19) 付き合い方への影響って言ってます 付き合うっていうのは誰かとこう
(00:03:27) 恋人になるっていうそういう意味もあるんですけど まあ何かを一緒にするっていう恋人じゃなくてもね
(00:03:34) 何かを一緒にするっていうそういう意味もあるので その誰かと何かを一緒にする
(00:03:40) それが付き合い方なんですけど 後ろを見ると人間関係がうまく作れないと言ってます
(00:03:49) でこれが32番の答えになるんですが 本文の内容と同じものというと
(00:03:56) えっと2番ですね体を動かさないから体力が落ちてるっていう話です さあそれじゃあ最後ですね33番
(00:04:06) 33番はこの文章で一番言いたいことって言ってますね 実はこの一番言いたいことっていうのは
(00:04:17) 答えを出すのがすごく簡単なんです どうしてかというと日本語の文章は一番言いたいこととか一番大切なこと
(00:04:28) その人の意見とか考えとかですねそれは 最後に書くことがすごく多いからです
(00:04:37) だからこの文章を書いた人の意見とか考えとか 一番言いたいことって言われたら
(00:04:45) 最後だけ見ても答えがわかります 他は読まなくても大丈夫です
(00:04:51) でこの場合は最後を見るとこれからも日本の街は発展していくけどでも
(00:05:00) それが子供に与える影響を忘れちゃダメって言ってますね これからも発展するけど子供に与える影響を忘れないでください
(00:05:11) これとだいたい同じなのが33番は1ですね これから発展するそしてそれが子供に与える影響に気をつけるっていう話です
(00:05:23) 2を見ると街が発展しない場合って言ってるからしない場合のことは言ってない 3を見ると街を発展する前の状態に戻した方がいいって言ってるんだけど
(00:05:35) 戻せなんて言ってないですね 4番は言葉の順番が変わってますね
(00:05:41) 街が発展してそしてその後に影響が出るから気をつけなさいって言ってるんですけど 4番は
(00:05:49) 子供に影響を与えるけど街は発展した方がいい 街の発展と子供への影響っていう2つの言葉の順番が逆になってますね
(00:06:00) 日本語では言いたいことは最後だから 街が発展した方がいいっていうのを最後に言ったら意味が変わります
(00:06:10) 一番言いたいことは影響を与えるっていうことに注意しろっていうことだから この順番変えている4番はダメです
(00:06:20) はいじゃあここまでで5番の問題が終わりですね 6番もありますがまぁまたちょっとね長くなりそうなので今日はここで一回終わりにしたいと思います
(00:06:33) 読解って難しい言葉とか結構ありますね 言葉を覚えるのももちろん大事
(00:06:40) わからない言葉が多すぎたら読解の問題ってできないんですけど 言葉がわかるだけでも読解はできません
(00:06:49) 読解の説き方読み方っていうものがあります 今日話したことと後は前に話したことみたいなのですね
(00:07:00) 子とか祖がつく言葉があったらちょっと前を見るとか 一番大切なことその人の意見って言われたら最後を読むとかそういうことですね
(00:07:11) そういうのに気をつけながら 正しく読む練習をしていってください
(00:07:19) はいじゃあ今日はこの辺で終わりにしたいと思います 難しい話でしたがお疲れ様でした最後まで聞いてくれてありがとうございました
(00:07:27) 続きもね残りの問題もいつになるかわかんないけど必ず 解説を作るので
(00:07:35) 最後まで一緒に頑張りましょう はいじゃあ今日はこれで終わりですさようなら
