ep. 113 - 秋の旅行(N4)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さあ皆さんだんだん寒くなってきましたね
季節はもう秋です 今日は秋の話をします
秋の旅行についてです 皆さんは日本の秋についてどのくらい知っていますか
日本は季節が4つありますがその4つ全部が全然違います 秋で有名なものといえば紅葉です
皆さんは紅葉を知ってますか 日本では秋になると木の葉の色が赤とか黄色とかオレンジとか
いろいろな色になります それを紅葉と言います
夏の間は木の葉の色は緑ですからみんな同じ色なので見てもあまり面白くないかも しれませんがでも紅葉の時はさっき言った
赤黄色オレンジ いろんな色になるのでそれを遠くから見るととっても綺麗なんです
日本は山が多い国ですね 山には木がたくさんあります
ですから紅葉の季節に山を見るととっても綺麗です 紅葉の時期になると景色が綺麗なところに旅行に行く人がたくさんいます
日本には綺麗な景色を楽しめるところがたくさんあります 有名なところだと例えば京都とかですね
まあ俺は京都の紅葉を見たことがないんですけど まあでもすごく有名なとこですね京都は桜も綺麗だし紅葉も綺麗だし
山の景色がとても綺麗なところです 今はコロナウイルスのせいであまり旅行に行くことができないと思うんですけど
でもこの時期の旅行ってとっても楽しいんです 夏とか冬と違って
快適 暑くも寒くもないちょうどいい気温だから
だから気持ちいいんですよ この時期に紅葉を楽しむための場所といえばもちろん山ですね
山に行くと綺麗な景色が楽しめるだけじゃなくて 実は他にもいいものがあります
それは温泉です 皆さんは温泉に入ったことがありますか
秋になるとだんだん涼しくなりますよね 時々寒い日もあります
寒い時に温かい温泉に入るととっても気持ちがいいです 綺麗な景色を見てその後温泉に入ってそして美味しい料理を食べる
これが日本の秋を楽しむ旅行です 温泉の旅館に行くと美味しい料理がたくさん食べられますが
日本の秋は美味しいものがたくさんあります 食べ物が美味しい季節は秋だけじゃないんですけど
まあ日本はさっき言った4つの季節があってその4つの季節全部美味しい食べ物があるんですが 秋の美味しい食べ物
俺のおすすめはやっぱり山に行ったらキノコですかね 秋になると美味しいキノコがたくさん出てきます
一番高い 有名な美味しいキノコといえば松茸というのがあります
キノコなんですけど 高いのだと
一つ5000円くらいします すごい高いんですよただ美味しいキノコですね
もちろん秋の食べ物って山だけじゃなくって海にも美味しいものがたくさんあります 美味しい魚もいるんですけど
やっぱり山の中で海のものを食べるのは まずくないけど
海から山まで持ってくるときにちょっと新鮮じゃなくなってしまうので 山に行ったらやっぱり山のものを食べるのが一番ですね
さてこれがね日本の秋の旅行の話ですが せっかく旅行の話をしたので俺のおすすめの場所も一つ教えておきたいと思います
それは箱根です 前にも少し話したことがあるかもしれませんが箱根は温泉が有名なところです
神奈川県っていうところにあるんですけどね東京の近くです この箱根は温泉が有名なんですけど温泉だけじゃなくて他にもいろいろ遊ぶ
ところがあります 例えば山に登って景色を楽しんだり美術館に行ったり
もちろんお土産を買ったりいろんなことができます ですので箱根に行けば
綺麗な紅葉を見て気持ちのいい温泉に入って美味しい料理を食べて そして遊ぶこともできます
ちょっとね今コロナの問題がありますからなかなか旅行に行くことができないとは思うんです けど来年は今よりももう少し良くなってるかもしれません
なので来年はいろんなところへ旅行に行くことができるかもしれませんから ですから今日のこのポッドキャストを聞いた人は箱根のことを覚えておいてください
俺のオススメのとてもいいところです まあもちろん他にも箱根の他にいいところっていうのはたくさんあるので
紅葉を楽しみたい人は自分でいろんなところを調べてそしてぜひ日本の秋を楽しんで ください
はいそれじゃあ今日はこの辺で終わりにしたいと思いますさようなら
