ep. 114 - 歯医者(N2)

みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
さてみなさん。 みなさんは歯医者に行きますか?
歯医者が好きですか あまり好きじゃない人が多いかもしれませんね
今日は歯医者について話したいと思います 実はね俺の学校の学生が時々日本は歯医者が多いって言うんですよ
確かに言われてみたら結構いろんなところに歯医者があるかもしれませんね 日本人は歯医者が好きなんでしょうか
もちろん日本人は歯医者が好きっていうわけじゃないですね むしろ嫌いな人が多いと思いますけど
ただ昔と違って歯医者は嫌いだけどでも歯を大事にしなきゃいけないという意識はかなり高まってるんじゃないかなという気がします
俺が子供の時と比べても確かに歯医者に行く人はすごく多くなったような気がします それにあの歯医者のシステムっていうか
その歯医者ですることも俺が子供の時とちょっと違うかもしれません 俺が子供の時の歯医者といえばあの
虫歯になった時に行くところっていうイメージだったんですけど でも今は歯医者って虫歯になる前に歯の掃除をするために
あのクリーニングのために行くところっていうイメージがかなり強くなってきたん じゃないかなと思います
予防歯科って言うんですけど あの歯は悪くなって虫歯になってしまうともう戻すことができないですね
歯が欠けちゃったら新しい歯は生えてきませんから 人間の歯って子供の時に1回抜けてその後に生えてきたらもう新しいの生えないですね
だから虫歯になってから直すとその なくなっちゃう酷い時は抜かないといけないから
だからそうなる前に虫歯の前ちょっと汚れちゃった状態の時に綺麗にして 虫歯になる前にメンテナンスをしましょうっていうそういう考え方ですね
その考え方がかなり昔よりもあの多くなってきたので なので歯医者が多いのかなっていう気がします
まあこの 歯医者だけの話じゃないんですけど
前の保険の話みんな覚えてるでしょうか 日本では健康保険というのがあって病気になったら病院に行ってその時に払うお金っていう
のがその健康保険に入っている人はすごい安いんですよ 普通の人だとだいたい30%
なのでみんな病気になったら病院に行くんですけどでも病気になって 病気が悪くなってから病院に行くと
病気を治すのにすごいお金がかかるんですよね何回も病院に行って治療したりとか あの薬をたくさん出してもらったりとか
そうすると日本のその 健康のために使うお金っていうのが少なくなっちゃうんですよ
健康保険て日本にいる人みんなでお金を出してるんですけど まあみんなで病気になったらね
あのどんどんお金がなくなって みんなで払うお金も高くなっちゃうので
だからそうなる前に あの病気になる前に病院に行って検査をして
ちょっとこう 調子が悪くなっているところがあったらそこをひどくなる前に直しておこう
っていうそういう考え方ですね やっぱり病気を治すより病気になる前に調子を整えるだけの方が全然お金も時間も
かかんないんですよ だから日本の企業って実は従業員に対して必ず健康診断をさせなきゃいけないっていう
ルールがあるんです 毎年1回最低1回健康診断を受けさせるんですけど
その費用は会社が負担するそういうルールがあります なのであの今は本当
あの歯も体も全部ですね体が悪くなる前にメンテナンスをしましょうっていうそういう 考え方ですね
この考え方その予防止火っていうのは他の国はどうなんですかね 実は俺が昔あの台湾に住んでいる時台湾で教えている時に趣味で日本語を
勉強している学生さんがいてその人を歯医者さんだったんですよ その人に話を聞いたらやっぱり歯医者さんは
あの虫歯になる前に 最低半年に1回は歯医者に行ってそして見てもらった方がいいというふうに言って
ましたね その人さすが歯医者さんという感じで常にデンタルフロスを持ち歩いているぐらい歯を
大事にしている人だったんですけど あの時々やっぱりね予防止火っていう考え方が全然わからなくて
酷くなってからもうどうしても我慢できないっていう状態になって初めて歯医者に来る 人っていうのもいるって言ってました
ちょっとねその時にあの怖い話聞いたんですけど 歯って虫歯になると痛いんですけど
虫歯が酷くなると痛くなくなるそうです びっくりですよね
あの 最初は痛いんですよでもどんどん酷くなって歯の神経とかが全部虫歯にやられて
そこが全部死んでしまうと何にも感じなくなるから痛くないそうです でもそこまで酷くなると
もうねもちろん歯はあの抜かなきゃいけないしその周りもすごい酷くなっているから 歯が全部なくなっちゃうみたいですね
んでまぁさらに酷いと実は虫歯って あの死ぬことがあるらしいですね
虫歯が原因で あの虫歯菌が頭の中とかに入って死んでしまうとか
昔の人 あの何百年も前とかねそのぐらい昔だとやっぱりその虫歯が原因でなくなる人って
いうのがいたらしいし あのー 何百年とかすごい昔の話なんですけど
虫歯が原因でなくなる人がいるからだから歯を治療した方がいいって言って 全然今と違うあの
麻酔とかもないしその なんて言うんですか
医療技術なんかも全然ない時に歯の治療をしてたっていう 国とかもあるみたいですね
まあ麻酔なしで歯を抜くっていうのは 信じられないぐらい痛いとは思うんですけど
でも死ぬよりはいいっていう感じですね 虫歯を治すためにあの麻酔なしで歯を削ったりとか
あー自分で話してるだけでも痛くて気持ち悪いんですけど あとは酷くなった虫歯を抜くとかしてたみたいですね
さてそんなわけでちょっと話がねそれましたけど 日本は歯医者が多いらしいです
それは日本では予防歯科っていう考え方が広まってきたからなのかなっていうふうに 俺は思ってますが皆さんの国ではどうでしょうか
予防歯科ってねすごい大事だと思うんですよ 俺もね今最低半年に1回
本当は歯医者さんに3ヶ月に1回ぐらい来たほうがいいって言われてるので できるだけねそのぐらいのペースで行くようにはしてるんです
歯ってねあの 抜けるともう生えてきませんから
で歯がないとねあの自分が高齢者になった時にすごい困ると思うので だからすごい気を使ってメンテナンスしてます
皆さんの国で予防歯科の考え方が広まってるかわかんないけどこれ聞いてる人は あの歯を大事にしてください
高齢者になってからも美味しいものを元気に食べましょう はいじゃあ今日は歯医者の話でした
皆さんの国の話とかもねなんかあったらぜひ教えてください はいじゃあ今日はこれで終わりますさようなら
