ep. 114 - 歯医者(N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:20) さてみなさん。 みなさんは歯医者に行きますか?
(00:00:26) 歯医者が好きですか あまり好きじゃない人が多いかもしれませんね
(00:00:32) 今日は歯医者について話したいと思います 実はね俺の学校の学生が時々日本は歯医者が多いって言うんですよ
(00:00:44) 確かに言われてみたら結構いろんなところに歯医者があるかもしれませんね 日本人は歯医者が好きなんでしょうか
(00:00:54) もちろん日本人は歯医者が好きっていうわけじゃないですね むしろ嫌いな人が多いと思いますけど
(00:01:00) ただ昔と違って歯医者は嫌いだけどでも歯を大事にしなきゃいけないという意識はかなり高まってるんじゃないかなという気がします
(00:01:14) 俺が子供の時と比べても確かに歯医者に行く人はすごく多くなったような気がします それにあの歯医者のシステムっていうか
(00:01:24) その歯医者ですることも俺が子供の時とちょっと違うかもしれません 俺が子供の時の歯医者といえばあの
(00:01:34) 虫歯になった時に行くところっていうイメージだったんですけど でも今は歯医者って虫歯になる前に歯の掃除をするために
(00:01:45) あのクリーニングのために行くところっていうイメージがかなり強くなってきたん じゃないかなと思います
(00:01:54) 予防歯科って言うんですけど あの歯は悪くなって虫歯になってしまうともう戻すことができないですね
(00:02:02) 歯が欠けちゃったら新しい歯は生えてきませんから 人間の歯って子供の時に1回抜けてその後に生えてきたらもう新しいの生えないですね
(00:02:14) だから虫歯になってから直すとその なくなっちゃう酷い時は抜かないといけないから
(00:02:23) だからそうなる前に虫歯の前ちょっと汚れちゃった状態の時に綺麗にして 虫歯になる前にメンテナンスをしましょうっていうそういう考え方ですね
(00:02:36) その考え方がかなり昔よりもあの多くなってきたので なので歯医者が多いのかなっていう気がします
(00:02:45) まあこの 歯医者だけの話じゃないんですけど
(00:02:50) 前の保険の話みんな覚えてるでしょうか 日本では健康保険というのがあって病気になったら病院に行ってその時に払うお金っていう
(00:03:01) のがその健康保険に入っている人はすごい安いんですよ 普通の人だとだいたい30%
(00:03:08) なのでみんな病気になったら病院に行くんですけどでも病気になって 病気が悪くなってから病院に行くと
(00:03:18) 病気を治すのにすごいお金がかかるんですよね何回も病院に行って治療したりとか あの薬をたくさん出してもらったりとか
(00:03:27) そうすると日本のその 健康のために使うお金っていうのが少なくなっちゃうんですよ
(00:03:36) 健康保険て日本にいる人みんなでお金を出してるんですけど まあみんなで病気になったらね
(00:03:43) あのどんどんお金がなくなって みんなで払うお金も高くなっちゃうので
(00:03:49) だからそうなる前に あの病気になる前に病院に行って検査をして
(00:03:57) ちょっとこう 調子が悪くなっているところがあったらそこをひどくなる前に直しておこう
(00:04:04) っていうそういう考え方ですね やっぱり病気を治すより病気になる前に調子を整えるだけの方が全然お金も時間も
(00:04:14) かかんないんですよ だから日本の企業って実は従業員に対して必ず健康診断をさせなきゃいけないっていう
(00:04:24) ルールがあるんです 毎年1回最低1回健康診断を受けさせるんですけど
(00:04:31) その費用は会社が負担するそういうルールがあります なのであの今は本当
(00:04:39) あの歯も体も全部ですね体が悪くなる前にメンテナンスをしましょうっていうそういう 考え方ですね
(00:04:48) この考え方その予防止火っていうのは他の国はどうなんですかね 実は俺が昔あの台湾に住んでいる時台湾で教えている時に趣味で日本語を
(00:05:02) 勉強している学生さんがいてその人を歯医者さんだったんですよ その人に話を聞いたらやっぱり歯医者さんは
(00:05:12) あの虫歯になる前に 最低半年に1回は歯医者に行ってそして見てもらった方がいいというふうに言って
(00:05:21) ましたね その人さすが歯医者さんという感じで常にデンタルフロスを持ち歩いているぐらい歯を
