ep. 116 - JLPT公式問題集1の解説-N2文字語彙問題3,4(N2)

me
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さあ今日は8 jlpt の n 2の問題の続きをやりたいと思います
公式問題集の1-n 2文字声の問題を見てください このエピソードを聞く前に自分で問題も一度解いておいてくださいね
じゃあ前回の続きなので今日は問題3からですね 3-1つ目11番の問題を見てください
えっとこれは答えは1の回ですね医学会 この回っていうのは世界の回なんですけどなんとか回って言うとまあそれそれに関係ある
人たちだけの世界っていう意味になります なので医学会って言ったらあの医学に関係がある
例えば医者とか看護師とか薬剤師とかそういう人たちだけの間で その人たちの間で知られた有名な人だっていう意味になります
他の漢字は 8にはたいっていう感じですねこれはあの場所で使う言葉なんですけど
俺が網あのよく見る使い方だと例えばあの気候帯を表す言葉ですね 気候帯っていうのはあの世界のいろんな場所の気候
例えば えっと日本だったら温帯って言ってその暖かい気候の場所ですね
他にもすごく暑いところだったら熱帯熱っていう感じですね 熱帯とか反対に寒いところだったら冷帯とかですね
んでえっとその次ですね今度は3の漢字はこれは息ですがこれも場所の漢字ですね 地域とかでよく使えますね
あとは4番は区まあ区も場所なんですけどよく見る使い方といえばやっぱり東京 みたいな大きい町の中であの
なんとかしみたいな感じで区切ってあるそういう場所を表す言葉ですね じゃあその次12番今度は12番は
答えはにの順っていう感じです 順っていうのは
あの準優勝は優勝じゃないけどでも優勝に近いっていうそういう意味ですね えっと他のやつ見ると
似てる意味だとえっとねー 3とか4は3は次っていう感じですね
別の読み方をすると字って言うんですけど あの一番上の人のその次に偉い人とかいうときにこの字を使ったり
あとは4の服ですねこれは一番上の人のサポートをする人っていう意味で服をつけ ます
例えば えっと社長のサポートをする人だったら副社長をとかですね
じゃあその次今度は13番 えっとこれは答えは1ですね
元段階っていう言い方をします 元の漢字は現在っていうのでみんな見たことあると思うんですけど
今のっていう意味ですね で段階段階という言葉ちょっと気をつけてください階段じゃないですよ
漢字だけ見ると階段と同じなんですよ 階段の漢字の順番を反対にしたら段階で
段階って言うとまあ一つ一つのステップですね 階段みたいなイメージを持ってほしいんですけど始まってから終わるまで
つまり一番下から上に登り切るまでのどこの場所にいるのかっていうのを表すときに この段階と言います
えっとでその次ですねじゃあ今度は14番の問題見ると えっと今度はこれは
非公式ですね 答えは4です
えっとこの中だとわかりやすいのはにとかさんの感じですね にはこれは3です未来の3ですね
この感じの意味はまだっていう意味です だから未来っていうのはまだ来ていないっていう意味ですね
それであの感じです 3番の6っていうのはこれはあるの反対のないっていう意味なので例えば無料とか
で多分みんな聞いたことあると思います でえっと一番のフこのフと4番の日っていうのはまあだいたい同じ意味で使います
どちらも違うとかの否定の意味ですね えっとじゃあその次今度は15番
うんと 答えは
にですねそう売り上げこのそうっていうのは全部合わせたっていう意味です えっと3番もあの合計とか聞いたことあると思うんですけど
合わせるという意味ですが全部っていう意味は特にありません なのでこれは問題では今年のって言ってるから今年の全部の売り上げっていう意味なので答え
は2ですそう売り上げ しじゃあその次いきますよ今度は問題4ですね
問題4の一つ目 16番ですね
