ep. 116 - JLPT公式問題集1の解説-N2文字語彙問題3,4(N2)

(00:00:00) me
(00:00:04) 皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:14) そんな人のために日本語教師の友がちょうどいい日本語で話をします さあ今日は8 jlpt の n 2の問題の続きをやりたいと思います
(00:00:26) 公式問題集の1-n 2文字声の問題を見てください このエピソードを聞く前に自分で問題も一度解いておいてくださいね
(00:00:36) じゃあ前回の続きなので今日は問題3からですね 3-1つ目11番の問題を見てください
(00:00:45) えっとこれは答えは1の回ですね医学会 この回っていうのは世界の回なんですけどなんとか回って言うとまあそれそれに関係ある
(00:00:58) 人たちだけの世界っていう意味になります なので医学会って言ったらあの医学に関係がある
(00:01:06) 例えば医者とか看護師とか薬剤師とかそういう人たちだけの間で その人たちの間で知られた有名な人だっていう意味になります
(00:01:19) 他の漢字は 8にはたいっていう感じですねこれはあの場所で使う言葉なんですけど
(00:01:28) 俺が網あのよく見る使い方だと例えばあの気候帯を表す言葉ですね 気候帯っていうのはあの世界のいろんな場所の気候
(00:01:40) 例えば えっと日本だったら温帯って言ってその暖かい気候の場所ですね
(00:01:46) 他にもすごく暑いところだったら熱帯熱っていう感じですね 熱帯とか反対に寒いところだったら冷帯とかですね
(00:01:57) んでえっとその次ですね今度は3の漢字はこれは息ですがこれも場所の漢字ですね 地域とかでよく使えますね
(00:02:07) あとは4番は区まあ区も場所なんですけどよく見る使い方といえばやっぱり東京 みたいな大きい町の中であの
(00:02:17) なんとかしみたいな感じで区切ってあるそういう場所を表す言葉ですね じゃあその次12番今度は12番は
(00:02:27) 答えはにの順っていう感じです 順っていうのは
(00:02:33) あの準優勝は優勝じゃないけどでも優勝に近いっていうそういう意味ですね えっと他のやつ見ると
(00:02:43) 似てる意味だとえっとねー 3とか4は3は次っていう感じですね
(00:02:49) 別の読み方をすると字って言うんですけど あの一番上の人のその次に偉い人とかいうときにこの字を使ったり
(00:02:59) あとは4の服ですねこれは一番上の人のサポートをする人っていう意味で服をつけ ます
(00:03:08) 例えば えっと社長のサポートをする人だったら副社長をとかですね
(00:03:15) じゃあその次今度は13番 えっとこれは答えは1ですね
(00:03:20) 元段階っていう言い方をします 元の漢字は現在っていうのでみんな見たことあると思うんですけど
(00:03:29) 今のっていう意味ですね で段階段階という言葉ちょっと気をつけてください階段じゃないですよ
(00:03:36) 漢字だけ見ると階段と同じなんですよ 階段の漢字の順番を反対にしたら段階で
(00:03:44) 段階って言うとまあ一つ一つのステップですね 階段みたいなイメージを持ってほしいんですけど始まってから終わるまで
(00:03:54) つまり一番下から上に登り切るまでのどこの場所にいるのかっていうのを表すときに この段階と言います
(00:04:06) えっとでその次ですねじゃあ今度は14番の問題見ると えっと今度はこれは
(00:04:15) 非公式ですね 答えは4です
(00:04:20) えっとこの中だとわかりやすいのはにとかさんの感じですね にはこれは3です未来の3ですね
(00:04:28) この感じの意味はまだっていう意味です だから未来っていうのはまだ来ていないっていう意味ですね
(00:04:35) それであの感じです 3番の6っていうのはこれはあるの反対のないっていう意味なので例えば無料とか
(00:04:44) で多分みんな聞いたことあると思います でえっと一番のフこのフと4番の日っていうのはまあだいたい同じ意味で使います
(00:04:56) どちらも違うとかの否定の意味ですね えっとじゃあその次今度は15番
(00:05:04) うんと 答えは
(00:05:07) にですねそう売り上げこのそうっていうのは全部合わせたっていう意味です えっと3番もあの合計とか聞いたことあると思うんですけど
(00:05:21) 合わせるという意味ですが全部っていう意味は特にありません なのでこれは問題では今年のって言ってるから今年の全部の売り上げっていう意味なので答え
(00:05:32) は2ですそう売り上げ しじゃあその次いきますよ今度は問題4ですね
(00:05:39) 問題4の一つ目 16番ですね
(00:05:44) これは答えは4ですね分析と言います分析 分析っていうのはあの
(00:05:52) 漢字を見ると分っていうのはこれは分けるっていう意味ですね なので細かく分けてそして調べるっていう意味ですそれが分析これは様々な
(00:06:03) データって言ってるので一つ一つのものをちゃんと調べたよく調べたという意味ですね えっとこの中で調べるっていう意味だとにの検査
(00:06:14) これもね調べるという意味なんですがちょっと使い方が違います 検査っていうのは一つのものをよく調べるときに使う言葉です
(00:06:24) なので例えばあの病院に行って病気とかがないかをチェックするっていう時には 検査なんですよ
(00:06:33) で似てる言葉だと他にも調査っていうのを聞いたことがある人いると思います 調査の長っていうのは調べるっていう意味だし
(00:06:42) 調査の差は検査の差と同じ だからあの同じ意味なのかなと思うかもしれませんが調査っていうのは一つのものを
(00:06:52) よく調べるんじゃなくて例えばいろんな人にアンケートを取ったりとかして そういうふうにいろんなデートを集めて調べるっていう意味なので検査とは使い方が
(00:07:02) 違います 調べるという言葉ねたくさんあるので気をつけてください
(00:07:08) じゃあその次今度17番みましょう えっとこれは答えは4ですねブラブラするっていう言葉です
(00:07:16) ブラブラするっていうのは何かこう理由とか目的がはっきりしてないけどでもいろんな ところを歩き回るっていう意味ですね
(00:07:25) なので街をブラブラするで なんかこう特にしたいこととか目的はないけどでも街を歩き回ってるっていう
(00:07:34) そういう意味です ちなみにブラブラするってその街を歩き回るだけじゃなくて
(00:07:40) あの ちゃんと会社に入らず定食につかずにアルバイトとかしながら自分のやりたいことを
(00:07:48) やってるっていうそういう人にもブラブラっていう言葉を使ったりします だから会社とかに入らないであの何かやりたい仕事とかもちゃんと決めないで
(00:08:00) とりあえずお金がもらえればいいやっていう感じで生活している人ですね そういうのもブラブラって言ったりします
(00:08:09) 8ついでに他の一番グラグラ8グラグラっていうのは安定してない ちゃんと固定されてなくて動いてしまうようなものですね
(00:08:20) 82番ガラガラとっても空いていることお店とか乗り物の中にほとんど人がいない そういう時にガラガラ
(00:08:28) 3番バラバラ8バラバラっていうのは一つにまとまってないことですね はいじゃあその次いきましょう
(00:08:36) 8今度は18番ですね 8これは活気に溢れているっていう言い方を覚えてください
(00:08:44) 1ですね活気 活気があるっていう言い方をします
(00:08:50) 8この木は雰囲気の木と同じです 8で活気のかの方生活の活っていう感じですけどこれは元気っていう意味があるので
(00:09:01) 元気な雰囲気それが活気があるです ちなみに同じ意味の活だとあのニアにの活発とかですね
(00:09:13) と活発っていうのは柿と似てるんですけどこれは雰囲気じゃなくて人の性格ですね あの人はどんな人ですかって言った時にすごい活発な人ですよっていうふうに
(00:09:24) 言ったりします じゃあその次19番
(00:09:28) 819番答えは紙が詰まるですね 82番です詰まって
(00:09:36) 8この詰まるっていうのは今までスムーズに動いてたのが途中で間に邪魔のものがあって 動かなくなっちゃうっていうのが詰まるの意味です
(00:09:47) 8例えば トイレとかですかねトイレの中に紙以外のゴミとかを捨てると水が流れなくなるとか
(00:09:57) あとは鼻が詰まるなんていうのもみんなよくわかると思いますが 風邪をひいた時に鼻から息ができない
(00:10:06) あの中の鼻の中に空気が入らない あの花の中に水とかがあってで空気が通らない
(00:10:13) これも鼻が詰まると言います
(00:10:17) 8他のやつ 1は潜るですね潜るこれ水の中に入ることです
(00:10:24) 8さんは沈む沈むっていうのは水の中に入るという意味なんですけど あの自分で入りたくて入るんじゃなくて溺れたりとかしてで中に入ってしまう
(00:10:36) 浮かびたいけど浮かぶことができなかったという時に沈むを使って自分で中に入り たいと思ったら1の潜るを使います
(00:10:45) 84は埋まるこれは もしかしたら埋めるっていう言葉はみんな聞いたことあるかもしれませんが土の中に入ることですね
(00:10:55) 潜るとか沈むっていうのは水で埋まるっていうのは土の中によく使います じゃあその次に10番
(00:11:04) えっとこれは反映するっていう言葉なので1ですね 反映
(00:11:11) 8反映するっていうのは何かの特徴とかをよく表しているっていうことです なので
(00:11:19) 8問題だと小説ですね今の時代の特徴っていうものがよくその小説に現れてるって いうとこれは
(00:11:27) 反映していると言います なんか似てる感じでにの言葉もありますがこれは法運営
(00:11:36) a は同じですね方は放送するっていう時の方なので 方営っていうのはそのテレビとかを放送すること
(00:11:46) じゃあその次に11番 えっとこれは窓の外を見てるんですけどその時の様子ですね
(00:11:53) 答えは1ぼんやりですぼんやり あのなんか何も考えてないようなそんな様子です
(00:12:01) それがぼんやりです えっと他の見るとねちょっとわかりにくい言葉が多いかもしれませんが
(00:12:09) にはふんわりふんわりっていうのは柔らかい様子ですね 3はうっすらはっきりしてない何かちょっと薄いもの
(00:12:19) そういうのがうっすらです でしっとりっていうのは触った時にちょっと柔らかくて少し濡れているようなものですね
(00:12:27) それがしっとりと言います じゃあ最後22番
(00:12:33) えっとこれは 答えは
(00:12:36) 8にですね強みです強みっていうのはその人の強いところですね とこの身をつける形容詞にいい形容詞に身をつけるのは
(00:12:50) あの いい形容詞が名詞に変わるんですけどいい形容詞を名詞に変える方法って多分みんな
(00:12:57) 2つ知ってると思うんですよ 一つがさをつける高さとか重さとかですね
(00:13:04) で2つ目がこの3強みとか高みとかありますね えっとどちらもいい形容詞が名詞になるっていうのは同じなんですけど
(00:13:14) さとの違いさを使うのはなんか猫 測るときなんかによく使います数字にできるものですね
(00:13:23) なので例えば荷物を送るときに大きさと重さを測りますなんて言ったら大きさ 縦が何センチ横が何センチってわかるし重さも何キロっていうのがはっきり数字で
(00:13:37) 表すことができます が身を使うとあの数字にはできないようなものです
(00:13:44) だから彼の強みって言ったら彼の強いところっていう意味なんですがこれは 数字にしてあの測ったりすることができないですね
(00:13:55) だから数字にすることができないものっていうと他にも例えば人の気持ちとか 感情とかですね
(00:14:01) そういうのもあの えっと形容詞を名詞にしようとするとさじゃなくて身を使うことが多いです
(00:14:10) はいじゃあここまでが問題4までですね えっと問題5と6これも
(00:14:17) また全部やるとちょっと時間長くなっちゃうのでまぁ今日は1回ここまでにしておき ます
(00:14:23) できるだけね次のも早く作るので 皆さんも頑張って勉強してください
(00:14:30) はいじゃあ今日はこれで終わりますさようなら
