ep. 117 - お寺＆神社(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日は神社とお寺について話したいと思います これはですねカリナさんという方からのリクエストですありがとうございます
神社とかお寺っていうのは日本の宗教の建物ですね 神社は神道の建物でお寺は仏教の建物です
この神道については前にもあの 説明しているエピソードがあるのでそれを聞いてみてください
神社とお寺は神道と仏教別々の宗教の建物なので ちょっとね違いもあるんですけど
やっぱり日本にある建物だから似ているところも多いです まず日本ではお寺とか神社には
みんなが一番よく行くのは多分初詣だと思います 初詣っていうのは1年の初め
まあお正月の時ですねこの時に神様のところに挨拶に行くことなんですけど この時に行くのはお寺でも神社でもどちらでもいいです
まあ自分の信じている宗教の建物に行きます この時に神様にどうやって挨拶するのかっていうやり方っていうかマナーというか
それが神社とお寺ではちょっと違います この神社とかお寺ですることも違うことがいろいろあるんですけど
共通していることだとおみくじっていうのがありますね おみくじっていうのは日本の占いの一つで
まあだいたい1回100円ぐらいでできるんですけど箱の中から 1枚紙を取ってそしてそこにこれから自分にどんなことがあるのか
いいことがあるのかそれとも悪いことがあるのか そういうのが書いてあるそれがおみくじです
俺は占いとかをあんまり信じないから最近は全然やってないんですけど 子供の時は
初詣とかその神社とかに行くと 必ずと言っていいほどやってましたね
おみくじって一番いいのは大吉って言うんです そして悪いのは凶と言います
大吉が出るとまあやっぱり嬉しいですね 反対に凶が出た時は日本人は結構へこみます
へこみますっていうのはすごく残念なことがあって元気がなくなることです 他に神社やお寺に行ってすることといえば
お守りを買う人が結構多いと思います お守りっていうのは何か悪いことが起きないように
神様に守ってもらうために持っている小さい袋のことです その袋の中に神様からの
何かメッセージとかあとは神様の名前が書いてある小さい紙とか あとは小さい神様の人形みたいなものが入っている時もあります
日本では初詣の時ももちろんこのお守りを買う人が多いんですけど まあ例えばこの1年何も大きい病気とか怪我とかしないように
っていう気持ちを込めて買ったりとか あとは他にも初詣と全然関係ないんですけど
これから何か大切なことがある人とかも買う人が多いです 例えば大事な大学の試験の前とか
あとは子供が生まれる前とか そういう時に合格しますようにとか元気な子供が生まれますようにっていうふうに
神様にお願いしてそれでお守りを買うっていう感じですね 他にも日本人ってそんなに宗教に熱心ではないんですけど
まあ だいたいの日本人にあなたは宗教ありますかって言ったら
特にありませんっていうふうに言う人が多いと思うんですけど でも神社とかに行く人は
結構多いと思います 宗教がないっていうのに
俺はねあの あんまり神様とかは信じてないんですけど
まあ 強いて言うなら
何か一つ宗教を 信じなさいって言われたら俺は神道なんですけど
その神道の建物神社ですね 神社には他にどんな時に行くのかっていうとまあ結構いろいろあるんですが
例えば 俺はこれで行ったことないですけどね
新しい車を買った人が 行きます
なんで車を買ってから神社に行くのかっていうと神社に行ってそして神様に事故に 合わないようにっていうお祈りをするんです
あと他にも子供が生まれる前とか子供が生まれた後に 神様に元気な子供が生まれますように元気に大きくなりますようにっていうふうにお願いをしに行ったりもしますね
まあとにかく神社とかお寺っていうのは そのいつ行くっていうのがそんなにはっきりは決まってないんですよ
ただ あの何か大切なイベントがあるときにはよく行くんじゃないかなと思います
俺はねちょっと神様に怒られるかもしれないんですけど あんまり宗教に熱心じゃないからほとんど神社とかにも行かないんですけど
でもちゃんと 神様に毎日お祈りするっていう人もいます
今の若い人だとそんなに多くないかもしれませんけど 昔はねあの毎日ちゃんと朝起きたら神様に挨拶するっていう人は結構いたん
じゃないかと思います それで日本のうちには
毎日神社に行くことはできないけどちゃんと神様に挨拶ができるように 神棚っていうものがあります
うちの中に小さい神社みたいな神様の建物があるんですよ そこを神棚って言うんですけど
その神棚に向かって神様の家があるところですね そこに向かってお祈りをするっていう人は
多分昔は結構たくさんいたんじゃないかなと思います あと他に神社とかお寺に行く理由の一つで
御衆院を集めているっていう人も結構いると思います 御衆院っていうのはそのお寺とかの飯庫なんですけど
あのちゃんと参拝をした 参拝っていうのはその神様にお祈りに行くことなんですけどね
その参拝をするとちゃんと参拝に行きましたよっていう印として 飯庫をもらうことができます それを御衆院って言うんですけど
この御衆院を集めている人もいるみたいでそれをもらいに行く人もいますね
まあそんなに多くはないかもしれないけど なんかこの御衆院っていうのは
ちゃんと神様にお祈りしたっていうそういう印なので あんまりね遊び目的みたいで集めるのは
良くないんじゃないかなっていうような気もちょっとするんですけど でも結構いろいろな面白い御衆院とか可愛い御衆院とか
そういうのを作っているお寺とか神社もあるみたいなので 興味がある人はちょっと調べてみるといいと思います
さてそれじゃあ今日は神社とかお寺についてのお話でした 日本人ってさっきも言ったけどそんなに宗教に熱心じゃないんですけど
でもやっぱり日本の文化から神社とかお寺って絶対になくしてはいけないものだと思うので
皆さんも日本に遊びに来たらぜひ神社とかお寺見てみてください
宗教によっては他の宗教の建物に行くことができない人もいると思うんですけど 神社とかお寺って建物を見るだけでも結構綺麗で楽しめるところもあるので
遠くからね見て楽しんでください さあそれじゃあ今日はこの辺で終わりにしたいと思います
さようなら
