ep. 117 - お寺＆神社(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:20) さて今日は神社とお寺について話したいと思います これはですねカリナさんという方からのリクエストですありがとうございます
(00:00:32) 神社とかお寺っていうのは日本の宗教の建物ですね 神社は神道の建物でお寺は仏教の建物です
(00:00:44) この神道については前にもあの 説明しているエピソードがあるのでそれを聞いてみてください
(00:00:53) 神社とお寺は神道と仏教別々の宗教の建物なので ちょっとね違いもあるんですけど
(00:01:02) やっぱり日本にある建物だから似ているところも多いです まず日本ではお寺とか神社には
(00:01:13) みんなが一番よく行くのは多分初詣だと思います 初詣っていうのは1年の初め
(00:01:23) まあお正月の時ですねこの時に神様のところに挨拶に行くことなんですけど この時に行くのはお寺でも神社でもどちらでもいいです
(00:01:36) まあ自分の信じている宗教の建物に行きます この時に神様にどうやって挨拶するのかっていうやり方っていうかマナーというか
(00:01:49) それが神社とお寺ではちょっと違います この神社とかお寺ですることも違うことがいろいろあるんですけど
(00:01:59) 共通していることだとおみくじっていうのがありますね おみくじっていうのは日本の占いの一つで
(00:02:09) まあだいたい1回100円ぐらいでできるんですけど箱の中から 1枚紙を取ってそしてそこにこれから自分にどんなことがあるのか
(00:02:23) いいことがあるのかそれとも悪いことがあるのか そういうのが書いてあるそれがおみくじです
(00:02:30) 俺は占いとかをあんまり信じないから最近は全然やってないんですけど 子供の時は
(00:02:38) 初詣とかその神社とかに行くと 必ずと言っていいほどやってましたね
(00:02:46) おみくじって一番いいのは大吉って言うんです そして悪いのは凶と言います
(00:02:54) 大吉が出るとまあやっぱり嬉しいですね 反対に凶が出た時は日本人は結構へこみます
(00:03:04) へこみますっていうのはすごく残念なことがあって元気がなくなることです 他に神社やお寺に行ってすることといえば
(00:03:13) お守りを買う人が結構多いと思います お守りっていうのは何か悪いことが起きないように
(00:03:22) 神様に守ってもらうために持っている小さい袋のことです その袋の中に神様からの
(00:03:32) 何かメッセージとかあとは神様の名前が書いてある小さい紙とか あとは小さい神様の人形みたいなものが入っている時もあります
(00:03:43) 日本では初詣の時ももちろんこのお守りを買う人が多いんですけど まあ例えばこの1年何も大きい病気とか怪我とかしないように
(00:03:55) っていう気持ちを込めて買ったりとか あとは他にも初詣と全然関係ないんですけど
(00:04:02) これから何か大切なことがある人とかも買う人が多いです 例えば大事な大学の試験の前とか
(00:04:12) あとは子供が生まれる前とか そういう時に合格しますようにとか元気な子供が生まれますようにっていうふうに
(00:04:22) 神様にお願いしてそれでお守りを買うっていう感じですね 他にも日本人ってそんなに宗教に熱心ではないんですけど
(00:04:34) まあ だいたいの日本人にあなたは宗教ありますかって言ったら
(00:04:40) 特にありませんっていうふうに言う人が多いと思うんですけど でも神社とかに行く人は
(00:04:48) 結構多いと思います 宗教がないっていうのに
(00:04:53) 俺はねあの あんまり神様とかは信じてないんですけど
(00:04:59) まあ 強いて言うなら
(00:05:02) 何か一つ宗教を 信じなさいって言われたら俺は神道なんですけど
(00:05:09) その神道の建物神社ですね 神社には他にどんな時に行くのかっていうとまあ結構いろいろあるんですが
(00:05:18) 例えば 俺はこれで行ったことないですけどね
(00:05:22) 新しい車を買った人が 行きます
(00:05:27) なんで車を買ってから神社に行くのかっていうと神社に行ってそして神様に事故に 合わないようにっていうお祈りをするんです
(00:05:39) あと他にも子供が生まれる前とか子供が生まれた後に 神様に元気な子供が生まれますように元気に大きくなりますようにっていうふうにお願いをしに行ったりもしますね
(00:05:54) まあとにかく神社とかお寺っていうのは そのいつ行くっていうのがそんなにはっきりは決まってないんですよ
(00:06:03) ただ あの何か大切なイベントがあるときにはよく行くんじゃないかなと思います
(00:06:11) 俺はねちょっと神様に怒られるかもしれないんですけど あんまり宗教に熱心じゃないからほとんど神社とかにも行かないんですけど
(00:06:23) でもちゃんと 神様に毎日お祈りするっていう人もいます
(00:06:30) 今の若い人だとそんなに多くないかもしれませんけど 昔はねあの毎日ちゃんと朝起きたら神様に挨拶するっていう人は結構いたん
(00:06:41) じゃないかと思います それで日本のうちには
(00:06:45) 毎日神社に行くことはできないけどちゃんと神様に挨拶ができるように 神棚っていうものがあります
(00:06:55) うちの中に小さい神社みたいな神様の建物があるんですよ そこを神棚って言うんですけど
(00:07:04) その神棚に向かって神様の家があるところですね そこに向かってお祈りをするっていう人は
(00:07:12) 多分昔は結構たくさんいたんじゃないかなと思います あと他に神社とかお寺に行く理由の一つで
(00:07:22) 御衆院を集めているっていう人も結構いると思います 御衆院っていうのはそのお寺とかの飯庫なんですけど
(00:07:33) あのちゃんと参拝をした 参拝っていうのはその神様にお祈りに行くことなんですけどね
(00:07:41) その参拝をするとちゃんと参拝に行きましたよっていう印として 飯庫をもらうことができます それを御衆院って言うんですけど
(00:07:52) この御衆院を集めている人もいるみたいでそれをもらいに行く人もいますね
(00:08:01) まあそんなに多くはないかもしれないけど なんかこの御衆院っていうのは
(00:08:08) ちゃんと神様にお祈りしたっていうそういう印なので あんまりね遊び目的みたいで集めるのは
(00:08:16) 良くないんじゃないかなっていうような気もちょっとするんですけど でも結構いろいろな面白い御衆院とか可愛い御衆院とか
(00:08:25) そういうのを作っているお寺とか神社もあるみたいなので 興味がある人はちょっと調べてみるといいと思います
(00:08:34) さてそれじゃあ今日は神社とかお寺についてのお話でした 日本人ってさっきも言ったけどそんなに宗教に熱心じゃないんですけど
(00:08:45) でもやっぱり日本の文化から神社とかお寺って絶対になくしてはいけないものだと思うので
(00:08:55) 皆さんも日本に遊びに来たらぜひ神社とかお寺見てみてください
(00:09:00) 宗教によっては他の宗教の建物に行くことができない人もいると思うんですけど 神社とかお寺って建物を見るだけでも結構綺麗で楽しめるところもあるので
(00:09:15) 遠くからね見て楽しんでください さあそれじゃあ今日はこの辺で終わりにしたいと思います
(00:09:23) さようなら
