ep. 118 - ペラペラになる方法(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
今日は 日本語がどうすれば上手になるか上手に話せるのかっていう
そういう質問をもらっています ミャンマーの方でチェリーさんという方ですね
日本語の勉強して3年で今N2レベルだそうですすごいですね ただN2レベルだけどでも日本語がペラペラではない
ペラペラ話せない なのでどうすればいいかわからないのでいい練習方法を教えていただけませんか
ということです メッセージありがとうございます
確かにテストで高いレベルの問題まで解けるようになっても ペラペラではない上手に話せないっていう人は日本語だけじゃなくて
結構どんな外国でも多いような気がします 実は俺も
テストだけだったらN2ぐらいの英語は 合格できます
でもじゃあ英語を上手に話せるのかって言ったら そんなに上手には話せないと思います
もしかしたら中国語の方が話すのは上手かもしれません でも言葉とか文法とかは全然中国語の方がわかんないんですけどね
中国語はテストをしても多分N4とかN3ぐらいのレベルまでしかできないと思います 不思議ですよね
あの英語の方が俺は勉強してた時間がすごい長いし テストも多分ね結構難しいのはわかるんですよ
読むだけだったらN2とかN1ぐらいの英語も読めるかもしれません じゃあなんで中国語の方が話すのは上手なのかっていうと
もうこれ理由は簡単なんですよ 台湾に住んでたからなんです
台湾に住んでる時にすごく簡単な言葉だけなんですけど でも毎日中国語を使ってたから
だから話すだけだったら結構ねあの これ俺の
数少ない自慢の一つなんですけど台湾に住んでる時に台湾人のお店の人に あなたは日本語が話せる台湾人なのか
中国語が話せる日本人なのかどっちなのって聞かれたことがあるんですよ それ聞かれた時に俺の中国語もうまくなったもんだなって思ったんですけど
でもあの ちょっとねもう1分2分会話しただけで
あーこの人外国人だなっていうのはすぐにわかったみたいです なんで会話を続けるとその俺が外国人だってあの台湾人じゃないってわかったのか
というと俺が知ってる言葉が少なすぎたからですね あの単語とか文法とか全然勉強してなかったから
だから普段使う言葉まあ買い物とかですね 買い物とかあの飲食店での注文とかそういうのは
生活してたら覚えるんですよだからその辺の言葉はすごい上手に話せるけどでもあの ちゃんと勉強してないと覚えられないような言葉っていうのもたくさんあるから
そういうのが話題に上がるともう すぐこの人は中国語をそんな話せないんだなっていうのがわかるんですよ
でちょっと話が揃えてきたので元に戻すんですけど俺は英語だとテストはできるけど そんなに上手に話せない逆に中国語はテストはそんなにできないんだけどでも話すのは
まあ最近ちょっと忘れてきたけどねでも結構上手に話せる方なんですよ でそれは話すのに慣れてるから
勉強しなくてもやっぱり毎日使っているとペラペラとまでは行かないけどそれなりに 話せるようになるんですよ
ってことでペラペラになるためにはどうしたらいいのかというと その場所に住んで毎日使ってたらいいんですよ
ただ あの
そんなのは みんな知ってますよね
なんとなくこう その国に行ってそこで生活していれば上手になるんだなんてことは
誰でもわかりますよね でわかるんだけどでもそれができない
