ep. 118 - ペラペラになる方法(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) 今日は 日本語がどうすれば上手になるか上手に話せるのかっていう
(00:00:27) そういう質問をもらっています ミャンマーの方でチェリーさんという方ですね
(00:00:35) 日本語の勉強して3年で今N2レベルだそうですすごいですね ただN2レベルだけどでも日本語がペラペラではない
(00:00:47) ペラペラ話せない なのでどうすればいいかわからないのでいい練習方法を教えていただけませんか
(00:00:54) ということです メッセージありがとうございます
(00:00:58) 確かにテストで高いレベルの問題まで解けるようになっても ペラペラではない上手に話せないっていう人は日本語だけじゃなくて
(00:01:10) 結構どんな外国でも多いような気がします 実は俺も
(00:01:15) テストだけだったらN2ぐらいの英語は 合格できます
(00:01:21) でもじゃあ英語を上手に話せるのかって言ったら そんなに上手には話せないと思います
(00:01:31) もしかしたら中国語の方が話すのは上手かもしれません でも言葉とか文法とかは全然中国語の方がわかんないんですけどね
(00:01:41) 中国語はテストをしても多分N4とかN3ぐらいのレベルまでしかできないと思います 不思議ですよね
(00:01:51) あの英語の方が俺は勉強してた時間がすごい長いし テストも多分ね結構難しいのはわかるんですよ
(00:02:01) 読むだけだったらN2とかN1ぐらいの英語も読めるかもしれません じゃあなんで中国語の方が話すのは上手なのかっていうと
(00:02:12) もうこれ理由は簡単なんですよ 台湾に住んでたからなんです
(00:02:17) 台湾に住んでる時にすごく簡単な言葉だけなんですけど でも毎日中国語を使ってたから
(00:02:26) だから話すだけだったら結構ねあの これ俺の
(00:02:33) 数少ない自慢の一つなんですけど台湾に住んでる時に台湾人のお店の人に あなたは日本語が話せる台湾人なのか
(00:02:45) 中国語が話せる日本人なのかどっちなのって聞かれたことがあるんですよ それ聞かれた時に俺の中国語もうまくなったもんだなって思ったんですけど
(00:02:58) でもあの ちょっとねもう1分2分会話しただけで
(00:03:05) あーこの人外国人だなっていうのはすぐにわかったみたいです なんで会話を続けるとその俺が外国人だってあの台湾人じゃないってわかったのか
(00:03:15) というと俺が知ってる言葉が少なすぎたからですね あの単語とか文法とか全然勉強してなかったから
(00:03:26) だから普段使う言葉まあ買い物とかですね 買い物とかあの飲食店での注文とかそういうのは
(00:03:34) 生活してたら覚えるんですよだからその辺の言葉はすごい上手に話せるけどでもあの ちゃんと勉強してないと覚えられないような言葉っていうのもたくさんあるから
(00:03:47) そういうのが話題に上がるともう すぐこの人は中国語をそんな話せないんだなっていうのがわかるんですよ
(00:03:56) でちょっと話が揃えてきたので元に戻すんですけど俺は英語だとテストはできるけど そんなに上手に話せない逆に中国語はテストはそんなにできないんだけどでも話すのは
(00:04:10) まあ最近ちょっと忘れてきたけどねでも結構上手に話せる方なんですよ でそれは話すのに慣れてるから
(00:04:20) 勉強しなくてもやっぱり毎日使っているとペラペラとまでは行かないけどそれなりに 話せるようになるんですよ
(00:04:28) ってことでペラペラになるためにはどうしたらいいのかというと その場所に住んで毎日使ってたらいいんですよ
(00:04:37) ただ あの
(00:04:40) そんなのは みんな知ってますよね
(00:04:45) なんとなくこう その国に行ってそこで生活していれば上手になるんだなんてことは
(00:04:53) 誰でもわかりますよね でわかるんだけどでもそれができない
(00:04:59) あのそんなに簡単に他の国に行って生活するなんてできないですからね だから自分一人で勉強している時とか
(00:05:08) あとは学校で勉強している時にいくらやってもなかなか上手に話せない どうすればいいんだって言って悩む人が多いんですよね
(00:05:17) じゃあどうしてその国に行って生活していると上手になるのか そこも考えてみましょう
(00:05:26) 実は俺の学校にいる留学生で 日本に1年とか2年とかいるけどなかなか日本語が上手にならない人もいます
(00:05:38) だからその国に行って生活すれば確かに上手になるかもしれないんですけど その国で生活さえすればそれだけで上手になるっていうものでもないんですよ
(00:05:51) じゃあペラペラになるためにどんなことをする必要があるのかって言うと 常に
(00:05:59) これは日本語だったらどうやって言えばいいのかっていうことを考えることです 日本に住んでれば
(00:06:08) 話し相手が日本人だったら 全部日本語で言わなきゃいけないからずっとそれ考えてるんですよ
(00:06:15) ただ日本に来てそれで日本で生活してるけど同じ国の人 自分の国の友達としか話さないような人っていうのはやっぱり全然上手にならないんですよね
(00:06:29) だから逆に言ったら日本にいなくても常にこれ日本語で何て言うんだろうって考えてれば それで日本語は上手になるんですよ
(00:06:40) これ結構難しくてもう本当は何かにつけてこれ日本語で何って考えるんですけど 例えば道を歩いてて邪魔な人がいたら
(00:06:52) すいませんちょっとそこどけてくださいっていうのを まあ自分の国の言い方と日本語の言い方とって違うと思うんですけど
(00:07:01) あのじゃあ日本語だったらどうなるのかなとか ちょっとどけてくださいって日本語で言ったら失礼かもしれないじゃあ丁寧に言うんだったらどう言えば
(00:07:10) いいのかなとか あとは買い物の時もそうですねそれくださいとか
(00:07:16) あのもうちょっとこれ小さいサイズのありませんかみたいなのを 日本語でどう言ったらいいのかとか友達と話す時とか家族と話す時なんかも全部
(00:07:27) そうでこういう時はどう言えばいいのかっていうのを常に考える これが日本語が使えるようになる第一歩ですね
(00:07:37) でこれが第一歩なので2歩目もあるんですよ 2歩目はちょっとね自分一人だとあのなかなか難しいんですけど
(00:07:49) さっき言った第一歩常にこれは日本語で何て言うのかって考える そして2歩目ではその考えた日本語を実際に使うんですよ
(00:08:02) でどうやって使うのかっていうとまあ日本に来て生活するのが一番なんですけど 日本にいない人自分の国で勉強している人は今はインターネットがあるから
(00:08:13) インターネット使ってあの いろんな国の人とかまあいろんな国の日本語を勉強している人とか
(00:08:21) あとは日本人とかと会話をしてみると それで上手になりますね
(00:08:28) でこの他の人と会話をしてみると上手になるっていうのはそれはどうしてなのかっていうと
(00:08:36) 自分が考えた日本語が正しいかどうかがわかるからです つまり自分が何か
(00:08:46) 日本語でこう言えばいいかなって考えてそれを使ってみた後でそれが正しければ 話し相手がちゃんと答えを返してくれるし
(00:08:56) もし正しくなかったら話し相手が 例えば
(00:09:02) ごめん今なんて言ったのとかそれどういう意味とか 反対に質問で返してくると思うんですよ
(00:09:09) そういうことをしているうちに今の自分の日本語は正しくなかったから じゃあ別の言い方にしようとか
(00:09:17) あとは言いたいことがあるけどうまく言えないっていう時に ちょっと別の言葉英語とか何か共通の言語があるんだったらそういうので
(00:09:26) ごめんちょっとこういうふうに言いたいんだけどなんて言えばいいっていうふうに確認したり とか
(00:09:32) そうすることで上手になります この2歩目の実際に使ってみて相手の反応を見るっていうのがすごく大事で
(00:09:42) 言語っていうのはとにかく使わなきゃダメなんですよ なんで使わなきゃダメなのかっていうと使ってみないとそれが正しいかそれとも
(00:09:51) 間違ってるかっていうのがわかんないからですね 使ってみてそして相手の反応を見てで自分が求めてる反応じゃなかったら自分の言葉は
(00:10:00) 間違ってるんだってわかるから だからあの別の言い方を考えたりする別の言い方を調べたりする
(00:10:07) それを繰り返すことでどんどん上手になっていきます で
(00:10:13) これって自分一人でもまあできないことはないんですけど やっぱり話し相手とやった方が上手にはなります
(00:10:22) なぜかというと 今回もらったメッセージはペラペラになりたいっていうことですね
(00:10:29) 上手に書けるとか聞くことができるっていうんじゃなくてペラペラ 流暢に話せるようになりたい
(00:10:37) 流暢に話せるペラペラっていう風に判断できる基準の一つはやっぱり反射神経なんですよ 何かを聞いてそしてすぐに返せる
(00:10:51) そのスピードが早いと結構日本語下手でも言葉とか文法とか間違ってもこの人ペラペラ だなっていうふうに思われることが多いです
(00:11:01) まあ俺も中国語がそうだったんですよ そんなに難しい言葉は知らないけど日常のやり取りだったらすごい反射神経がいい
(00:11:09) 何か言われたらさっと返せるだからこの人中国語 上手っていうかまぁ台湾人なのかなというふうに思われたんですけど
(00:11:18) この反射神経っていうのはやっぱり文字だけではなかなかできない 実際に話をしないと何か聞いた時にすぐに返すっていう練習ができないので
(00:11:30) だからできればこう話し相手会話の相手を見つけて そして練習するとペラペラになれるかなと思います
(00:11:40) じゃあちょっとまとめますね どうすればペラペラになるのかっていうともちろんこれって人によって違うと思うんですけど
(00:11:49) まあやっぱりその国に住んでいるのと同じような環境を作るってことが大事なので まず第一歩
(00:11:57) 常にこれは日本語で何て言うんだろうと考えること そして第2歩それを実際に使ってみること
(00:12:07) この第2歩のところで実際にこう話す相手が見つからなかったら自分一人でもいいから 何かに書いたりとか頭の中で声を出すだけでもいいからやってみて
(00:12:18) そして話し相手がいればその話し相手の反応を見る 話し相手がいないんだったら後で家に帰ってからでもいいから
(00:12:29) ちゃんと調べてみて自分が考えた日本語が正しかったかどうかっていうのをチェックする これを繰り返すのが
(00:12:38) ペラペラになるための 近道かなという気がします
(00:12:44) このね常にこれ日本語で何て言うのかって考えるのって結構難しいんですよ 普段の自分の生活
(00:12:54) 防護だったら何にも考えなくても言えるようなこと 例えば
(00:13:00) 歩いている時にちょっとどこかにぶつかっていて誰だよこんなとこに自転車置いたの邪魔じゃん
(00:13:08) というふうに思ったりとかしてその時にそれを日本語で言えるかって考えると結構 難しいと思うんですよ
(00:13:15) なのでそれをねやってみるといいんじゃないかなと思います さあ
(00:13:22) 8 言語の話になるとねちょっと俺の一応本職の話なので長くなりがちですが
(00:13:31) 他にもいろんな日本語の練習方法ってあるとは思うんですが この常に日本語で何というか考える
(00:13:38) これって何も道具もいらないし自分一人でもできることなので 日本語を上手に話せる下地作りとしてぜひやってみてください
(00:13:47) 他にも何か日本語の勉強についてとかあの 悩み相談とかあればぜひメッセージを送ってください
(00:13:56) それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
