ep. 120 - 大学院＆専門学校 (N3)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日はですねえっと日本の学校について リクエストをもらっています
台湾の大学生の方からのリクエストです 日本の大学院や専門学校などについて
聞きたいということなので今日はその話をしたいと思います じゃあまず専門学校と大学院って何かという説明からしておきたいと思います
大学院っていうのは大学を卒業した後 もっと何かについて深く研究したいという人が行くところです
まあ大学の中にあることがすごく多いんですけどね 大学院は2年かそれか4年ですね
大学院で研究をしてそして最後に論文を書いてそれが認められたら卒業できます そして専門学校専門学校っていうのは
高校を卒業してから行く人が多いんですけど大学と違って2年のところが多いですね 専門学校も勉強をするところなんですけど大学の勉強とちょっと違って
専門学校は勉強とあとは 仕事の練習みたいなところですね
大学はいろんなものを勉強したり研究したりするところなんですが 専門学校っていうのは何か一つ何かについて専門的なことですね
それを勉強してそして学校を卒業したらすぐに その勉強した専門分野の仕事ができるように就職できるように練習する
そういう学校のことを専門学校と言います 今日本では
高校を卒業した後大学に行く人がすごく多いんですが 専門学校に行く人もまあ少なくはないです
専門学校に行って2年間勉強とあとは就職 日本の会社に入るための練習をしてそしてその後を卒業したら働くっていう感じですね
大学院に行く人は 大学とか専門学校と比べるとそんなに多くないかなぁと思います
まあ大学院って 行かなくても
日本で就職とかできますしね なんか
俺のイメージですけど半分趣味みたいな学校のような気がします 趣味って言ったらちょっと失礼ですね
あの一生懸命研究している人に ただ
やっぱり大学院で研究をするっていうのはそれだけその分野について 好きだそれについてもっと知りたいっていう気持ちが強い人だと思うので
まあ好きじゃなきゃできない好きじゃなきゃ行くことができない学校ですね なのでちょっとこう
すごく好きなものを研究するっていうところから俺 俺はちょっと趣味に近いイメージを持ってます
でも大学の先生とかって そうですよねあの
大学の先生っていうのは研究することが仕事なんですけど 半分趣味みたいな感じですよねあの人たちは
だから大学の授業って大学で研究している先生たちが自分の研究について授業を するんですけど
その授業をしている時の先生ってみんな楽しそうですよね 自分の半分趣味について話しているのと同じだから
だから楽しいんだろうなというふうに思ってるんですけど 俺も実は将来大学院に行きたいなぁと思ってて
俺はあの大学までしか行ってないんですよ 大学院に行ってないんですけどでもいつか大学院に行って研究したいなぁと思ってるんです
が 俺はその大学に行きたいっていうのはまあいろいろな理由はありますが
やっぱり半分ぐらい趣味です 自分の好きなことについて研究したいなぁと思っています
大学院にいつか行きたいと言いましたが大学院に行く人はどんな人なのかというと 結構ねみんなバラバラです
大学を卒業してすぐに行く人もいるし大学卒業してから1回就職して そしてしばらく働いたりしてから何か研究したいテーマが見つかってそれで大学院に
行く人も結構多いと思います だから大学院の大学院に入るための試験って
大学からすぐ入る人の試験とそうじゃなくて1回社会人になってから試験を受ける人 社会人のための試験っていうのも別にあります
まあこれは専門学校も同じなんですけどね 高校卒業してからすぐに専門学校に行く人もいるし
1回就職してからやっぱりもう少し 今自分が仕事でやってることを専門的に勉強したいっていう人もいれば
今やってる仕事と全然違う仕事にチャレンジしたいから だから
あの今の会社を辞めてそして専門学校に行って勉強してから違う仕事をするっていう人もいます これが日本の大学院とか専門学校ですね
ちなみにこの大学院とか専門学校で何の研究をするのか 何の勉強をするのかっていうと
とにかく幅広いです何でも研究できます 何でも勉強できます
でも日本で特徴的なのといえばやっぱり漫画とかアニメですかね 日本には漫画やアニメの勉強をする専門学校がたくさんあります
俺は絵が 苦手というか嫌いというか
すごく下手だから全然そっち方面には興味がなかったので あの具体的にねどんな学校があるのかっていうのはあんまり調べなかったんですけど
まあ今ちょっとね仕事でその専門学校について調べたりもするから いろいろな専門学校の資料を見ますが
ほんとね今いろんな専門学校があって面白いなぁと思います 漫画の専門学校だと本当に漫画を描いているプロの漫画家が先生として学校に来て
そして授業したりとかそういうことがあるので その専門学校って自分が好きなジャンルだとすごく楽しいと思います
なので日本でね留学して漫画とかアニメの勉強をしたいっていう人がもしいたら 専門学校ちょっと調べてみると面白いと思います
ただ 漫画とかねアニメとかそういう専門学校って
学費は結構高いんですけどね 専門学校ってさっきも言ったようにとにかく幅広いんですよ
で仕事でこうすぐに使えそうなビジネス系のスキルの学校っていうのもあるんですけど そういうところはまあそんなに学費が高くないんです
ただ漫画とかあのアニメとかあと音楽関係とか 趣味でやっている人が多そうなジャンルだと学費はかなり高いですね
1年間で百二三十万とか高いところだと百五六十万とかするのかな なのでお金に余裕がある人はぜひ行って勉強してみてください
はいってことで今日は日本の大学院とか専門学校についてのお話でした ありがたいことに日本に留学したいっていう人がたくさんいるので
あの日本のね 専門学校とか大学とか大学院に留学に来た人はいつか俺と会えるかもしれませんね
そんな日が来るのを楽しみに待ってます それじゃあ今日はこれで終わりにしたいと思いますさようなら
