ep. 120 - 大学院＆専門学校 (N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) さて今日はですねえっと日本の学校について リクエストをもらっています
(00:00:28) 台湾の大学生の方からのリクエストです 日本の大学院や専門学校などについて
(00:00:38) 聞きたいということなので今日はその話をしたいと思います じゃあまず専門学校と大学院って何かという説明からしておきたいと思います
(00:00:51) 大学院っていうのは大学を卒業した後 もっと何かについて深く研究したいという人が行くところです
(00:01:04) まあ大学の中にあることがすごく多いんですけどね 大学院は2年かそれか4年ですね
(00:01:13) 大学院で研究をしてそして最後に論文を書いてそれが認められたら卒業できます そして専門学校専門学校っていうのは
(00:01:25) 高校を卒業してから行く人が多いんですけど大学と違って2年のところが多いですね 専門学校も勉強をするところなんですけど大学の勉強とちょっと違って
(00:01:40) 専門学校は勉強とあとは 仕事の練習みたいなところですね
(00:01:48) 大学はいろんなものを勉強したり研究したりするところなんですが 専門学校っていうのは何か一つ何かについて専門的なことですね
(00:02:00) それを勉強してそして学校を卒業したらすぐに その勉強した専門分野の仕事ができるように就職できるように練習する
(00:02:14) そういう学校のことを専門学校と言います 今日本では
(00:02:20) 高校を卒業した後大学に行く人がすごく多いんですが 専門学校に行く人もまあ少なくはないです
(00:02:31) 専門学校に行って2年間勉強とあとは就職 日本の会社に入るための練習をしてそしてその後を卒業したら働くっていう感じですね
(00:02:45) 大学院に行く人は 大学とか専門学校と比べるとそんなに多くないかなぁと思います
(00:02:54) まあ大学院って 行かなくても
(00:02:58) 日本で就職とかできますしね なんか
(00:03:03) 俺のイメージですけど半分趣味みたいな学校のような気がします 趣味って言ったらちょっと失礼ですね
(00:03:11) あの一生懸命研究している人に ただ
(00:03:15) やっぱり大学院で研究をするっていうのはそれだけその分野について 好きだそれについてもっと知りたいっていう気持ちが強い人だと思うので
(00:03:28) まあ好きじゃなきゃできない好きじゃなきゃ行くことができない学校ですね なのでちょっとこう
(00:03:36) すごく好きなものを研究するっていうところから俺 俺はちょっと趣味に近いイメージを持ってます
(00:03:43) でも大学の先生とかって そうですよねあの
(00:03:49) 大学の先生っていうのは研究することが仕事なんですけど 半分趣味みたいな感じですよねあの人たちは
(00:03:58) だから大学の授業って大学で研究している先生たちが自分の研究について授業を するんですけど
(00:04:06) その授業をしている時の先生ってみんな楽しそうですよね 自分の半分趣味について話しているのと同じだから
(00:04:15) だから楽しいんだろうなというふうに思ってるんですけど 俺も実は将来大学院に行きたいなぁと思ってて
(00:04:22) 俺はあの大学までしか行ってないんですよ 大学院に行ってないんですけどでもいつか大学院に行って研究したいなぁと思ってるんです
(00:04:31) が 俺はその大学に行きたいっていうのはまあいろいろな理由はありますが
(00:04:37) やっぱり半分ぐらい趣味です 自分の好きなことについて研究したいなぁと思っています
(00:04:44) 大学院にいつか行きたいと言いましたが大学院に行く人はどんな人なのかというと 結構ねみんなバラバラです
(00:04:55) 大学を卒業してすぐに行く人もいるし大学卒業してから1回就職して そしてしばらく働いたりしてから何か研究したいテーマが見つかってそれで大学院に
(00:05:10) 行く人も結構多いと思います だから大学院の大学院に入るための試験って
(00:05:17) 大学からすぐ入る人の試験とそうじゃなくて1回社会人になってから試験を受ける人 社会人のための試験っていうのも別にあります
(00:05:30) まあこれは専門学校も同じなんですけどね 高校卒業してからすぐに専門学校に行く人もいるし
(00:05:38) 1回就職してからやっぱりもう少し 今自分が仕事でやってることを専門的に勉強したいっていう人もいれば
(00:05:48) 今やってる仕事と全然違う仕事にチャレンジしたいから だから
(00:05:54) あの今の会社を辞めてそして専門学校に行って勉強してから違う仕事をするっていう人もいます これが日本の大学院とか専門学校ですね
(00:06:08) ちなみにこの大学院とか専門学校で何の研究をするのか 何の勉強をするのかっていうと
(00:06:16) とにかく幅広いです何でも研究できます 何でも勉強できます
(00:06:23) でも日本で特徴的なのといえばやっぱり漫画とかアニメですかね 日本には漫画やアニメの勉強をする専門学校がたくさんあります
(00:06:35) 俺は絵が 苦手というか嫌いというか
(00:06:41) すごく下手だから全然そっち方面には興味がなかったので あの具体的にねどんな学校があるのかっていうのはあんまり調べなかったんですけど
(00:06:51) まあ今ちょっとね仕事でその専門学校について調べたりもするから いろいろな専門学校の資料を見ますが
(00:07:00) ほんとね今いろんな専門学校があって面白いなぁと思います 漫画の専門学校だと本当に漫画を描いているプロの漫画家が先生として学校に来て
(00:07:11) そして授業したりとかそういうことがあるので その専門学校って自分が好きなジャンルだとすごく楽しいと思います
(00:07:22) なので日本でね留学して漫画とかアニメの勉強をしたいっていう人がもしいたら 専門学校ちょっと調べてみると面白いと思います
