ep. 121 - JLPT公式問題集1解説-読解問題6,7 (N3)

ん
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて
だんだん jlpt が近づいてきましたね あと2週間切りました1週間ちょいですね
皆さん勉強頑張っていると思います 今日は jlpt の問題の解説の続きやりたいと思います
ってことで今日もこのエピソードを聞く前に問題を用意して問題を解いてそれから聞いて ください
じゃあ今日は n 3の問題の読解ですね読解の残ってたところ ちょっとね間が空いちゃいましたけども残りの問題やりたいと思います
じゃあ問題6を見てください さて問題6って結構ね長いから難しいと思っている人も多いと思います
ただ問題6は問題の解き方を知っていると結構 簡単に解ける問題っていうのもあるので
どうやって答えを出せばいいのかどこを読めばいいのかっていうのをよく考えながら 練習しましょう
じゃあまず一つ目ですね 一つ目の問題はこの状態というふうに言ってますね
このです こっていう言葉が来たらもう答えで読むと答えを探すために読むところは決まって
ます そのちょっと前の部分なんです
なのでまあこのだけじゃなくてこれとかこことか こうがつく言葉があったらその前を見てください
でこの問題ではそのちょっと前の部分を見るとまずは 日本で農業をしている人それが何人かっていうのを言ってますね
まずはその農業をしている人が3分の1以下に減っている そしてそれだけじゃなくて今度は農業をしている人が65歳以上
60%以上65歳以上って言っているのでこれがこの状態のことです そうすると人が少なくなっている
そして落としお年寄りが多いということなので答えが一つ目ですね
さあどんどん行きますよその次今度はいくつかの工夫と書いてあるんですけども それがどんな工夫ですかっていうふうに言ってますね
で その工夫ってどんなものなのかというのはその後ろに書いてあります
こういうふうにいくつかの工夫とか何か新しい言葉を出したら だいたいその後ろに説明が書いてあります
ここではわかりやすく第1の工夫第2の工夫 第3の工夫というふうにどんな工夫のことかっていうのが後ろで123と順番が
わかりやすく書いてありますからそこを見てください そうすると第1の工夫では決まった給料を払う
第2は休めるようにする そして第3は
農業を教えると書いてあります なのでこの123と同じ内容のものは答えは4ですね
農業を教えるということです 1は決まった給料を払うと言ってるので決まった給料っていうのは毎月同じ給料
ということです 多くなったり少なくなったりしないでいつも同じ
それが決まった給料 でえっと2つ目の
休めるようにするっていうのは必ず何曜日に休みっていうふうには言ってないですね 例えば1週間に2回だったら月曜日と水曜日でもいいし
もちろん土曜日と日曜日でもいいし 日曜日と木曜日でもいいしそういうふうに必ず休めるようにはするけど
でも何曜日に休むかというのは書いてないので えっとそれで1とか3の答えは違いますね
で えっと2の
と文では1年中 ずっと同じ野菜を作るっていうふうに書いてありますがそれはさっきの第1第2第3の工夫の
中には書いてないので違いますね じゃあその次今度は36の問題みましょう
えっと 今度は若者が大勢入ってきたけどそれがどうしてかという質問ですね
さてこの答えを探すためには えっとちょっと前を見てみるとこのような工夫は若者にも伝わった
と書いてあります 工夫が若者に伝わってそしてそれで大勢入ってきたということなんですが
工夫っていうのはさっき835の問題でありましたね なのでその35のいくつかの工夫っていうそこを見てみるとその後ろに
若者も働きやすい環境を作っているっていうふうに書いてあります つまり工夫があったから若者が増えた
そしてその工夫っていうのが何のための工夫だったかというと働きやすい環境を作る と言ってるのでだからこの36の答えは4つ目になりますね
じゃあ最後 37この文章全体のテーマは何ですかっていう質問ですね
このね問題6の最後は 文章の内容と合っているものはどれですかとか
今回みたいな文章全体のテーマは何かとかね その全部を読まないとわからないっていう質問が出るときがあるんですが
だいたいねこの問題6って質問が4つあって その最初の3つの質問をちゃんと読んでそしてそれがわかっていれば4つ目もすぐ答えが
出るんです 今回では一つ目の質問はこの状態は何かって言ってますね
農業をする人が減っていてそしてお年寄りが多い そして2つ目の問題では工夫って何ですかっていうことでしたね
工夫っていうのは決まった給料を払って休めるようにしてちゃんと農業を教えるって いうことです
どうして工夫をしたのかっていうと 若い人が仕事がしやすい環境を作るためですね
でそれをやったことで えっとその3つ目の質問にも書いてありましたが毎年農業にチャレンジしたいっていう人が
たくさん入ってきた これがこの文章全体の話ですね
そして一番下最後を見るとこの今まで話したことが新しい農業の形として期待されてる っていうふうに言ってるので
なのでまあ今までどうだったかそして今どんなことをしたか そしてそれがこれから期待されている
っていう話なので答えは2つ目のこれからの農業っていうのがテーマですね さあこれが8問題6の答えでした
じゃあ最後問題7の方も言っちゃいましょう 問題7は結構ね簡単な問題が多いと思います
というのもこの問題6っていうのは結構 長い話だから難しい言葉も多いと思うんですけど
問題7はあんまり難しい言葉ってないんですよ ポスターとか雑誌とかを見てそして欲しい情報を探すっていう問題です
だから難しい言葉があってもそこは読まなくてもいいっていう時も結構あります じゃあ8問題7の一つ目38ですね
さあこの問題解くときにはこの質問の文をよく読んでそして どんな情報を探さなければならないかそれを確認してください
38を見るとまずはスキー用具スキーの道具ですね それを無料で借りられるところがいいと言っています
そうするとスキー用具が無料って言ってるのは2つだけですね 2と3だけです だからもう答えはにかさんどっちかっていうのがすぐわかります
そして質問の続きを読むと温泉温泉旅館に泊まりたいと言っています ですから2と3のどっちが温泉なのかなと見ると
3は温泉温泉旅館じゃなくてビジネスホテルと言ってるので温泉旅館のにが答えになります じゃあ最後39ですね
8今度は 8下の方ですね下を見ると沖縄4日間の旅行ですね
なので一番下のところだけを見ます この人はこの旅行に行きたいんですが
8お金をいつ払うのかっていうのを探さなければなりませんね ただお金をいつ払うのかっていうのはこの沖縄4日間の旅行の説明には書いてないんです
だから下を見てくださいそうするとお金をお金の払い方について説明が書いてあります で質問では旅行者で支払うと言ってますね
さあそれに気をつけて下を見ると料金の支払いについて 銀行かコンビニだったら出発の5日前
そして旅行者で直接を支払いの場合は出発の3日前と書いてあるので3日前なのは えっと25日に出発って言ってるから
2月22日ですねこれが答えになります さあこの問題7は2つしかないし欲しい情報だけを探していけばすぐ答えが見つかるので
あまり難しくないかもしれません だから問題5とか6ですごく難しいどうしてもわかんないという人は
そこでねあまり時間を無駄にしないでちょっと問題5とか6は 後にして先に問題ならやった方が正解はちょっと多くなるかもしれませんね
問題を解く順番とかもよく考えて テストを受けてください
それじゃあ公式問題集の解説 n 3はここで1回終わりにしたいと思います 何かね今までやった中でちょっと難しいとかよくわかんないという
ところがあったら あのメッセージでもコメントでも何でもいいので
ぜひ送ってください それじゃあ今日はこの辺で終わりにしたいと思います
皆さん勉強頑張ってくださいさようなら
me me
