ep. 122 - JLPT公式問題集1解説-N2文字語彙問題5,6(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は jlpt の公式問題集 n 2の解説続きをやりたいと思います
またこのエピソード聞く前に問題を解いてそして問題を準備してから聞いてください 前回は文字語彙の問題4まで説明したと思うので今日はその続き
問題5ですね じゃあ問題を行きましょう一つ目です意味が最も近いものです
だいたい同じ意味の言葉はどれですかという質問ですね まず一つ目ブームもうこの問題は単語の意味を覚えるしかないんですけど
これは流行とだいたい同じです流行っているものですね
8でその次今度は身長 これもあの注意するっていうことです
すごくよく気をつける注意するっていう意味ですね えっとそれから25は縮むっていう言葉ですがこれは小さくなるっていうことですね
そして26 ほぼですがこれはまあだいたいと同じです
で8最後27回復する これは8ね選択肢では良くなるって書いてありますがあの回復するの使い方は良くなる
っていうよりも1回悪くなったものが元通りになるっていう意味でよく使います だから良くなるって言っても元の状態よりももっと良くなるっていう意味じゃない
ので気をつけてください
はいえっとこの問題後は本当に単語の意味を覚えるしかないので頑張って覚えて ください
じゃあその次問題6の方いきましょうねえっと28方針の使い方 方針の方方向とか方角とかの方ですね
で真は針なんですけども 方向を示す針というのが方針ですが使い方は今は本物の針じゃなくって別です
考え方ですね何かをするときの考え方です やり方とかを決めるのに一番大切にしている考え方です
なので答えは84ですね 教育に関する方針って言ったら
この国でどうやって教育した方がいいのか 何を教育した方がいいのかっていうそういう考え方です
何かをするときの考え方が方針 他のも一応見てみると1は台風のこれは
進路とかまあ方向でもいいかな 進む方向のことを進路と言います
それからその次2番は今年の 豊富ですね豊富あとは目標とかでもいいですね
それから3つ目は うーんとこれは料理を作る方法だといいんですけど
まあこの料理の作り方っていう方が自然かなと思います じゃあその次29今度は範囲ですね
範囲っていうのはどこからどこまでかというのを示す言葉です なのでどこからどこまでっていうのは
えっと 3つ目ですね広い範囲と言っています
うーんと他のを見ると12つの8地域に分かれているとかだったらいいかな その次に新しい
何だろうね分野とかかな何かをする種類とかジャンルとかいう意味ですね それから4つ目これは距離ですね
どのくらい離れているかっていうのを距離と言います はい続いていきますよ今度は30番はせめての使い方
8答え言っちゃうと3つ目ですね せめてっていうのはそれだけだと十分ではないけどでも最低でもこのぐらいは欲しい
という意味です これは京都に旅行に行くって言ってますね
で京都に旅行に行ったら1日じゃ有名なところ全部は回れません だからできるならねやっぱり3日とか4日とか本当に近くの全部有名なところもある
んだったら1週間ぐらい欲しいんですけどそんなに休みを取れない じゃあ
1日で帰るって言うとどうなのかというとやっぱりそれはいくら何でも少なすぎる 短すぎる
だから十分じゃないけど最低でも1日ぐらいは泊まりたいっていうのがせめて一泊はしたい ですね
なのでせめての後ろはあの十分じゃないけどこのぐらい欲しいっていう意味なので 後ろは欲しいとかしたいとかそういう言葉が多いですね
うんと他のやつを見ると1これはそうだね最低でも1万円はするとかですかね あと他にも少なくともなんていう言い方があります
82番2番のは えっとねー
なんだろうね俺もちょっと一言ではこれは言えないなぁ まあタクシーに乗っても
早くても10時にはつかないとかですかね 1タクシーに乗ったところで10時にはつけないとか別の言葉にしてもいいかな
あとは84つ目のは これはなんとか50点は取れたとかですかね
せめてっていうのとちょっと似てるんですけどまあ十分じゃないけどできたとかそういう 時に使うんですが
せめてっていうのは欲しいとかしたいとかと一緒に使うんですがなんとかっていうのは そうじゃないですね
じゃあその次今度は利益の使い方利益っていうのは あの
リとか駅っていうのは自分のプラスになるっていうことなんですが 使い方としてはお金ですねお金得がプラスになるときに使います
なので売るって言ってるこのにが答えです店の利益と言いますね えっと1を見るとジョギングは健康のなんだろうねためになるとかでいいかな
83つ目はこれは薬の話なので効果が感じられないですね 8そして4つ目バスの利益じゃなくてここはいいところっていう意味の言葉なので
まあそうですね長所とか利点なんていう言葉でもいいかもしれませんね じゃあ最後叶うこれは結構知ってる人が多い言葉だと思うんですけど
夢とかが本当になるしたいことが現実になる実現するっていう意味なので夢の話を している4つ目ですね
他の見ると1はね苦労の話ですね 苦労と一緒に使う言葉は苦労が報われるっていうのを覚えておきましょう
何か大変なこととかをやって頑張ってそしてその成果が出た 頑張った分何かいい結果が得られたっていう時に苦労が報われると言います
そして2つ目これは天気予報なので予報が当たると言いましょう 予報が当たるとか予報が外れると言います
そして最後最後というかまあ3つ目ですね これは何だろうね無事の後は成功したとかでいいんじゃないですかね
イベントが無事成功した
はいじゃあここまでで問題6が終わりだから8文字越えの問題全部終わりですね ちょっとね難しい言葉が多くなってきましたが頑張って覚えてください
じゃあ霧がいいところなので今日はここまでにしたいと思います皆さん勉強頑張って くださいさようなら
いっぱい美味しければチャンネル登録お願いします
