ep. 123 - おすすめの観光地(N3)

ん
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は 日本の観光地について
あの話してくださいというリクエストをもらっているので今日はね旅行の話をしたい と思います
なんで旅行なのかっていうと 今新型コロナウイルスが流行っていてなかなか旅行に行けないから
だから旅行に行く代わりにその観光地の旅行の話を聞きたいということだと思います ってことで今日は日本の有名な観光地について
ちょっとね話をしたいなと思うんですが ただ
あの この話したことあるかな俺昔あまり旅行好きじゃなかったんですよ
なんでって思うかもしれませんけど 俺はその漫画とかが好きなインドアな人間だから
外に行くのがねそんなに好きじゃなかった時があったんですけど まあ今はねあのそれなりに旅行好きですよ
だから時間があったらどこかに行ったりはしますけど 昔はねそんなに好きじゃなかったから一番暇だった
学生時代にそんなに旅行に行ってないんですよ だからねちょっと他の人より普通の日本人と比べたら
行ったことがある場所ってちょっと少ないかもしれないんですけど あの俺が行ったことがあるところとかあとは行ってみたいところですね
そういうところを少し紹介したいなと思います じゃあまずは
えっと とりあえずわかりやすいところで日本の一番北にある北海道
北海道は もう知らない人はいないと思うんですけどやっぱり有名な観光地ですね
俺もね1回だけ行ったことがあるんですよ まあ1回だけ行ったんですけどただ滞在時間
そこにいる時間はすごく短かったです 確かね金曜日の夜に北海道に行って
そして土曜日の 昼か夕方夕方にはなんないかな
まあ2時とか3時とかそのぐらいにはもう帰ってましたね だからすごいまあ短かったんですよ
あのそれは実は旅行じゃなくてちょっと あの日本語の先生の勉強会みたいなのがあってそれに行っただけだったのであんまり
観光とかはできなかったんですけど でもせっかく北海道に行ったんだから
そんなに観光はできなくてもせめて美味しいものは食べたいと思って 美味しい魚は食べてきました
そう北海道って 有名ないろいろな有名なものがたくさんあるんですけど
やっぱり俺は北海道といえば美味しい食べ物 特に海のものそれを皆さんにおすすめしたいです
ただまぁあの なんかこのポッドキャストね食べ物とか酒とかそういう話ばっかりになっちゃうなという気も
するので あの北海道はもちろん行ったら美味しいものを食べてほしいんですがもう一個
俺が行ったことがないところだけど行ってみたいなぁというところを一つ紹介します それは北海道のすごい遠いところ北西の方にあるんですけど
北西じゃないえっと北東の方ですね東側です そっちにあるんですけど
とにかくも自然が綺麗なところ 綺麗なところっていうか俺は行ったことがないんですけどテレビとかインターネットとかでよく見る
んですよ北海道の紹介とかで ここに行ったことがある日本人って多分すごく少ないと思うんですけど
まあそんなに簡単に行けるところじゃないから だから俺も全然行ったことがないんですが
でもね行ってみたいなぁと思ってます 死ぬまでには1回行きたいところの一つですね
なのでとりあえず日本の有名な観光地一つ目は北海道でまずは北海道の美味しいものを みんなに食べてほしい札幌とかあと函館とかにね
行ってほしいなと思います そして
俺も行ったことがないけど絶対行きたいなぁと思っているところ すっごく自然が綺麗なところ北海道のしれとこです
皆さんもねこれえっとこのポッドキャスト聞いたらぜひインターネットで知れとこって 調べてみてください
すごく綺麗な写真がたくさん出てきますから で次一番北の観光地を言ったので次は一番南ですねやっぱり反対に行くと今度は沖縄
沖縄もまあみんな知ってると思うんですけどここもね綺麗なところです 北海道はやっぱり北にあって寒いところなので雪が有名だと思うんですけど
まあ札幌の雪祭りとかもありますからね 沖縄は南だから暑いところですね
なので沖縄の有名なものといえばやっぱり海ですね 沖縄ももちろん美味しい食べ物たくさんあるんですが
これもね俺がまで行ったことがないけど絶対死ぬまでには行きたいと思っているところ の一つで
沖縄にとっても綺麗な海の有名なところがあるんです 青野洞窟っていうところなんですけどこれもねこのポッドキャストを聞き終わってから
ぜひインターネットで調べてください 沖縄青野洞窟って調べると写真がたくさん出てきます
あの洞窟っていうのは 山とかの横にできた穴みたいなところなんですけど
そこが海の青の色になってすっごく綺麗な場所なんです なんかね綺麗すぎて
日本じゃないみたいこの世界じゃないみたいなそのぐらいすごい綺麗なところなんですよ 神秘的って言うんですけどすごく不思議な感じがして神様とかがいそうな
ところ そのすごい神秘的な場所です
青野洞窟の青っていうのはその海の水の青なんですけど 水の色が変わって神秘的に見える不思議に見えるところといえばもう一箇所
皆さんにおすすめしたいところがあって 福島県っていうところの
五色沼っていう沼があります そこもね綺麗でしたここは行ったことがあるんです
沼っていうのは小さい湖みたいな池みたいなものなんですけど そこの水の色が
五色っていうのは5個の色です 色っていうのは色っていう感じですから沼の水の色が5個に見えるんですよ
赤とか青とか緑とか あの
嘘だと思うでしょ本当なんですよ なんかね俺も詳しくはわかんないんですけど
その五色沼って山にあるんですけど火山でできたのかな確か 火山っていうのは山から火がたくさん出る
あれが火山です その火山であの沼ができてそしてその時に
あの 山の中のそのいろんな
成分とかが水の中に入ったらしいんですよ それで水の色がちょっと変わって見えるらしくて
でまぁあのこれは これもねさっきから何回も同じこと言ってますけどインターネットで福島県
五色沼って調べてみてください綺麗な あの色の水の沼がたくさん出てきますから
あとね福島県ってあのラーメンが有名です 北方ラーメンって言うんですけどそこもね五色沼行くんだったら
まあ五色沼からちょっと遠いんですけどせっかく福島県に行くなら その北方ラーメンっていうのも食べてみるといいと思います
北方っていうのは町の名前なんですけどやっぱりラーメンが有名な町名だけあって ラーメンのお店がたくさんありました
なんかその北方っていう町の中にラーメンの店が100個ぐらいあるらしいです すごいですね
ってことで今日はその日本の有名な観光地のお話でした まあ北海道と沖縄とその福島県というところだけですけど
他にももちろんね日本にはいろいろな有名な観光地あるんですが ちょっと全部言ってると時間がかかりすぎるのでとりあえず
俺が行ったことがある場所と行ってみたい場所の 紹介をしておきました
ちょっとねまだまだコロナウイルスあの大変な状況ですが なんとかこの状況をみんなで乗り越えてそして
安心して旅行できるようになったらぜひ日本に遊びに来てください それじゃあ今日はこの辺で終わりにしたいと思います
さようなら
