ep. 123 - おすすめの観光地(N3)

(00:00:00) ん
(00:00:04) 皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
(00:00:12) でもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) さて今日は 日本の観光地について
(00:00:25) あの話してくださいというリクエストをもらっているので今日はね旅行の話をしたい と思います
(00:00:32) なんで旅行なのかっていうと 今新型コロナウイルスが流行っていてなかなか旅行に行けないから
(00:00:41) だから旅行に行く代わりにその観光地の旅行の話を聞きたいということだと思います ってことで今日は日本の有名な観光地について
(00:00:54) ちょっとね話をしたいなと思うんですが ただ
(00:00:58) あの この話したことあるかな俺昔あまり旅行好きじゃなかったんですよ
(00:01:05) なんでって思うかもしれませんけど 俺はその漫画とかが好きなインドアな人間だから
(00:01:13) 外に行くのがねそんなに好きじゃなかった時があったんですけど まあ今はねあのそれなりに旅行好きですよ
(00:01:21) だから時間があったらどこかに行ったりはしますけど 昔はねそんなに好きじゃなかったから一番暇だった
(00:01:31) 学生時代にそんなに旅行に行ってないんですよ だからねちょっと他の人より普通の日本人と比べたら
(00:01:39) 行ったことがある場所ってちょっと少ないかもしれないんですけど あの俺が行ったことがあるところとかあとは行ってみたいところですね
(00:01:49) そういうところを少し紹介したいなと思います じゃあまずは
(00:01:55) えっと とりあえずわかりやすいところで日本の一番北にある北海道
(00:02:02) 北海道は もう知らない人はいないと思うんですけどやっぱり有名な観光地ですね
(00:02:09) 俺もね1回だけ行ったことがあるんですよ まあ1回だけ行ったんですけどただ滞在時間
(00:02:18) そこにいる時間はすごく短かったです 確かね金曜日の夜に北海道に行って
(00:02:28) そして土曜日の 昼か夕方夕方にはなんないかな
(00:02:34) まあ2時とか3時とかそのぐらいにはもう帰ってましたね だからすごいまあ短かったんですよ
(00:02:42) あのそれは実は旅行じゃなくてちょっと あの日本語の先生の勉強会みたいなのがあってそれに行っただけだったのであんまり
(00:02:52) 観光とかはできなかったんですけど でもせっかく北海道に行ったんだから
(00:02:58) そんなに観光はできなくてもせめて美味しいものは食べたいと思って 美味しい魚は食べてきました
(00:03:07) そう北海道って 有名ないろいろな有名なものがたくさんあるんですけど
(00:03:13) やっぱり俺は北海道といえば美味しい食べ物 特に海のものそれを皆さんにおすすめしたいです
(00:03:24) ただまぁあの なんかこのポッドキャストね食べ物とか酒とかそういう話ばっかりになっちゃうなという気も
(00:03:30) するので あの北海道はもちろん行ったら美味しいものを食べてほしいんですがもう一個
(00:03:37) 俺が行ったことがないところだけど行ってみたいなぁというところを一つ紹介します それは北海道のすごい遠いところ北西の方にあるんですけど
(00:03:49) 北西じゃないえっと北東の方ですね東側です そっちにあるんですけど
(00:03:55) とにかくも自然が綺麗なところ 綺麗なところっていうか俺は行ったことがないんですけどテレビとかインターネットとかでよく見る
(00:04:05) んですよ北海道の紹介とかで ここに行ったことがある日本人って多分すごく少ないと思うんですけど
(00:04:13) まあそんなに簡単に行けるところじゃないから だから俺も全然行ったことがないんですが
(00:04:20) でもね行ってみたいなぁと思ってます 死ぬまでには1回行きたいところの一つですね
(00:04:27) なのでとりあえず日本の有名な観光地一つ目は北海道でまずは北海道の美味しいものを みんなに食べてほしい札幌とかあと函館とかにね
(00:04:38) 行ってほしいなと思います そして
(00:04:41) 俺も行ったことがないけど絶対行きたいなぁと思っているところ すっごく自然が綺麗なところ北海道のしれとこです
(00:04:50) 皆さんもねこれえっとこのポッドキャスト聞いたらぜひインターネットで知れとこって 調べてみてください
(00:04:57) すごく綺麗な写真がたくさん出てきますから で次一番北の観光地を言ったので次は一番南ですねやっぱり反対に行くと今度は沖縄
