ep. 125 - 「恋愛(N2)」

ん
みなさんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は 8またリクエストをもらってるんですけど
恋愛についてですね 日本ではデートの時にどんなところに行ったりするのかとかそういう話なんですが
まあちょっと難しいテーマだよね恋愛なんて考え方人それぞれ違うから 俺が日本を代表して恋愛を語るわけにはいかないんですけど
まあそれでもあの 俺の知ってることとかね俺の考えとかはちょっと話せるかなとは思いますので
今日は恋愛について話したいと思います じゃあですねまずはそのデートの時にどんなところに行くのかっていう話ですね
これはねそんなにあの どこの国でも大きな差はないとは思うんですけど
まあ友達と遊ぶのとそんな変わんないですよね 何か面白そうなところがあったらそこに行ったり
美味しいものがあったらそれを食べに行ったりとか それがまあデートだとは思います
だからデートなんてどこに行くかじゃなくて誰と行くかですよね なのであの特別デートだからここに行くとか
そういうところはないと思いますが まあそうだねえっと
デートじゃないといけないところはあるかもしれませんね その周りがカップルばっかりのところとか
例えばねあの 日本にはいろんな神様がいるからもちろん恋愛の神様ってのもいるんですよ
だからその恋愛関係のね 神様がいる神社とかに行って2人でずっと長く幸せにいられます
いられますようにっていうふうにお願いしたりとかねそういうことはやっぱりデート じゃないといけないところかなとは思います
えっとで 質問ではねデートの時にどこに行くかだけじゃなくて街で手をつないだりとか
キスしたりするのかっていう質問なんですが これはね手はつなぎます手をつないだりとか腕を組んだりとかはします
ただね日本ではねそんなに街の中でキスはしないかなと思います まあ文化的な違いですかね
あの日本ではキスなんて普通はそんな外でするもんではないので 口だろうがほっぺただろうがあのあんまり
外ではしないような気がします いやもしかしたら若い人は違うかもしれませんけどね俺は どうかな外ではそんなにしないんじゃないかなと思います
やっぱりねそもそも日本では相手の体に触れるっていう文化がそんなにないんですよ だから挨拶の時も握手なんて昔の日本では全然しなかったし
もちろんハグとかそういうことも全然しない 俺が子供の時にねその挨拶の時にハグをするっていうのが結構信じられなかった
っていう感じがしますね あの
これ国によっては あの年齢とか性別とか関係なく挨拶の時に軽くハグをするところとかたくさんありますよね
あれがねあのやっぱりその日本の文化しか知らなかった小さい子供の時なんかは なんで挨拶の時にそんな相手に抱きついたりするんだろうっていうふうにちょっと不思議
でした 今はねいろんな国の文化とか見てますしね
あの そういうところもあるんだなっていうふうに思うので全然変とかではないんですけど
やっぱりその日本では 相手とのねその距離がそんなに近くない文化なので
だからやっぱりあの その人前でね人前で
抱きついたりキスしたりするっていうのを 今はいいかもしれないけど昔は良くないことだっていうふうに考えている人が多分
たくさんいたと思います そんなことを人前でするなんて恥ずかしい
はしたないなんてね そういうふうに思う人が多分たくさんいたと思うので
だから今でもやっぱりそんなにねたくさん街中で他の人がたくさんいるところであの くっついたりするっていうのは
そんなにこう日本ではお勧めできないかなと思います いやもちろんこれ俺の考え方ですけどね
若い人は違うかもしれませんよ今の10代20代の子とかね えっとあとですねあのリクエストの中でもう一つ質問があって
プレゼント どんなものをプレゼントするのかっていう
そんな 質問があったんですが
これねあの ちょっと申し訳ないんですけど俺も知りたい
何をあげたらいいのかっていうの やっぱりねその
プレゼントって難しいですよね あの相手の好みとかもこれ同じ国の人だって全然人によって違いますからね
だから プレゼントで何をあげるかなんてあの日本人でも結構わかんないと思います
まあやっぱり恋人にあげるなら アクセサリーとかねあの
女性に贈るものだったらちょっとこう綺麗な可愛い 指輪とかネックレスとかそういうのが多いかもしれませんね
男の人でもアクセサリー好きな人だったらそういう あの指輪とかをあげてもいいしあとはちょっと男物ですね
女の人がつけるのよりも少し大きい力強い感じのアクセサリーとかをあげてもいい と思いますし
あとは男の人だと結構実用的なものが好きな人とかもいるから 例えば財布とかあの時計とか
あとなんだろう最近だと ipad みたいなそういう電子機器とか そういうのをプレゼントする人とかもいると思うんですが
まあ何がいいかなんて本当にもうさっきも言ったように人によって違うから 日本人では普通プレゼントはこれをあげるっていうのはないんじゃないかなと思います
まあよくあげるものって言ったら なんだろうねあの
インターネットで 日本語でね
彼女とか彼氏その後に誕生日プレゼントとかね そういうふうに検索してみると結構ね
いろいろ出てきますどんなものが人気なのかっていうのが あの正直これはね俺もやっぱり何をあげたらいいかっていうのがわかんないので
誰かにプレゼントをあげる時って いつもすごい迷うしいつもこうやってインターネットで調べてます
あのいつも調べてるっていうのはいろんな人にあげるから いつも違う人にあげるからいつも調べてるっていう意味じゃないですよ
あの 毎年俺今でもねあの結婚したけどそれでも
あの自分の奥さんに単純いろんなプレゼントをあげるときに 何をあげたらいいかわかんないからいつもすごい悩んで
いつも調べて で結局もう最近は何が欲しいってはっきりと聞いて
で今一番欲しいものをあげてます だからねその結婚しても
何をあげるか迷うぐらいだから 日本ではプレゼントにこれをあげるっていうそういう
決まりはそんなにないのかな決まりっていうかメジャーなものっていうのはやっぱり ないのかなという気がします
ただやっぱりこう喜ばれるものとしては あの花とかねそういうのはいつの時代も人気があるんじゃないかなとは思います
なんかね男は花をもらって喜ぶ人ってあまりいないようなイメージがあるんですけど 花はねこう
プレゼントのいつも俺がプレゼントあげるときに何をあげるか迷って調べると だいたいねランキングの中には入ってますね
花ってまあ綺麗だしあとは 後に残らないじゃないですか
なんか プレゼント何かものをあげてそれが気に入らないものだったら
邪魔だしでもプレゼントだから捨てるのもちょっとも相手に申し訳ないしで あの結構難しいけど花だったら
綺麗だしまあ綺麗なものが嫌いな人ってそんなにいないだろうし もし気に入らない花自分がそんなに好きじゃない色とかそういうのでも
どうせそのうち枯れるから枯れたらね捨てても全然相手に悪くないから だから
プレゼント選びで失敗しても相手にそんなに負担がないから それで人気っていうのもあるみたいですね
さてこの今日のテーマの恋愛ですが実は日本人にとって しかも日本人の男にとって恋愛について話すっていうのは結構難しいんですよ
なんでかっていうと昔から日本では 恋愛ってそんなにオープンにするものがするものではないっていう
そういう印象があります だから
よくねあの これが日本人のダメなところだみたいなことを言われるんですけど
日本の男の人は愛してるっていう言葉をなかなか言わない 日本男児がそんな言葉を
口にするのは恥だみたいな そんなね文化が昔にはあったんですよ
今も多分ね そんなにのあの強く残ってるっていうわけじゃないけどそういう考えの人はまだ少なくないと思います
もちろんね気持ちは口に出さないとちゃんと相手には伝わらないんですけど 日本ではその
口に出すよりも行動で示すその方がいいみたいなそんな考え方が昔は結構あったん ですよね
あの口に出して言うよりもちゃんとこう気持ちがこもった 行動をとっていればそれで気持ちが伝わるんだと言葉よりもあの行動の方が大事だ
みたいな そういうのがあったので
まあね日本人は日本人はというか日本の男は ちゃんと気持ちを口にしない
相手がどれだけ大切かをちゃんと言わない みたいなのをよくねあの批判されてたりしますね
まあこれは俺も 日本男児として日本の男の人として
そういうのは良くないとは思いつつも でもやっぱり
あのー はっきりとね
口に出すのはちょっと恥ずかしいなっていうような気持ちはあります
しょうがないねそれだってもう日本の文化で育ってるんだからね もちろんそれは良くないことだとは思います
