ep. 125 - 「恋愛(N2)」

(00:00:00) ん
(00:00:03) みなさんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
(00:00:09) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:20) さて今日は 8またリクエストをもらってるんですけど
(00:00:25) 恋愛についてですね 日本ではデートの時にどんなところに行ったりするのかとかそういう話なんですが
(00:00:34) まあちょっと難しいテーマだよね恋愛なんて考え方人それぞれ違うから 俺が日本を代表して恋愛を語るわけにはいかないんですけど
(00:00:45) まあそれでもあの 俺の知ってることとかね俺の考えとかはちょっと話せるかなとは思いますので
(00:00:53) 今日は恋愛について話したいと思います じゃあですねまずはそのデートの時にどんなところに行くのかっていう話ですね
(00:01:03) これはねそんなにあの どこの国でも大きな差はないとは思うんですけど
(00:01:11) まあ友達と遊ぶのとそんな変わんないですよね 何か面白そうなところがあったらそこに行ったり
(00:01:18) 美味しいものがあったらそれを食べに行ったりとか それがまあデートだとは思います
(00:01:25) だからデートなんてどこに行くかじゃなくて誰と行くかですよね なのであの特別デートだからここに行くとか
(00:01:35) そういうところはないと思いますが まあそうだねえっと
(00:01:40) デートじゃないといけないところはあるかもしれませんね その周りがカップルばっかりのところとか
(00:01:49) 例えばねあの 日本にはいろんな神様がいるからもちろん恋愛の神様ってのもいるんですよ
(00:01:56) だからその恋愛関係のね 神様がいる神社とかに行って2人でずっと長く幸せにいられます
(00:02:06) いられますようにっていうふうにお願いしたりとかねそういうことはやっぱりデート じゃないといけないところかなとは思います
(00:02:15) えっとで 質問ではねデートの時にどこに行くかだけじゃなくて街で手をつないだりとか
(00:02:24) キスしたりするのかっていう質問なんですが これはね手はつなぎます手をつないだりとか腕を組んだりとかはします
(00:02:34) ただね日本ではねそんなに街の中でキスはしないかなと思います まあ文化的な違いですかね
(00:02:43) あの日本ではキスなんて普通はそんな外でするもんではないので 口だろうがほっぺただろうがあのあんまり
(00:02:53) 外ではしないような気がします いやもしかしたら若い人は違うかもしれませんけどね俺は どうかな外ではそんなにしないんじゃないかなと思います
(00:03:05) やっぱりねそもそも日本では相手の体に触れるっていう文化がそんなにないんですよ だから挨拶の時も握手なんて昔の日本では全然しなかったし
(00:03:18) もちろんハグとかそういうことも全然しない 俺が子供の時にねその挨拶の時にハグをするっていうのが結構信じられなかった
(00:03:28) っていう感じがしますね あの
(00:03:33) これ国によっては あの年齢とか性別とか関係なく挨拶の時に軽くハグをするところとかたくさんありますよね
(00:03:43) あれがねあのやっぱりその日本の文化しか知らなかった小さい子供の時なんかは なんで挨拶の時にそんな相手に抱きついたりするんだろうっていうふうにちょっと不思議
(00:03:55) でした 今はねいろんな国の文化とか見てますしね
(00:04:00) あの そういうところもあるんだなっていうふうに思うので全然変とかではないんですけど
(00:04:08) やっぱりその日本では 相手とのねその距離がそんなに近くない文化なので
(00:04:15) だからやっぱりあの その人前でね人前で
(00:04:22) 抱きついたりキスしたりするっていうのを 今はいいかもしれないけど昔は良くないことだっていうふうに考えている人が多分
(00:04:31) たくさんいたと思います そんなことを人前でするなんて恥ずかしい
(00:04:36) はしたないなんてね そういうふうに思う人が多分たくさんいたと思うので
(00:04:41) だから今でもやっぱりそんなにねたくさん街中で他の人がたくさんいるところであの くっついたりするっていうのは
(00:04:50) そんなにこう日本ではお勧めできないかなと思います いやもちろんこれ俺の考え方ですけどね
(00:04:58) 若い人は違うかもしれませんよ今の10代20代の子とかね えっとあとですねあのリクエストの中でもう一つ質問があって
(00:05:09) プレゼント どんなものをプレゼントするのかっていう
(00:05:14) そんな 質問があったんですが
(00:05:18) これねあの ちょっと申し訳ないんですけど俺も知りたい
(00:05:25) 何をあげたらいいのかっていうの やっぱりねその
(00:05:30) プレゼントって難しいですよね あの相手の好みとかもこれ同じ国の人だって全然人によって違いますからね
(00:05:41) だから プレゼントで何をあげるかなんてあの日本人でも結構わかんないと思います
(00:05:49) まあやっぱり恋人にあげるなら アクセサリーとかねあの
(00:05:55) 女性に贈るものだったらちょっとこう綺麗な可愛い 指輪とかネックレスとかそういうのが多いかもしれませんね
(00:06:05) 男の人でもアクセサリー好きな人だったらそういう あの指輪とかをあげてもいいしあとはちょっと男物ですね
(00:06:13) 女の人がつけるのよりも少し大きい力強い感じのアクセサリーとかをあげてもいい と思いますし
(00:06:21) あとは男の人だと結構実用的なものが好きな人とかもいるから 例えば財布とかあの時計とか
(00:06:32) あとなんだろう最近だと ipad みたいなそういう電子機器とか そういうのをプレゼントする人とかもいると思うんですが
(00:06:42) まあ何がいいかなんて本当にもうさっきも言ったように人によって違うから 日本人では普通プレゼントはこれをあげるっていうのはないんじゃないかなと思います
(00:06:54) まあよくあげるものって言ったら なんだろうねあの
(00:07:00) インターネットで 日本語でね
(00:07:05) 彼女とか彼氏その後に誕生日プレゼントとかね そういうふうに検索してみると結構ね
(00:07:13) いろいろ出てきますどんなものが人気なのかっていうのが あの正直これはね俺もやっぱり何をあげたらいいかっていうのがわかんないので
(00:07:23) 誰かにプレゼントをあげる時って いつもすごい迷うしいつもこうやってインターネットで調べてます
(00:07:30) あのいつも調べてるっていうのはいろんな人にあげるから いつも違う人にあげるからいつも調べてるっていう意味じゃないですよ
(00:07:39) あの 毎年俺今でもねあの結婚したけどそれでも
(00:07:46) あの自分の奥さんに単純いろんなプレゼントをあげるときに 何をあげたらいいかわかんないからいつもすごい悩んで
(00:07:55) いつも調べて で結局もう最近は何が欲しいってはっきりと聞いて
(00:08:02) で今一番欲しいものをあげてます だからねその結婚しても
(00:08:09) 何をあげるか迷うぐらいだから 日本ではプレゼントにこれをあげるっていうそういう
(00:08:16) 決まりはそんなにないのかな決まりっていうかメジャーなものっていうのはやっぱり ないのかなという気がします
(00:08:23) ただやっぱりこう喜ばれるものとしては あの花とかねそういうのはいつの時代も人気があるんじゃないかなとは思います
(00:08:33) なんかね男は花をもらって喜ぶ人ってあまりいないようなイメージがあるんですけど 花はねこう
(00:08:42) プレゼントのいつも俺がプレゼントあげるときに何をあげるか迷って調べると だいたいねランキングの中には入ってますね
(00:08:52) 花ってまあ綺麗だしあとは 後に残らないじゃないですか
(00:08:59) なんか プレゼント何かものをあげてそれが気に入らないものだったら
(00:09:05) 邪魔だしでもプレゼントだから捨てるのもちょっとも相手に申し訳ないしで あの結構難しいけど花だったら
(00:09:14) 綺麗だしまあ綺麗なものが嫌いな人ってそんなにいないだろうし もし気に入らない花自分がそんなに好きじゃない色とかそういうのでも
(00:09:24) どうせそのうち枯れるから枯れたらね捨てても全然相手に悪くないから だから
(00:09:31) プレゼント選びで失敗しても相手にそんなに負担がないから それで人気っていうのもあるみたいですね
(00:09:40) さてこの今日のテーマの恋愛ですが実は日本人にとって しかも日本人の男にとって恋愛について話すっていうのは結構難しいんですよ
(00:09:52) なんでかっていうと昔から日本では 恋愛ってそんなにオープンにするものがするものではないっていう
(00:10:01) そういう印象があります だから
(00:10:05) よくねあの これが日本人のダメなところだみたいなことを言われるんですけど
(00:10:13) 日本の男の人は愛してるっていう言葉をなかなか言わない 日本男児がそんな言葉を
(00:10:24) 口にするのは恥だみたいな そんなね文化が昔にはあったんですよ
(00:10:30) 今も多分ね そんなにのあの強く残ってるっていうわけじゃないけどそういう考えの人はまだ少なくないと思います
(00:10:42) もちろんね気持ちは口に出さないとちゃんと相手には伝わらないんですけど 日本ではその
(00:10:49) 口に出すよりも行動で示すその方がいいみたいなそんな考え方が昔は結構あったん ですよね
(00:10:57) あの口に出して言うよりもちゃんとこう気持ちがこもった 行動をとっていればそれで気持ちが伝わるんだと言葉よりもあの行動の方が大事だ
(00:11:08) みたいな そういうのがあったので
(00:11:12) まあね日本人は日本人はというか日本の男は ちゃんと気持ちを口にしない
(00:11:19) 相手がどれだけ大切かをちゃんと言わない みたいなのをよくねあの批判されてたりしますね
(00:11:28) まあこれは俺も 日本男児として日本の男の人として
(00:11:34) そういうのは良くないとは思いつつも でもやっぱり
(00:11:39) あのー はっきりとね
(00:11:42) 口に出すのはちょっと恥ずかしいなっていうような気持ちはあります
(00:11:49) しょうがないねそれだってもう日本の文化で育ってるんだからね もちろんそれは良くないことだとは思います
(00:11:56) あの日本の文化とはいえ相手をね大切に思うんだったらそれはちゃんと伝えたほうが いいとは思うのでできるだけ言うようにはしてますが
(00:12:06) やっぱりそこはちょっとねあのなかなか昔からある文化なので 変えられないというかね
(00:12:13) 難しいなって思うところではあります
(00:12:17) はいってことでねあの今日はまあ日本の恋愛についてでしたね 日本のって言うとちょっと良くないですね
(00:12:25) 俺の恋愛に対する考え方って言った方が正確ですね まあ何度も言うように
(00:12:33) 人によって違いますからね考え方なんて ただまぁこれがね俺がずーっと日本で生まれて日本で育ってきて
(00:12:43) そして経験して経験してきたことですね なのでもし日本人の彼氏が欲しいと思っている人がいたら
(00:12:52) 俺の話ちょっとは参考になるかもしれません さてそれじゃあ今日はこの辺で終わりにしたいと思いますが皆さんも何か他にもね聞いて
(00:13:01) みたいテーマとかがあったらぜひメッセージを送ってください それじゃあさようなら
