ep. 126 - 恋愛2＜付き合い方＞(N3)

ん
皆さんこんにちはともですこれは日本語を勉強している人のための podcast です
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のお供がちょうどいい日本語で話をします
さて今日はですね 前回の続きじゃないんだけどちょっとねみんなのみんなというかいろんな国の人に聞いて
みたいことがあって 質問のエピソードです
それが何かっていうと 告白の仕方についてです
前回のエピソード聞いてくれたでしょうか 恋愛についてでしたね
それでちょっとあのエピソードを作った後に思い出したことがあって それが何かというと
これ以前あの授業で他の国の人とね 俺の学校の学生と話をしているときに聞いた話なんですけど
日本では恋人になるとき誰かと付き合うときに はっきりとあの
あなたが好きです私と付き合ってください まあ恋人になってくださいっていうことを言うんですけど
それを言わない国も結構あるっていうそんな話をしたんですよ 言わないってどういうことかっていうとその
何回も2人で会ってデートをしたりして でそうしているうちにはっきりと私とあなたは今日から恋人ですっていう
そういうことを言わなくてもまあ自然と いつのまにか恋人になっているっていうそういう文化の国も結構ある
で日本ではそうじゃないもうはっきりと言葉にして言わないと恋人はならない 何回デートしてもあの
今日から私とあなた付き合いましょうっていうのはっきり言わないと恋人とは言わない っていうような
そういう感じの文化なんですね日本は 台湾とかも同じですかねあの俺が前に台湾に住んでる時に日本語のクラスで
あの中学生ぐらいの男の子がね学校の旅行に行って あの泊まった時にちょっと好きな女の子を呼び出して
で自分の気持ちを伝えたいみたいなこと言ってて でそれで彼女ができたって言って喜んでたから日本と同じなんですかね
で あのまあこういうふうに日本みたいにはっきりとあなたが好きです付き合ってくださいっていう
ふうに行くにもあればそうじゃない国もあると思うんですけど 皆さんの国ではどうでしょう
そのはっきりと 付き合ってくださいということを言ってそれでこの日から
付き合いましたこの日から恋人になりましたっていうのがわかるのかそれとも そういうのはなくて
何回もねそのデートをしたりとか一緒にいる時間が長くなって いつの間にか恋人になってるっていうのか
どっちでしょう これあの面白いなと思ったのは日本だとはっきりと今日から恋人だっていうのが
わかるんですけど そういうのを言わない国だと
一人が自分だけが 俺たちは付き合ってるって思っててもう一人は一緒にいる時間は長いけど別に恋人
だとは思ってないみたいなそういうすれ違いとかもなんかあるっていう話を聞いたんですよ なのでその日本みたいにはっきり言わない国の人たちって
やっぱり他の国でもそういうすれ違い 自分では付き合ってる恋人だと思ってたけど実はそうは思われてなくて
ただの仲のいい友達程度っていうふうに思われてるみたいな そういうことってあるのかなっていうのがちょっとね皆さんに聞いてみたいことです
ってことで今日のエピソードは皆さんへの質問です 皆さんの国でははっきりと
付き合ってくださいっていうことを言ってそして今日から恋人だっていうのがわかりますか それともそういうことは言わないで
いつの間にか自然に恋人になっていますか そして自然に恋人になるタイプの国の人たちはすれ違い
一人は恋人だと思っているもう一人は友達だと思っているみたいなそういうすれ違い っていうのがありますか
ぜひ皆さんの国の文化を教えてください はいじゃあ今日はねちょっと短いけどあの質問は以上です
皆さんからのメッセージを待っていますよろしくお願いします それじゃあさようなら
