ep. 126 - 恋愛2＜付き合い方＞(N3)

(00:00:00) ん
(00:00:04) 皆さんこんにちはともですこれは日本語を勉強している人のための podcast です
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のお供がちょうどいい日本語で話をします
(00:00:19) さて今日はですね 前回の続きじゃないんだけどちょっとねみんなのみんなというかいろんな国の人に聞いて
(00:00:28) みたいことがあって 質問のエピソードです
(00:00:33) それが何かっていうと 告白の仕方についてです
(00:00:40) 前回のエピソード聞いてくれたでしょうか 恋愛についてでしたね
(00:00:45) それでちょっとあのエピソードを作った後に思い出したことがあって それが何かというと
(00:00:53) これ以前あの授業で他の国の人とね 俺の学校の学生と話をしているときに聞いた話なんですけど
(00:01:02) 日本では恋人になるとき誰かと付き合うときに はっきりとあの
(00:01:11) あなたが好きです私と付き合ってください まあ恋人になってくださいっていうことを言うんですけど
(00:01:18) それを言わない国も結構あるっていうそんな話をしたんですよ 言わないってどういうことかっていうとその
(00:01:28) 何回も2人で会ってデートをしたりして でそうしているうちにはっきりと私とあなたは今日から恋人ですっていう
(00:01:39) そういうことを言わなくてもまあ自然と いつのまにか恋人になっているっていうそういう文化の国も結構ある
(00:01:50) で日本ではそうじゃないもうはっきりと言葉にして言わないと恋人はならない 何回デートしてもあの
(00:01:58) 今日から私とあなた付き合いましょうっていうのはっきり言わないと恋人とは言わない っていうような
(00:02:04) そういう感じの文化なんですね日本は 台湾とかも同じですかねあの俺が前に台湾に住んでる時に日本語のクラスで
(00:02:15) あの中学生ぐらいの男の子がね学校の旅行に行って あの泊まった時にちょっと好きな女の子を呼び出して
(00:02:24) で自分の気持ちを伝えたいみたいなこと言ってて でそれで彼女ができたって言って喜んでたから日本と同じなんですかね
(00:02:33) で あのまあこういうふうに日本みたいにはっきりとあなたが好きです付き合ってくださいっていう
(00:02:40) ふうに行くにもあればそうじゃない国もあると思うんですけど 皆さんの国ではどうでしょう
(00:02:48) そのはっきりと 付き合ってくださいということを言ってそれでこの日から
(00:02:55) 付き合いましたこの日から恋人になりましたっていうのがわかるのかそれとも そういうのはなくて
(00:03:02) 何回もねそのデートをしたりとか一緒にいる時間が長くなって いつの間にか恋人になってるっていうのか
(00:03:11) どっちでしょう これあの面白いなと思ったのは日本だとはっきりと今日から恋人だっていうのが
(00:03:19) わかるんですけど そういうのを言わない国だと
(00:03:24) 一人が自分だけが 俺たちは付き合ってるって思っててもう一人は一緒にいる時間は長いけど別に恋人
(00:03:33) だとは思ってないみたいなそういうすれ違いとかもなんかあるっていう話を聞いたんですよ なのでその日本みたいにはっきり言わない国の人たちって
(00:03:44) やっぱり他の国でもそういうすれ違い 自分では付き合ってる恋人だと思ってたけど実はそうは思われてなくて
(00:03:53) ただの仲のいい友達程度っていうふうに思われてるみたいな そういうことってあるのかなっていうのがちょっとね皆さんに聞いてみたいことです
(00:04:06) ってことで今日のエピソードは皆さんへの質問です 皆さんの国でははっきりと
(00:04:13) 付き合ってくださいっていうことを言ってそして今日から恋人だっていうのがわかりますか それともそういうことは言わないで
(00:04:23) いつの間にか自然に恋人になっていますか そして自然に恋人になるタイプの国の人たちはすれ違い
(00:04:33) 一人は恋人だと思っているもう一人は友達だと思っているみたいなそういうすれ違い っていうのがありますか
(00:04:42) ぜひ皆さんの国の文化を教えてください はいじゃあ今日はねちょっと短いけどあの質問は以上です
(00:04:51) 皆さんからのメッセージを待っていますよろしくお願いします それじゃあさようなら
