ep. 127 - 年末(N4)

みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
さて12月ももう半分以上終わりました。 今年もあと少しです。
1年って早いですね。あっという間に終わりますね。 さてこの時期もうすぐ年末ですね。年末っていうのは1年の終わりですけど
年末には皆さんは何をしますか? 皆さんの国で年末にみんながすることありますか?
日本では大掃除をします。 家の中を全部きれいにして、そして気持ちよく新しい1年を迎える。
それが大掃除です。 日本は結構場所によって
あの文化というか習慣が違うんですけど、この大掃除は日本のどこに行ってもみんなします。
なのでこの時期、12月のまあ終わりの方ですね。 このぐらいの時期にスーパーとかあとはホームセンターとか
いろいろなお店に行くとだいたい 掃除するための道具っていうのが結構ねいろいろ売られています。
もちろん掃除は1年中しますから 1年中掃除の道具売ってるんですけど
でもこの時期はちょっとね大掃除のために
あのいつもよりも掃除の道具がねたくさん売られてたりとか あとは掃除道具のコーナーが作られているところも結構多いです。
他にもこの時期にすることといえばお正月の準備ですね。 お正月に食べる料理、おせちを作ったりとか
あとはお正月の時に家に飾るものを買ったりとかしますね。 おせちっていうのはお正月に食べるいろいろな料理が入っている
お弁当みたいなものなんですけど お正月に食べるものといえばおせちだけじゃなくて餅
お餅もあります。 この時期に日本のお店、スーパーでもコンビニでもどこでもいいんですけど
日本のお店に行くと 絶対にお餅が売られています
お餅っていうのは 米で作る食べ物なんですけど見た目は
なんか ケーキって英語で言ったりしますけど
なんだろう 石鹸みたいですね白くて硬い
そしてこれは焼いたり あとはスープの中に入れたりして食べるんですが食べると柔らかくなって餅みたいになります
ちょっとわかりにくいかもしれませんが 日本ではお正月になると必ずこの餅を食べます
ちなみに餅っていうのはガムみたいに柔らかいので お年寄りが食べると時々
上手に飲むことができなくて 死んでしまう人がいます。怖いですね
とても危ない食べ物です さて他にもこの時期にすることがあります
それは年賀状を作るということです 年賀状っていうのは新しい1年の挨拶の葉書です
昔はこの年賀状っていうのは 友達とか親戚とか会社の人とかいろんな人に送っていたので
大人になるとね あの大人になってそして会社に入って何年も働いているといろいろ知り合いができるので
多い人は 何十枚とか100枚とか200枚ぐらい書く人もいるのかな
たくさん年賀状を作ってそして送ります ただ最近はこの年賀状を送る人がちょっと少なくなってきました
実は俺も年賀状はあまり送りません なんか
ねえめんどくさいし めんどくさいとか言っちゃいけないんでしょうけどね
日本の文化の一つですからね 一応
自分の学校の 一番偉い人には年賀状を送りますがその一枚だけです
同僚の先生には 年賀状はお互いめんどくさいからやめませんかっていう話をしてやめちゃいました
まあとりあえずこの年賀状をね書くっていう習慣がまだある人もたくさんいるので この時期になると年賀状を作る人もたくさんいます
これが日本の12月年末にすることですね 皆さんの国と同じこと違うこといろいろあると思いますが皆さんの国ではこのぐらいの
時期にどんなことをするのかぜひ教えてください 今年もあと少しです
日本には終わり良ければ全て良しという言葉があります 1年の途中で何か嫌なことがあっても最後が良ければその1年はいい1年だったって
いうことです なので皆さん今年1年がいい1年だったと後で思い出していうことができる
ように 残りのあと何日だ2週間ぐらいですかね
この2週間もいろいろ頑張りましょう それじゃあ今日はこの辺でさようなら
