ep. 127 - 年末(N4)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:21) さて12月ももう半分以上終わりました。 今年もあと少しです。
(00:00:29) 1年って早いですね。あっという間に終わりますね。 さてこの時期もうすぐ年末ですね。年末っていうのは1年の終わりですけど
(00:00:42) 年末には皆さんは何をしますか? 皆さんの国で年末にみんながすることありますか?
(00:00:51) 日本では大掃除をします。 家の中を全部きれいにして、そして気持ちよく新しい1年を迎える。
(00:01:02) それが大掃除です。 日本は結構場所によって
(00:01:09) あの文化というか習慣が違うんですけど、この大掃除は日本のどこに行ってもみんなします。
(00:01:19) なのでこの時期、12月のまあ終わりの方ですね。 このぐらいの時期にスーパーとかあとはホームセンターとか
(00:01:30) いろいろなお店に行くとだいたい 掃除するための道具っていうのが結構ねいろいろ売られています。
(00:01:40) もちろん掃除は1年中しますから 1年中掃除の道具売ってるんですけど
(00:01:46) でもこの時期はちょっとね大掃除のために
(00:01:51) あのいつもよりも掃除の道具がねたくさん売られてたりとか あとは掃除道具のコーナーが作られているところも結構多いです。
(00:02:02) 他にもこの時期にすることといえばお正月の準備ですね。 お正月に食べる料理、おせちを作ったりとか
(00:02:12) あとはお正月の時に家に飾るものを買ったりとかしますね。 おせちっていうのはお正月に食べるいろいろな料理が入っている
(00:02:24) お弁当みたいなものなんですけど お正月に食べるものといえばおせちだけじゃなくて餅
(00:02:33) お餅もあります。 この時期に日本のお店、スーパーでもコンビニでもどこでもいいんですけど
(00:02:41) 日本のお店に行くと 絶対にお餅が売られています
(00:02:47) お餅っていうのは 米で作る食べ物なんですけど見た目は
(00:02:53) なんか ケーキって英語で言ったりしますけど
(00:02:58) なんだろう 石鹸みたいですね白くて硬い
(00:03:04) そしてこれは焼いたり あとはスープの中に入れたりして食べるんですが食べると柔らかくなって餅みたいになります
(00:03:16) ちょっとわかりにくいかもしれませんが 日本ではお正月になると必ずこの餅を食べます
(00:03:25) ちなみに餅っていうのはガムみたいに柔らかいので お年寄りが食べると時々
(00:03:33) 上手に飲むことができなくて 死んでしまう人がいます。怖いですね
(00:03:39) とても危ない食べ物です さて他にもこの時期にすることがあります
(00:03:45) それは年賀状を作るということです 年賀状っていうのは新しい1年の挨拶の葉書です
(00:03:56) 昔はこの年賀状っていうのは 友達とか親戚とか会社の人とかいろんな人に送っていたので
(00:04:08) 大人になるとね あの大人になってそして会社に入って何年も働いているといろいろ知り合いができるので
(00:04:16) 多い人は 何十枚とか100枚とか200枚ぐらい書く人もいるのかな
(00:04:24) たくさん年賀状を作ってそして送ります ただ最近はこの年賀状を送る人がちょっと少なくなってきました
(00:04:35) 実は俺も年賀状はあまり送りません なんか
(00:04:40) ねえめんどくさいし めんどくさいとか言っちゃいけないんでしょうけどね
(00:04:46) 日本の文化の一つですからね 一応
(00:04:50) 自分の学校の 一番偉い人には年賀状を送りますがその一枚だけです
(00:04:58) 同僚の先生には 年賀状はお互いめんどくさいからやめませんかっていう話をしてやめちゃいました
(00:05:07) まあとりあえずこの年賀状をね書くっていう習慣がまだある人もたくさんいるので この時期になると年賀状を作る人もたくさんいます
(00:05:18) これが日本の12月年末にすることですね 皆さんの国と同じこと違うこといろいろあると思いますが皆さんの国ではこのぐらいの
(00:05:30) 時期にどんなことをするのかぜひ教えてください 今年もあと少しです
(00:05:37) 日本には終わり良ければ全て良しという言葉があります 1年の途中で何か嫌なことがあっても最後が良ければその1年はいい1年だったって
(00:05:49) いうことです なので皆さん今年1年がいい1年だったと後で思い出していうことができる
(00:05:58) ように 残りのあと何日だ2週間ぐらいですかね
(00:06:03) この2週間もいろいろ頑張りましょう それじゃあ今日はこの辺でさようなら
