ep. 128 - 今年の抱負(N3)

(00:00:00) 新年明けましておめでとうございます 今年もどうぞよろしくお願いします
(00:00:29) さて皆さんこんにちは ご無沙汰しておりますトモです
(00:00:35) 先月は風邪を引いてしまって久しぶりのエピソードになってしまいました 年末のご挨拶とかもね全然できなくて本当すみませんでした
(00:00:45) たくさんの人からお大事にっていうコメントをもらってすごく嬉しかったです 皆さんありがとうございます
(00:00:52) 皆さんは体調に気をつけてくださいね さて俺が風邪でダウンしている間に
(00:01:00) 新しい1年が始まってしまいましたね もう2021年です
(00:01:06) 去年は大変な1年でしたね コロナウイルスの影響ですごく辛い1年だった人もたくさんいると思うんですが
(00:01:16) 今年こそ素晴らしい1年になるといいですね さて新しい1年が始まりました
(00:01:24) 去年もこの話をしましたが日本では1年の初めにその年の抱負というものを考えます 抱負っていうのはまあその1年の目標ですね
(00:01:38) その1年で頑張りたいこと 皆さんは今年の抱負どんなものがありますか
(00:01:46) 俺の今年の抱負は まずは
(00:01:50) ダイエットかなぁ 最近ですねちょっと忙しくて運動が全然できなくて
(00:01:59) すごく太りました
(00:02:02) 悲しいですね なので今年の一番の目標というかね頑張りたい抱負っていうのは
(00:02:11) ダイエットかなぁ あのダイエットまあ単純に痩せるだけじゃなくて
(00:02:18) 運動をしなくなってからすごくこう体の筋肉も落ちちゃって ちょっとね前と比べて
(00:02:27) 柔らかそうな丸い体になっちゃいました なのであのダイエットして余分な脂肪
(00:02:36) いらない脂肪をなくすのはもちろんそうなんですが 筋トレも頑張って
(00:02:43) 今のこの柔らかい丸い体とさよならしたいと思います あとはそうですね他に頑張り頑張りたいことといえば
(00:02:55) 勉強かな 最近やっぱりその忙しくてあんまり勉強する時間がなくて
(00:03:02) 買ったけど読まないで置いてある本とかも結構たくさんあるんですよ だからそういうのをちょっとね読まないで置いといた本とかをしっかり読んでいろんな
(00:03:12) ことを勉強したいなと思います あともちろんですねこのポッドキャストもこれからも頑張って続けていきたいと思っています
(00:03:21) 最近ちょっとね考えていることがあって ポッドキャストだけじゃなくって何か
(00:03:29) youtube とかねそういうのも使って 何かこう皆さんの勉強のお手伝いができたらいいなぁとかも思っています
(00:03:38) まあ新しいことを始めるのってねちょっと 大変なのでどこまでできるかわかりませんが
(00:03:46) でも新しいことを始めるのって大変だけど面白くもありますよね 何か新しいことを始めるのってワクワクしませんか
(00:03:56) なので今年は頑張ってこのポッドキャスト続けるだけじゃなくって 何か新しいことにもチャレンジしたいと思います
(00:04:05) まあまだまだいろいろと未熟なところがあるのでどれだけね いいものが作れるかはちょっとわかりませんけど
(00:04:15) 暖かい目で見守ってください 皆さんはもう今年の抱負決めましたか
(00:04:22) 何もね目標がない1年よりも何か できるかどうかわかんなくてもいいから失敗してもいいから頑張ろうっていうことを一つでも決めて
(00:04:33) おいた方が 何も考えないで過ごすよりもきっと充実した時間になると思うので皆さんもぜひ
(00:04:42) 今年の抱負考えてみてください 特にこのポッドキャストを聞いている人は日本語の勉強に関係がある抱負とかいいんじゃないですかね
(00:04:53) まあ日本語だけじゃなくても何でもいいので今年も1年頑張りましょう それじゃあ今年の第1回目のエピソードはこれで終わりにします
(00:05:03) さようなら
