ep. 129 - 好きな音楽 (N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日は 音楽の話をしたいなと思います
まああまり理由はないんだけど 今まで俺の好きな
音楽っていうかバンドとかねそういう話をしたことなかったなぁと思って で
まあどんなのが好きなのかっていうのねちょっと自己紹介じゃないけど まあ今更ですけどね自己紹介なんて
もうこのポッドキャスト1年以上やってんのにね まあとりあえずそんな話をしたいなと思います
えっと俺の好きなものっていうと今まではあの 運動とか漫画とかそんな話ばっかりだったんですけど音楽も好きです
まあ音楽が嫌いな人なんてそんなにいないと思うんですけど 俺の好きな音楽はどんなものかっていうと
ロックですね ロックが大好きです
まあ別にロックじゃなくても何でも聞くんですけどね いい音楽だったらどんなものでもどんなジャンルでも聞くんですけどまあ一番よく聞くの
とかあとはよくカラオケに行って歌ったりするのはやっぱりロックが多いなと思います 一番好きなバンドは
あの日本のバンドじゃないんですけどね 日本語のポッドキャストですが俺が一番好きなバンドはリンキンパーク
アメリカのバンドですね まあ残念ながらボーカルのチェスターはなくなってしまいましたが今でもやっぱり一番好きな
バンドです 日本のバンドだとロックだとワンオックロックとか好きですね
最近はリンキンパークだけじゃなくってアメリカのバンドだと スリーピングウィズサイレンズとか好きですね
まあとにかくあの結構激しい感じの音楽が好きですね あと日本のバンドだったらさっき言ったワンオックロックの他にもコールドレインとかね
結構好きです まあ一般的にはねあんまりメジャーじゃないかもしれませんけど一般的にはっていうかその
激しい音楽が好きじゃない人 あんまりこうシャウトとかね叫んだりするような音楽って好きじゃない人多いと思うん
ですけど だからそのコールドレインとかもその一般的にはそんなに知られてないかもしれませんが
でもまあすごくかっこいいなぁと思います あとね他にまあバンドじゃなくてねあの
さっきも言ったけどロック以外でももちろん音楽は聞くので 他にもちょっとロックじゃなくて大人大人しいじゃないな
静かな感じの曲だったら 日本人であの俺はねすごい福山正春が好きです
福山正春っていうのは日本人の男の人で一人で歌っている人なんですけど この人はね
歌ももちろん上手なんですけど 歌詞がね
すごい上手だなと思います もちろん日本人なので日本語の歌詞を書くんですけど
この人の歌詞って何がすごいのかっていうと カタカナの言葉がほとんどないんですよ
日本語がねすごく 綺麗っていうか上手だなぁと思います
日本人なんだからもちろん日本語は上手なんですけど ただやっぱり歌の歌詞とかを作るときに
日本人なら誰でも上手に日本語が使えるか 日本人なら誰でも歌詞が書けるかっていうと全然そんなことはないんですよ
んで もしね日本の歌を聞いて日本語を勉強しているっていう人がいたら
いろんな人のその日本人が作った歌詞を見て 福山正春と比べてみてほしいんですけど
例えば特にアイドルの歌とかそういうのだと 歌詞の中に結構ねたくさんカタカナの言葉とか
あとは英語とかを使ってると思うんですけど こういうのってね俺はあんまり好きじゃないんですよ
なんかね安易にその英語とかの言葉を入れるんじゃなくて やっぱり日本語は日本語だけで
日本語にしかできない表現で 歌詞を作るとすごい上手だなとかすごい綺麗だなっていうふうに思うんですよ
で福山の歌詞ってやっぱりそういうのがすごい あの上手にできてるなっていうふうに思うので
まあこの人はだから歌が上手だしそういう歌詞も綺麗だし上手だなということで 昔からね好きな人の一人です
あとそうだねせっかくなのでまあこれは日本語のポッドキャストなのでもう少しだけ 日本人の俺が好きな人紹介しておきます
えっとね一人で歌う人だったら最近だと米津玄師とかは有名ですね あのここに3年ですごい人気が出た人なんですけど俺も結構好きです
この人はね歌詞難しいね日本人でも何言ってるかよくわからないところが結構あります まあ歌も上手だしでもこの人はやっぱり
なんだろう独特な 曲の雰囲気っていうの言うのかなそういうのがあるから
ちょっとこう他の人たちと 違う感じがしてね
この人だけの 音楽だなっていう感じがしてすごくねあのいいと思います
やっぱりねこうジャンルが同じだとすごく似てる アーティストっていうのもいると思うんですよ
声も似てるとか曲の雰囲気も似てるとか だから大した特徴もなくて埋もれていってしまう
歌詞の人とかも結構いると思うんですけどこの人は 他の人と比べてちょっと違う感じがしますね
なんて言えばいいのかねちょっと俺もよくわかんないんですけど なんかやっぱり独特の雰囲気があるんですよ
あとはそうだなあの新しいバンドじゃないんですけど俺が昔から好きなバンドもう一 つこれはねロックだけどまぁそんなに
リンキンパークみたいに激しいバンドじゃないんですがバンプオブチキンとか 日本では結構有名だと思います
まあちょっとね俺の年齢がバレちゃいそうな感じもしますが バンプオブチキンは昔から好きですね
多分バンプオブチキンで一番有名な曲ってすごい古いんですけど あの天体観測っていう曲があるから
これはねあの俺の世代だけじゃなくて結構 上の人も下の人も知ってるんじゃないかなと思うので
日本の歌何か聞いてみたいっていう人いたらねぜひ聞いてみてください はいってことで今日は俺の好きな音楽についてのお話でした
まあ音楽って音楽が嫌いな人はそんなにいないと思うんですけど 音楽の好みとなると結構幅広いんじゃないかなと思います
俺はその激しいロックが好きだしそうじゃなくてクラシックとかの方がね よくってロックなんか好きじゃない嫌いだっていう人もいるとは思います
まあ好みは人それぞれで 他の人の好みを否定することもないので
俺と好みが合わない人もたくさんいるとは思いますが もしね俺みたいにあの激しい音楽ロックバンドが好きな人がいたら
さっき言ったコールドレインとかワンオクロックとかそういうのを聞いてみてください 他にも何か皆さんのおすすめの音楽とかがあったらぜひ教えてください
皆さんからのメッセージ待ってます それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
