ep. 129 - 好きな音楽 (N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:22) さて今日は 音楽の話をしたいなと思います
(00:00:27) まああまり理由はないんだけど 今まで俺の好きな
(00:00:32) 音楽っていうかバンドとかねそういう話をしたことなかったなぁと思って で
(00:00:38) まあどんなのが好きなのかっていうのねちょっと自己紹介じゃないけど まあ今更ですけどね自己紹介なんて
(00:00:45) もうこのポッドキャスト1年以上やってんのにね まあとりあえずそんな話をしたいなと思います
(00:00:53) えっと俺の好きなものっていうと今まではあの 運動とか漫画とかそんな話ばっかりだったんですけど音楽も好きです
(00:01:03) まあ音楽が嫌いな人なんてそんなにいないと思うんですけど 俺の好きな音楽はどんなものかっていうと
(00:01:10) ロックですね ロックが大好きです
(00:01:14) まあ別にロックじゃなくても何でも聞くんですけどね いい音楽だったらどんなものでもどんなジャンルでも聞くんですけどまあ一番よく聞くの
(00:01:24) とかあとはよくカラオケに行って歌ったりするのはやっぱりロックが多いなと思います 一番好きなバンドは
(00:01:32) あの日本のバンドじゃないんですけどね 日本語のポッドキャストですが俺が一番好きなバンドはリンキンパーク
(00:01:40) アメリカのバンドですね まあ残念ながらボーカルのチェスターはなくなってしまいましたが今でもやっぱり一番好きな
(00:01:48) バンドです 日本のバンドだとロックだとワンオックロックとか好きですね
(00:01:55) 最近はリンキンパークだけじゃなくってアメリカのバンドだと スリーピングウィズサイレンズとか好きですね
(00:02:04) まあとにかくあの結構激しい感じの音楽が好きですね あと日本のバンドだったらさっき言ったワンオックロックの他にもコールドレインとかね
(00:02:14) 結構好きです まあ一般的にはねあんまりメジャーじゃないかもしれませんけど一般的にはっていうかその
(00:02:22) 激しい音楽が好きじゃない人 あんまりこうシャウトとかね叫んだりするような音楽って好きじゃない人多いと思うん
(00:02:31) ですけど だからそのコールドレインとかもその一般的にはそんなに知られてないかもしれませんが
(00:02:38) でもまあすごくかっこいいなぁと思います あとね他にまあバンドじゃなくてねあの
(00:02:46) さっきも言ったけどロック以外でももちろん音楽は聞くので 他にもちょっとロックじゃなくて大人大人しいじゃないな
(00:02:54) 静かな感じの曲だったら 日本人であの俺はねすごい福山正春が好きです
(00:03:02) 福山正春っていうのは日本人の男の人で一人で歌っている人なんですけど この人はね
(00:03:10) 歌ももちろん上手なんですけど 歌詞がね
(00:03:15) すごい上手だなと思います もちろん日本人なので日本語の歌詞を書くんですけど
(00:03:22) この人の歌詞って何がすごいのかっていうと カタカナの言葉がほとんどないんですよ
(00:03:31) 日本語がねすごく 綺麗っていうか上手だなぁと思います
(00:03:37) 日本人なんだからもちろん日本語は上手なんですけど ただやっぱり歌の歌詞とかを作るときに
(00:03:45) 日本人なら誰でも上手に日本語が使えるか 日本人なら誰でも歌詞が書けるかっていうと全然そんなことはないんですよ
(00:03:54) んで もしね日本の歌を聞いて日本語を勉強しているっていう人がいたら
(00:04:01) いろんな人のその日本人が作った歌詞を見て 福山正春と比べてみてほしいんですけど
