ep. 134 - アクセント(N3)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
最近なんかどうしてかわかんないけど俺のインスタグラム あのフォローしてくれる人がたくさんいますねありがとうございます
最近あの全然インスタ俺は あの写真とかをあげてないんですけどたまにね連絡とかあったら使いますしあの
結構みんなメッセージを送るときにインスタ使う人が多いみたいなので何かメッセージとか ある人はねぜひ
まあメールでもインスタでもツイッターでも何でもいいんですけどね sns を上手に使ってメッセージください
さてそれじゃあ今日はですねリクエストをもらったのでそれについて話したいと思います 今日のテーマは日本語のアクセントについてです
アクセントっていうのは えっとですね音の高さですね
日本語の勉強している人は多分聞いたことがあると思うんですが 日本語の言葉は同じ言葉でも音の高さ
読み方が変わると意味が変わるものがあります 有名なものっていうかみんながよく知っているものだと多分
雨と雨とかですね 雨っていうのは天気のあの空から降ってくる水ですが
雨っていうのは甘いお菓子ですね だから私は雨が好きですっていうのと私は雨が好きです
というのでは意味が変わります これが日本語のアクセントですね
雨と雨で意味が変わる この日本語のアクセントっていうのはさっきから何回も音の高さって言ってますが
あと目の音が高いか低いかっていうことです 歌と同じなんですが
まずはその天気の方だと雨 あの音が高くて目の音が低いです
雨 雨
これが天気ですねそしてお菓子の方はあが低くて目が高い 雨
雨です これはね多分中国語とかを話す人にはもしかしたら
わかりやすいのかな中国語とかベトナム語とかもそうなのかな 他の国の言葉でも同じように音の高さが変わると意味が変わるっていうのが
結構あるみたいなんですけど日本では一つ一つの言葉にちゃんと音の高さがあって それで意味を考えます
さてこのアクセントなんですがまあ外国の人には結構 難しいっていう場合が多いみたいですね
なので日本語を上手に話したかったらこのアクセントをちゃんと練習しないといけ ないんですが
ただ難しいって言うことはやっぱりその練習も苦手だ あんまり好きじゃないっていう人も多いと思います
最初に言っておくとこのアクセントがわからないから日本語が全然上手にならないとか 日本人と会話が全然できないとかそういうことは絶対ないので安心してください
アクセントって実は場所によって結構違うんです 例えば東京と大阪
まあ東と西ですね 東と西だと単語のアクセントが結構反対の時も多いです
東京では最初は高くて次が低い けど同じ言葉なのに大阪に行くと反対で最初は低くて後ろが高いとか
それも全然珍しいことじゃないので だから同じ日本人同士で話していても
あの結構アクセントが違うということはあります だから
アクセントを間違えたりとかこれが上手にできないから だから会話が全然できないということはないから安心してください
ただそれでも日本語をもっと上手に自然に話したいっていう人はこのアクセントを しっかり練習してみてください
練習の仕方は あの何回も聞いて真似をするっていうのが一番いいと思うんですが
日本語の先生とかが近くにいる人日本語学校に行っている人とかは先生にちょっと ゆっくりはっきりアクセントをつけて言ってもらってそれを真似するっていう練習から
入るといいんじゃないかなと思います ちなみにこのアクセントはさっき場所によって
アクセントが反対のこともあるって言いましたが実は場所によっては アクセントがない場所もあります
これは東北の方の宮城県とか福島県とか あとは北の関東の方の
えっと栃木県とかそういうところとかあとは九州の方ですね 九州も結構アクセントがない場所福岡県とか
熊本とかもそうなのかなあのあたりまではアクセントがない場所っていうのがあります アクセントがないとどんな感じで話すのかっていうと
今俺が話しているのは結構高い音と低い音 どちらもあるんですがそれが全部なくってまっすぐ話すような感じですね
例えば 今日はすごく暑いですねみたいに話すんじゃなくて今日はすごく暑いですね
みたいに えっとちょっとわかりにくいかもしれませんけど高い音も低い音もあんまりなくって全部同じ音の
高さで話すこれがアクセントがない場所の話し方ですね こういうふうに日本語のアクセントっていうのは
あの日本語を勉強する人は普通は東京のあたりで話している日本語を勉強するので そのあたりのアクセントで覚えると思うんですがちょっと西の方に行くと
アクセントが反対になったりさらに西っていうか南の方に行ったりとか逆に 東北北の方に行ったりするとアクセントが全然なくなったりとかするので
だから最初の言ったようにこのアクセントが下手でも全然問題なく会話ができます っていうことだったんです
ではこれが日本語のアクセントについてですね アクセントの練習がしたい人はこのポートキャストは練習のためのものじゃなくてただ日本語の
アクセントについて紹介するだけのものだから さっきも言ったように日本語の先生に協力してもらうとかそういうのを教えているなんか
youtube とかねそういうのを見てみてください えっと今回は日本語のアクセントについて質問をもらったのでこのエピソードを作りましたが他にも
何か日本語について聞いてみたいこととかあったらぜひメッセージを送ってください それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
