ep. 134 - アクセント(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:21) 最近なんかどうしてかわかんないけど俺のインスタグラム あのフォローしてくれる人がたくさんいますねありがとうございます
(00:00:31) 最近あの全然インスタ俺は あの写真とかをあげてないんですけどたまにね連絡とかあったら使いますしあの
(00:00:41) 結構みんなメッセージを送るときにインスタ使う人が多いみたいなので何かメッセージとか ある人はねぜひ
(00:00:49) まあメールでもインスタでもツイッターでも何でもいいんですけどね sns を上手に使ってメッセージください
(00:00:57) さてそれじゃあ今日はですねリクエストをもらったのでそれについて話したいと思います 今日のテーマは日本語のアクセントについてです
(00:01:09) アクセントっていうのは えっとですね音の高さですね
(00:01:15) 日本語の勉強している人は多分聞いたことがあると思うんですが 日本語の言葉は同じ言葉でも音の高さ
(00:01:25) 読み方が変わると意味が変わるものがあります 有名なものっていうかみんながよく知っているものだと多分
(00:01:36) 雨と雨とかですね 雨っていうのは天気のあの空から降ってくる水ですが
(00:01:46) 雨っていうのは甘いお菓子ですね だから私は雨が好きですっていうのと私は雨が好きです
(00:01:56) というのでは意味が変わります これが日本語のアクセントですね
(00:02:03) 雨と雨で意味が変わる この日本語のアクセントっていうのはさっきから何回も音の高さって言ってますが
(00:02:14) あと目の音が高いか低いかっていうことです 歌と同じなんですが
(00:02:22) まずはその天気の方だと雨 あの音が高くて目の音が低いです
(00:02:31) 雨 雨
(00:02:35) これが天気ですねそしてお菓子の方はあが低くて目が高い 雨
(00:02:43) 雨です これはね多分中国語とかを話す人にはもしかしたら
(00:02:52) わかりやすいのかな中国語とかベトナム語とかもそうなのかな 他の国の言葉でも同じように音の高さが変わると意味が変わるっていうのが
(00:03:03) 結構あるみたいなんですけど日本では一つ一つの言葉にちゃんと音の高さがあって それで意味を考えます
(00:03:14) さてこのアクセントなんですがまあ外国の人には結構 難しいっていう場合が多いみたいですね
(00:03:25) なので日本語を上手に話したかったらこのアクセントをちゃんと練習しないといけ ないんですが
(00:03:33) ただ難しいって言うことはやっぱりその練習も苦手だ あんまり好きじゃないっていう人も多いと思います
(00:03:42) 最初に言っておくとこのアクセントがわからないから日本語が全然上手にならないとか 日本人と会話が全然できないとかそういうことは絶対ないので安心してください
(00:03:58) アクセントって実は場所によって結構違うんです 例えば東京と大阪
(00:04:08) まあ東と西ですね 東と西だと単語のアクセントが結構反対の時も多いです
(00:04:18) 東京では最初は高くて次が低い けど同じ言葉なのに大阪に行くと反対で最初は低くて後ろが高いとか
(00:04:29) それも全然珍しいことじゃないので だから同じ日本人同士で話していても
(00:04:35) あの結構アクセントが違うということはあります だから
(00:04:42) アクセントを間違えたりとかこれが上手にできないから だから会話が全然できないということはないから安心してください
(00:04:51) ただそれでも日本語をもっと上手に自然に話したいっていう人はこのアクセントを しっかり練習してみてください
(00:05:00) 練習の仕方は あの何回も聞いて真似をするっていうのが一番いいと思うんですが
(00:05:07) 日本語の先生とかが近くにいる人日本語学校に行っている人とかは先生にちょっと ゆっくりはっきりアクセントをつけて言ってもらってそれを真似するっていう練習から
(00:05:21) 入るといいんじゃないかなと思います ちなみにこのアクセントはさっき場所によって
(00:05:29) アクセントが反対のこともあるって言いましたが実は場所によっては アクセントがない場所もあります
(00:05:39) これは東北の方の宮城県とか福島県とか あとは北の関東の方の
(00:05:47) えっと栃木県とかそういうところとかあとは九州の方ですね 九州も結構アクセントがない場所福岡県とか
(00:05:59) 熊本とかもそうなのかなあのあたりまではアクセントがない場所っていうのがあります アクセントがないとどんな感じで話すのかっていうと
(00:06:11) 今俺が話しているのは結構高い音と低い音 どちらもあるんですがそれが全部なくってまっすぐ話すような感じですね
(00:06:22) 例えば 今日はすごく暑いですねみたいに話すんじゃなくて今日はすごく暑いですね
(00:06:31) みたいに えっとちょっとわかりにくいかもしれませんけど高い音も低い音もあんまりなくって全部同じ音の
(00:06:39) 高さで話すこれがアクセントがない場所の話し方ですね こういうふうに日本語のアクセントっていうのは
(00:06:50) あの日本語を勉強する人は普通は東京のあたりで話している日本語を勉強するので そのあたりのアクセントで覚えると思うんですがちょっと西の方に行くと
(00:07:03) アクセントが反対になったりさらに西っていうか南の方に行ったりとか逆に 東北北の方に行ったりするとアクセントが全然なくなったりとかするので
(00:07:16) だから最初の言ったようにこのアクセントが下手でも全然問題なく会話ができます っていうことだったんです
(00:07:25) ではこれが日本語のアクセントについてですね アクセントの練習がしたい人はこのポートキャストは練習のためのものじゃなくてただ日本語の
(00:07:36) アクセントについて紹介するだけのものだから さっきも言ったように日本語の先生に協力してもらうとかそういうのを教えているなんか
(00:07:45) youtube とかねそういうのを見てみてください えっと今回は日本語のアクセントについて質問をもらったのでこのエピソードを作りましたが他にも
(00:07:56) 何か日本語について聞いてみたいこととかあったらぜひメッセージを送ってください それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
