ep. 135 - 日本人の名前(N4)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は日本人の名前について話したいと思います
名前の作り方 とか名前の付け方ですね
皆さんも多分わかると思いますが日本人の名前って 漢字で書くことが多いですよね
たまにすごく少ないけどカタカナの名前の人とか あとはひらがなの名前の人とかもいるんですが
まあほとんどの人が漢字の名前だと思います じゃあ日本人が自分の子供に名前をつけるときにどうやって考えるのかって言うと
いろいろな方法があります 今日はそれについて少し紹介したいと思います
じゃあまずは俺の名前から 俺の名前はトモですね
トモって友達の友の漢字です 実は日本語で友という名前を使う人は結構たくさんいます
男の人の名前も女の人の名前も友がつくのはそんなに珍しいことじゃありません 例えば男の人で友がつく名前だと
トモユキとかトモキとかトモノリとか いろいろあります
んで 全部友がついているんですが
友の漢字は友達の友だけじゃなくていろいろあります 例えば知っているの知るの漢字
あれも人の名前で使うと友と読むことができます あとは朝昼夜の朝の漢字
あれも友と読むことができます 同じ友でも漢字が変わると意味も変わって
例えば俺の友達の友だと 俺の親が友達がたくさんできるようにっていう意味でつけてくれたものだし
あとは知るっていう漢字を使うときは いろんなことを知っている頭がいい人になるようにっていう意味の時もありますし
だから名前をつけるときにはそうやってどんな人になってほしいかということから 漢字を考えることが多いです
他にも名前のつけ方ってそれだけじゃなくてどんな人になってほしいかじゃなくて 生まれた日が関係している名前っていうのも結構たくさんあります
例えば春に生まれたから春っていう漢字を使うとか あとは夏に生まれたから夏に関係がある
例えば夏に咲く花の名前をつけたりとかそういうこともあります あともちろんもっと他にも簡単に自分が好きな有名な人と同じ名前をつけるとか
自分の親の名前から漢字を一つもらってそれで名前を考えるとかそういうこともあります この日本人の名前のつけ方ですが本当にいろいろあるので
もし日本人の名前について興味があったら 日本に来たときにぜひ日本の本屋に行ってみてください
日本の本屋には名前のつけ方の本がたくさんあります 日本にあるいろいろな漢字の意味とか読み方がたくさん書いてある本とか
あとは名前のサンプルがたくさん載っている本とかそういうのがたくさんあるので それを見てみると日本人の名前についていろいろなことがわかると思います
自分の名前が好きかどうかっていうのは人によって違うと思いますが 生まれた時からずっと使っている自分の名前が嫌いな人は
そんなに多くないかなと思います なので日本人の名前は今言ったようにいろんなことを考えて
親がどんな人になってほしいかとか あの
そういうことをたくさん考えてつける名前だから 結構ね自分の名前が好きだっていう人も多いと思います
なので あの誰かを呼ぶときに名前を間違えてしまうと結構失礼なので
名前を覚えるときは外国人の名前って難しいと思いますが間違えないように気をつけてください 日本人の名前は漢字を使うので難しいと思うんですが
実は最近の名前だと 日本人でも読み方がわからないことがたくさんあります
昔の名前まあ昔っていうか えっと今
30歳ぐらいの人そのくらいまでは名前の読み方がわからないっていうことがあんまり なかったと思うんですが
最近の人は 漢字を見ても読み方がわからないことが結構たくさんあります
なので日本人の名前を見て読み方が全然わからなかったら初めて会ったときに あの
この漢字どう読めばいいですかっていうふうに聞くのは全然失礼じゃないのでそれも覚えて おくといいですね
日本で仕事をする人は 名刺をもらうことも多いと思いますが名刺に名前の読み方が書いてないときは最初に
確認するといいですね すみませんお名前は何とお読みすればいいでしょうかって聞くと丁寧な聞き方なので
相手にも失礼じゃないしそれで間違えずに覚えられるのでぜひ聞いてみてください
これが日本人の名前の付け方ですが今話したのは名前の意味についてですね 名前とかあとは漢字の意味とか
実は日本で名前を考えるときはもう一つ 気をつけることがあります
これは俺は実はあんまり気にしないんですけど すごく気になるっていう人もいることなんですが
名前の画数です 画数っていうのは
名前を何回で書くかです 漢字の勉強している人はわかると思いますが漢字の正しい書き方がありますね
例えば俺の友達の友だと全部で1234 4回で書きます
日本の日の漢字も1234 全部で4回で書くし
日本の本の漢字は12345 全部で5回で書きますね
この何回で書くかっていうのが画数って言うんですが 実は名前の画数で
その人の人生が良いものになるか悪いものになるか決まるっていう考え方の人もいます たぶん日本ではそんなに少なくないと思います
だから名前を考えるときに 意味を考えて漢字も決めてそれでできたと思っても名前を全部書いたら
その画数が良くない数字だった だからやっぱりこの名前はやめるっていう人も結構いると思います
他の国中国とか台湾とか漢字を使う国だったら もしかしたら同じような考え方があるかもしれませんね
はいじゃあ今日は日本の名前についてでした 日本人は名前を考えるときに
本当にいろいろなことを考えてすごく苦労して名前をつけます だから
結構日本人は自分の名前を大切にしている人が多いんじゃないかなと思います これも日本の文化の一つですね
今日は名前の話でしたが他にも日本について何か知りたいこととかあったら ぜひメッセージを送ってください
それじゃあ今日はこれで終わりにしますさようなら
