ep. 136 - 風邪(N3)

(00:00:00) みなさんこんにちはトモです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くない
(00:00:12) でもドラマや映画は難しすぎる
(00:00:15) そんな人のために
(00:00:16) 日本語教師のトモがちょうどいい日本語で話をします
(00:00:21) さて2月が始まりましたが
(00:00:26) 皆さんいかがお過ごしでしょうか
(00:00:30) まだまだ寒いですね
(00:00:32) 2月って日本では一応まだまだ寒いけど
(00:00:38) 春なんです
(00:00:41) 全然春っていう感じはしませんよね
(00:00:43) なんでかというと
(00:00:45) あの季節の数え方っていうか考え方がいろいろあって
(00:00:51) 昔のその季節の考え方っていうのが
(00:00:56) だいたい2月の3日とか4日ぐらいに
(00:00:59) 春が始まるっていう風になってるんです
(00:01:03) この前節分の話をしたんですけど
(00:01:06) 節分っていうのは
(00:01:08) その春になる前の日にやるんです
(00:01:12) だから今年は2月3日から春なんですよ
(00:01:19) まあねあのさっきもいろんな考え方があるって言ったけど
(00:01:23) 普通は日本ではもっとこう一般的な春っていう感覚は
(00:01:28) だいたい3月の終わりとかそのぐらいからなので
(00:01:33) それに実際今まだまだ寒いですからね
(00:01:36) だからそんなに春っていう感じはしないんですけど
(00:01:39) まあとにかくその昔の考え方では
(00:01:42) 一応春になったんですよ
(00:01:46) ただまあやっぱりね何度も言うけど
(00:01:49) まだまだ寒いですね
(00:01:51) 皆さん風邪はひいていないですか
(00:01:54) 元気ですか
(00:01:55) 今日はちょっとね風邪について話をしたいと思います
(00:02:01) なんでかって言うと
(00:02:03) あの俺去年の年末に風邪ひきましたよね
(00:02:08) 皆さん覚えてますか
(00:02:10) 風邪ひいてしばらくエピソードが作れない時がありましたね
(00:02:15) でその時にやっぱり思ったんですけど
(00:02:18) 風邪の予防って大事ですよね
(00:02:23) 最近ねあのなんだろうコロナウイルスがあるから
(00:02:29) やっぱり手の消毒とか
(00:02:31) あとはマスクをしたりとか
(00:02:34) そういうことは前よりも前っていうか
(00:02:37) そのコロナが流行る前よりも
(00:02:40) すごい気をつけてやってるんですけど
(00:02:43) でもやっぱり風邪ってどうしてもひいちゃうことあるんですよね
(00:02:51) ウイルスって目に見えないものだから
(00:02:53) だからどうしても完全に防ぐっていうことができないんですよね
(00:02:59) で俺がその風邪をひいた時っていうのは
(00:03:04) 多分なんか疲れてたんですかね
(00:03:06) 仕事が忙しかったりとか
(00:03:09) そんなに心のストレスとかはなかったと思うんですけど
(00:03:14) うちに帰ったらリラックスしてるから
(00:03:17) でもまあなんだろうね
(00:03:19) 仕事とか忙しかったのかな
(00:03:21) あの時はそれで疲れてて
(00:03:25) 疲れてる時ってウイルスが体に入ると
(00:03:30) こう元気な時だったら問題なくても
(00:03:33) ちょっとウイルスが入っただけで
