ep. 139 - 日本人ならわかる問題(N2)

皆さんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
さて今日はですね、あのー、インスタグラムにちょっとね載せた、インスタとかツイッターとかに載せたやつなんですけど
日本人なら答えられるもんだいっていうのを ちょっとねあのグーグルのグーグルフォームを使って作ってみたんですけど
それのね解説をしたいと思います。 えーとこれねどうして日本人なら答えられるかっていうと
まあ正確に言うと日本人じゃなくてもいいんですけど 要は
日本に子供の時からずーっと住んでる人 それなら答えられるっていうことなんです
でなんでかっていうとこれは全部日本の 文化じゃないんだけどまぁある意味日本の文化かな
それに関わる問題なんですがすべて アニメに関する問題です
でアニメって言っても多分ねあの外国の人がそんなに知らないものも結構多いと思うん ですがもちろんメジャーなものもありますけどね
ただその外国じゃそんなに有名じゃないメジャーじゃないんだけどでも日本にいたら 日本に子供の時からずっと住んでたら絶対誰でも1回ぐらいは見たことあるだろう
っていう そういうアニメについての問題でした
それじゃあですねあの早速一つ一つの問題ね あの何なのかっていうのを解説していきたいと思います
まだこの問題解いてない人は このエピソードを聞く前に1回自分で問題を解いてみてください
問題のリンクはインスタとかツイッターとかあと このエピソードの説明のとこにも載せてありますからそれ見てみてください
じゃあ早速一つ目ですがえっとねまぁ一つ目とあと2つ目ですね セクションが5個あってそれぞれのセクションで問題が2つずつ
最初の2つはこれはね サザエさんです
あの これサザエさんって多分外国では全然有名じゃないと思うんですけど日本人なの
本当にみんなよく知ってるアニメだと思います アニメというかもともとは漫画なんですけどね
でこのサザエさんっていうアニメの えっとね
1番と2番はどちらもそうなんですが あのサザエさんのテーマソング歌の歌詞の内容なんです
であの最初の問題は魚を食われた猫を追いかけるっていうのは そのサザエさんの歌のね最初のところで
裸足で外に出るっていうことを言ってるんですよ なのでその猫を魚を食われた猫を追いかけていって裸足で外に行っちゃうっていう
内容だから答えは何も儚いなんです で続いてみんなと一緒に笑うのはこれはね
これも歌詞の話なんですけどもこのサザエさんの歌の歌詞でみんな笑っている お日様も笑ってるっていうのがあります
だからこれはみんなと一緒に笑うのはお日様なんです ちなみにお日様っていうのは太陽のことね
じゃあその次今度セクション2の方に行きますね セクション2になると今度は別のアニメでこれはね
ちびまるこちゃんの歌の話なんです ちびまるこちゃんっていうのもやっぱり日本に住んでいる子供はよく見ると思うんですが
もともとこれも漫画かな あの
これは場所とか世代でちょっと変わるかもしれませんが 俺が子供の時にね見てたアニメだと
最初に確か6時ぐらいからサザエさんってさっきのアニメが始まって そんでその次サザエさんが終わると今度ちびまるこちゃんが始まるんですよ
だから俺はこのサザエさんとまるちゃんっていう2つのアニメを2つ連続で見てたんです で
このちびまるこちゃんの問題の一つ目インチキのおじさんが出てきそうなものといえば これはねお鍋なんです
お鍋の中からインチキおじさんが出てくるっていう歌の歌詞があります そしてその次忘れてはいけない偉い人は誰
これはねエジソンですね エジソンは偉い人っていう風に歌詞があるんです
はいじゃあ続いて今度セクション3に行きますね えっとね今度は歌の話だけじゃなくてアニメのその内容の話もあるんですが
これはねあの たぶん日本で一番有名っていうか日本人が絶対見た
アニメだと思うんですけども子供の時に アンパンマンです
これ知ってる人いるかなぁ あの子供用品とか赤ちゃんのものが売ってるお店に行くと
もう絶対にねアンパンマンのおもちゃとかがたくさん売ってるんですよ 世界で有名なアニメって言ったら最近だとやっぱり鬼滅の刃とか
あとはワンピースとかナルトとかそういうのだと思うんですけど もうね鬼滅とかナルトとかそんなのはあの赤ちゃんのもの売ってる店になんか全然売ってません
赤ちゃんの見るアニメと言ったらやっぱりアンパンマン これは俺もね子供の時に子供というかそのちっちゃい時
すっごいよく見てましたし多分ね他の人もこれ世代あまり関係なく 今の30歳40歳ぐらいの大人の人も
本当に最近生まれたばっかりの去年とか一昨年生まれたような赤ちゃんとかもみんなね アンパンマン見てると思いますそのくらい日本で一番有名なアニメ
でちょっとそのアンパンマンの話なんですが アンパンマンって
アンパン、パンのキャラクターだからお腹が空いた時に子供に自分の体を これ食べていいよって言ってあげるんですよ
で何をあげるかというと頭なんです 頭をちぎって子供に食べさせるんです
まぁちょっと怖い話ですけどねこうやって聞くと
でその次に問題になっているのはアンパンマンと友達になれそうなのは あ違うアンパンと友達になれそうなのはですね
えっとねこれは歌の歌詞なんですけども アンパンマンの友達
愛と勇気だけが友達っていうふうに言ってるんですよ なのでアンパンマンとアンパンと友達になれるのは愛です
はいじゃあ今度はセクション4に行きますね セクション4はねこれはね
ちょっと古いけど多分これは世界中で有名なアニメだと思いますが ドラゴンボールですね
問題2つもドラゴンボールの歌詞についてです ドラゴンボールのオープニングの歌の歌詞なんですがまず一つ目恐竜がいたら何を
覚えさせたいか 恐竜がいたらね玉乗りを仕込みたいっていう歌詞があるんです
そして騒ぐ玉これはね歌を知らなくてもドラゴンボールがわかっていれば答えが 出るんですが元気玉です
主人公の悟空の必殺技 なので騒ぐ元気玉っていう歌詞があるから答えは元気です
じゃあ最後セクション5に行くと今度は これはねもう有名なアニメなので
あの知ってる人はすごく多いと思いますが 猫の形のロボットといえば
