ep. 139 - 日本人ならわかる問題(N2)

(00:00:00) 皆さんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:20) さて今日はですね、あのー、インスタグラムにちょっとね載せた、インスタとかツイッターとかに載せたやつなんですけど
(00:00:28) 日本人なら答えられるもんだいっていうのを ちょっとねあのグーグルのグーグルフォームを使って作ってみたんですけど
(00:00:37) それのね解説をしたいと思います。 えーとこれねどうして日本人なら答えられるかっていうと
(00:00:45) まあ正確に言うと日本人じゃなくてもいいんですけど 要は
(00:00:50) 日本に子供の時からずーっと住んでる人 それなら答えられるっていうことなんです
(00:00:57) でなんでかっていうとこれは全部日本の 文化じゃないんだけどまぁある意味日本の文化かな
(00:01:05) それに関わる問題なんですがすべて アニメに関する問題です
(00:01:12) でアニメって言っても多分ねあの外国の人がそんなに知らないものも結構多いと思うん ですがもちろんメジャーなものもありますけどね
(00:01:21) ただその外国じゃそんなに有名じゃないメジャーじゃないんだけどでも日本にいたら 日本に子供の時からずっと住んでたら絶対誰でも1回ぐらいは見たことあるだろう
(00:01:33) っていう そういうアニメについての問題でした
(00:01:38) それじゃあですねあの早速一つ一つの問題ね あの何なのかっていうのを解説していきたいと思います
(00:01:45) まだこの問題解いてない人は このエピソードを聞く前に1回自分で問題を解いてみてください
(00:01:52) 問題のリンクはインスタとかツイッターとかあと このエピソードの説明のとこにも載せてありますからそれ見てみてください
(00:02:02) じゃあ早速一つ目ですがえっとねまぁ一つ目とあと2つ目ですね セクションが5個あってそれぞれのセクションで問題が2つずつ
(00:02:12) 最初の2つはこれはね サザエさんです
(00:02:16) あの これサザエさんって多分外国では全然有名じゃないと思うんですけど日本人なの
(00:02:23) 本当にみんなよく知ってるアニメだと思います アニメというかもともとは漫画なんですけどね
(00:02:29) でこのサザエさんっていうアニメの えっとね
(00:02:34) 1番と2番はどちらもそうなんですが あのサザエさんのテーマソング歌の歌詞の内容なんです
(00:02:44) であの最初の問題は魚を食われた猫を追いかけるっていうのは そのサザエさんの歌のね最初のところで
(00:02:53) 裸足で外に出るっていうことを言ってるんですよ なのでその猫を魚を食われた猫を追いかけていって裸足で外に行っちゃうっていう
(00:03:03) 内容だから答えは何も儚いなんです で続いてみんなと一緒に笑うのはこれはね
(00:03:11) これも歌詞の話なんですけどもこのサザエさんの歌の歌詞でみんな笑っている お日様も笑ってるっていうのがあります
(00:03:20) だからこれはみんなと一緒に笑うのはお日様なんです ちなみにお日様っていうのは太陽のことね
(00:03:28) じゃあその次今度セクション2の方に行きますね セクション2になると今度は別のアニメでこれはね
(00:03:36) ちびまるこちゃんの歌の話なんです ちびまるこちゃんっていうのもやっぱり日本に住んでいる子供はよく見ると思うんですが
(00:03:44) もともとこれも漫画かな あの
(00:03:49) これは場所とか世代でちょっと変わるかもしれませんが 俺が子供の時にね見てたアニメだと
(00:03:57) 最初に確か6時ぐらいからサザエさんってさっきのアニメが始まって そんでその次サザエさんが終わると今度ちびまるこちゃんが始まるんですよ
(00:04:07) だから俺はこのサザエさんとまるちゃんっていう2つのアニメを2つ連続で見てたんです で
