ep. 140 - てんてん (N4)

みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
今日は日本語の発音についての話です。 外国語の発音は
とても難しいですよね。 俺も英語の発音とか中国語の発音とかですごく大変な思いをしました。
日本語はあまり発音が難しくない言葉だというふうに言う人も結構多いですが、
でも 国によってちょっと発音の難しさが変わります。
今日は リクエストというか
ちょっと インスタグラムのメッセージで
質問をもらったのでそれに答えたいと思います。 どんな質問かというと日本語の
点々の音。 例えばたちつてととだじずれどとか
かきくけことがぎぐげごとかですね。 この点々の音の発音が難しいので
特に聞くのが難しいのでどうやって聞く練習をしたらいいですかという質問でした。 これはね中国語を話す人には
すごく難しい発音なんですよね。 中国語にもたとだみたいな似てる音っていうのはあるんですけど
でも日本語とちょっと音の出し方が違うんですよね。 実は俺も中国語
あの前に台湾に住んでいるときに中国語の勉強しましたが この中国語のそのたとだとか
パとバみたいな似てる音の出し方はすごく苦労しました。 自分で発音するのも難しいしやっぱり台湾人が話しているのを聞いても今のは
どっちの音かなというのがあまりわかりませんでした。 じゃあこういう
聞くのが難しい音どうやって練習したらいいのかというと
まずはゆっくり この似てる音2つを連続で聞いて
そして何が違うのかよく考えるというのが大事です 例えばたとだの練習だったら
タンスとダンス たとだが違うだけのこの2つの言葉を連続で聞いてそして
2つの音がどう違うのか何が違うのかというのを何回も聞いてそしてその 違うところを覚えます
タンスとダンスだけじゃなくて他にもパスとバスとか 学校と学校とかですね
こういうふうに2つの音を 連続で聞くっていうのが最初にやるいい練習になると思います
ただ実はこの練習をしても100% 全部の音が聞けるようになるわけではありません
実は話をしているときに 本当は点々がないけどでも
点々がついた音になってしまう時があります ちょっとわかりにくいかもしれませんが
例えば とても早く話すときとかちょっと強く言うとき
例えば痛いって言うときに 痛いと
やっぱりあの声の力も強くなるし早く話しますよね 痛いときに痛いってゆっくりは言いません痛いって言います
この早く話したときに痛いのタの音は 普通のタじゃなくてダみたいになってしまうことが結構多いです
だから 最初の練習でタとダが100%わかるようになっても
実は日本人が話しているときはタがダになることもそんなに少なくないです
特に早く話したり強く話したりするときですね なので
まずは最初の練習をしてタとダとかカとガみたいな音をちゃんと聞けるようになったら 今度は
言葉を覚えるっていうのが一番いいですね 日本人はどうして発音がちゃんと聞けるのかというと
もちろん音の違いがよくわかるということもありますが いろんな言葉を知ってるから例えば痛いが痛いに聞こえても
今のはダに聞こえたけど痛いと言ってるんだな ってすぐわかります
だから日本人はあまり間違いません なので皆さんもその音の違いがよくわかるように
聞く練習も大事ですが 言葉をよく覚えて言葉とかあと文法とかもよく考えて
今のは点々がある音に聞こえたけどでもきっと違うなというふうにわかるようになったら それが一番いいかなと思います
じゃあこれが点々の音 ダとかガとかバーとかの練習についてですが
最初に言った練習2つの音を並べて連続で聞くっていうのが まあまずは一番いい練習だとは思いますが
でもそういう練習ができる 例えば教科書とかあとは
youtube とか そういうのはあまりないとは思うので
せっかくねこうやって困ってる人がいるっていうのを知ることができたので 暇になったら
時間ができたら 俺もねそういうみんなが
こういろいろな発音を聞いたりする練習ができる 何か
エピソードかそれか youtube ですかね そういうのを作りたいと思います
まあ暇ができたらです時間があったらです すぐにやるとはちょっと言うことができませんが
でも皆さんの役に立つ何かはそのうち作りたいと思います なのでそういう練習がしたい人は楽しみに待っていてください
じゃあ今日はこの辺で終わりにしたいと思います 皆さんも何か日本語についての質問とかあったらぜひ
遠慮しないでいろんなメッセージとかメールとかを送ってください それじゃあさようなら
