ep. 141 - 慣用句(N3)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともがちょうどいい日本語で話をします。
(00:00:20) さて今日はですね、漢用句についてちょっとお話をしたいと思います。
(00:00:28) まあ前にも漢用句とかねちょっと話したことはあるんですけど、 やっぱり日本語を勉強している人にとって漢用句って難しいんですよね。
(00:00:39) なので、まあ
(00:00:41) 俺がねどうやって勉強したのか、勉強っていうかまあどうやって覚えたのかっていうのを ちょっとお話ししたいと思います。
(00:00:51) 日本人はやっぱり漢用句を会話の中とかで使ったりするんですけど、 じゃあそれをどうやって覚えたかっていうと
(00:01:01) まあ当たり前ですけど、普段の生活とか、あとは何か本とかテレビのドラマとかアニメとかそういうもので覚えるっていうのがほとんどだと思うんですが
(00:01:16) ただ俺は ちょっとね
(00:01:19) まあみんなも知ってると思うけど漫画が好きなので、実は昔から漫画を読んで漢用句をたくさん覚えてました。
(00:01:28) 漢用句とかあとはことわざとかですね。 まあことわざっていうのはその漢用句と同じようなものなんですけど
(00:01:38) 例えば 急がば回れみたいなやつですね。
(00:01:44) 昔の人が言った言葉でその 何かいろいろな経験とかあとはその昔から言われてきたことなんかを短い言葉にして
(00:01:55) まとめたのがことわざって言うんですけど その今言った急がば回れだったら
(00:02:01) 急いでいる時ほど ちょっと回っていくつまり普通よりも少し遠い道で行った方が実は
(00:02:12) あの 無理して近い道を行くよりも安全で確実で
(00:02:17) 最終的には最後にはちょっと回って遠回りをしていった方が 早く行けるっていうようなそういう意味なんですけど
(00:02:27) つまり急いでいる時も焦んないでゆっくり落ち着いてやりましょうっていうそういう意味の 言葉ですね
(00:02:34) こういうのをことわざと言います で関陽句とかことわざっていうのは俺は漫画を使って覚えたんですよ
(00:02:44) 漫画を使ってっていうか漫画を読んで覚えたんです でどんな漫画を読んだかっていうと普通の漫画じゃなくて
(00:02:53) このことわざとか関陽句のための漫画がたくさんあるのでそれを読んで覚えました
(00:03:02) 俺は本当にあの子供の時から結構小さい時から漫画が好きで 学校の
(00:03:10) 図書室図書館じゃなくてまあ本がたくさんある部屋ですね そこで本を借りて読むことができるんですけど
(00:03:18) 小説があんまり好きじゃなかったから学校の図書室で漫画を探して そして読んでたんですよ
(00:03:27) だから勉強のために読もうと思ったんじゃなくて ただ俺が漫画を読みたかったから読んだっていうだけなんですけど
(00:03:36) 学校にある漫画ってやっぱり普通の漫画じゃなくて勉強のための漫画だけなんですよ それで俺は漫画を読みたくて探してたらその勉強のためのことわざとか関陽句の
(00:03:49) 漫画がたくさんあったから じゃあ
(00:03:53) 小説よりもこれでいいやと思ってそれで たくさん漫画を読んでてでいつの間にか覚えてましたね
(00:04:03) もちろんねその漫画だけですべてを覚えたわけじゃなくて やっぱり日本にいて日本で生活をしていろんな日本語を使っていると自然に覚えるんです
(00:04:13) けど 俺の場合は一番はやっぱりその漫画を使って覚えたっていうのがありますね
(00:04:20) でこれは俺が子供の時の話なんですけど じゃあそんな昔の話じゃなくて今はどうなんだ今の話をしてくれよと思う人もいるかも
